ts_code,name,industry,source_index
000938.SZ,紫光股份,IT设备,HS300
002236.SZ,大华股份,IT设备,HS300
002415.SZ,海康威视,IT设备,HS300
000538.SZ,云南白药,中成药,HS300
000999.SZ,华润三九,中成药,HS300
600085.SH,同仁堂,中成药,HS300
600436.SH,片仔癀,中成药,HS300
300418.SZ,昆仑万维,互联网,HS300
601360.SH,三六零,互联网,HS300
001391.SZ,国货航,仓储物流,HS300
002352.SZ,顺丰控股,仓储物流,HS300
600233.SH,圆通速递,仓储物流,HS300
600803.SH,新奥股份,供气供热,HS300
002179.SZ,中航光电,元器件,HS300
002600.SZ,领益智造,元器件,HS300
002938.SZ,鹏鼎控股,元器件,HS300
300408.SZ,三环集团,元器件,HS300
300476.SZ,胜宏科技,元器件,HS300
300866.SZ,安克创新,元器件,HS300
600183.SH,生益科技,元器件,HS300
603296.SH,华勤技术,元器件,HS300
000002.SZ,万科Ａ,全国地产,HS300
001979.SZ,招商蛇口,全国地产,HS300
000786.SZ,北新建材,其他建材,HS300
300498.SZ,温氏股份,农业综合,HS300
000408.SZ,藏格矿业,农药化肥,HS300
600426.SH,华鲁恒升,农药化肥,HS300
000963.SZ,华东医药,化学制药,HS300
002422.SZ,科伦药业,化学制药,HS300
600196.SH,复星医药,化学制药,HS300
600276.SH,恒瑞医药,化学制药,HS300
688506.SH,百利天恒,化学制药,HS300
002601.SZ,龙佰集团,化工原料,HS300
002648.SZ,卫星化学,化工原料,HS300
002709.SZ,天赐材料,化工原料,HS300
600160.SH,巨化股份,化工原料,HS300
600989.SH,宝丰能源,化工原料,HS300
603260.SH,合盛硅业,化工原料,HS300
000301.SZ,东方盛虹,化纤,HS300
002493.SZ,荣盛石化,化纤,HS300
300015.SZ,爱尔眼科,医疗保健,HS300
300347.SZ,泰格医药,医疗保健,HS300
300832.SZ,新产业,医疗保健,HS300
300896.SZ,爱美客,医疗保健,HS300
688271.SH,联影医疗,医疗保健,HS300
601607.SH,上海医药,医药商业,HS300
002049.SZ,紫光国微,半导体,HS300
002371.SZ,北方华创,半导体,HS300
300661.SZ,圣邦股份,半导体,HS300
300782.SZ,卓胜微,半导体,HS300
301269.SZ,华大九天,半导体,HS300
600460.SH,士兰微,半导体,HS300
603893.SH,瑞芯微,半导体,HS300
603986.SH,兆易创新,半导体,HS300
688012.SH,中微公司,半导体,HS300
688047.SH,龙芯中科,半导体,HS300
688082.SH,盛美上海,半导体,HS300
688126.SH,沪硅产业,半导体,HS300
688396.SH,华润微,半导体,HS300
600415.SH,小商品城,商品城,HS300
600600.SH,青岛啤酒,啤酒,HS300
000617.SZ,中油资本,多元金融,HS300
000651.SZ,格力电器,家用电器,HS300
603195.SH,公牛集团,家用电器,HS300
688169.SH,石头科技,家用电器,HS300
603993.SH,洛阳钼业,小金属,HS300
000157.SZ,中联重科,工程机械,HS300
000425.SZ,徐工机械,工程机械,HS300
601100.SH,恒立液压,工程机械,HS300
002027.SZ,分众传媒,广告包装,HS300
600039.SH,四川路桥,建筑工程,HS300
601117.SH,中国化学,建筑工程,HS300
601186.SH,中国铁建,建筑工程,HS300
601668.SH,中国建筑,建筑工程,HS300
601669.SH,中国电建,建筑工程,HS300
601800.SH,中国交建,建筑工程,HS300
601868.SH,中国能建,建筑工程,HS300
300251.SZ,光线传媒,影视音像,HS300
300413.SZ,芒果超媒,影视音像,HS300
003816.SZ,中国广核,新型电力,HS300
600905.SH,三峡能源,新型电力,HS300
600930.SH,华电新能,新型电力,HS300
601985.SH,中国核电,新型电力,HS300
600010.SH,包钢股份,普钢,HS300
300979.SZ,华利集团,服饰,HS300
600515.SH,海南机场,机场,HS300
600025.SH,华能水电,水力发电,HS300
600674.SH,川投能源,水力发电,HS300
600886.SH,国投电力,水力发电,HS300
600585.SH,海螺水泥,水泥,HS300
601872.SH,招商轮船,水运,HS300
601919.SH,中远海控,水运,HS300
000625.SZ,长安汽车,汽车整车,HS300
002594.SZ,比亚迪,汽车整车,HS300
600066.SH,宇通客车,汽车整车,HS300
601127.SH,赛力斯,汽车整车,HS300
601238.SH,广汽集团,汽车整车,HS300
601633.SH,长城汽车,汽车整车,HS300
000338.SZ,潍柴动力,汽车配件,HS300
002920.SZ,德赛西威,汽车配件,HS300
