ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000001.SZ,20250226,11.52,0.4337,0.9785,0.88,4.8123,4.8026,0.5377,1.3574,1.5039,8.3767,8.3767,1940591.8198,1940561.7528,860097.6804,22355617.7641,22355271.3923
000002.SZ,20250226,7.84,1.998,2.9988,0.96,7.6905,,0.3995,0.2008,0.2366,0.0,,1193070.9471,971693.5865,647412.5074,9353676.2253,7618077.7182
000004.SZ,20250226,12.82,9.8064,12.1318,1.06,,,10.6238,15.4215,16.1028,0.0,,13238.0282,12628.8093,10208.1245,169711.5215,161901.3352
000006.SZ,20250226,6.61,3.519,5.585,1.49,,,1.3838,3.1749,1.3106,0.0,,134999.5046,134998.7396,85059.9248,892346.7254,892341.6688
000007.SZ,20250226,6.52,1.1003,1.7918,0.79,62.7992,79.8227,17.5191,10.4388,10.3944,0.0,,34644.8044,34644.8044,21275.216,225884.1247,225884.1247
000008.SZ,20250226,2.97,4.4623,7.3822,0.82,,,2.3893,3.2121,3.5183,0.0,,271637.7683,268602.4366,162360.5909,806764.1719,797749.2367
000009.SZ,20250226,8.81,1.0493,1.609,1.02,30.0385,49.0438,2.2392,0.7402,1.0912,0.5108,0.5108,257921.3965,255143.0324,166387.8284,2272287.5032,2247810.1154
000010.SZ,20250226,3.0,7.9005,8.7709,1.75,,,15.7674,11.3859,8.3875,0.0,,114965.2292,52595.1361,47375.6697,344895.6876,157785.4083
000011.SZ,20250226,8.47,1.5346,4.3199,2.33,10.8788,21.3675,1.127,1.7024,2.7204,3.6836,3.6836,59597.9092,52647.5543,18702.6342,504794.2909,445924.7849
000012.SZ,20250226,5.02,0.8321,1.3,1.41,9.3107,15.8038,1.0955,0.8472,0.9313,4.9801,4.9801,307069.2107,195926.7327,125407.004,1541487.4377,983552.1982
000014.SZ,20250226,10.2,2.3274,3.5273,1.16,4.7318,33.5735,1.4927,1.7772,5.0707,2.1176,2.1176,24204.6224,24204.6224,15971.0154,246887.1485,246887.1485
000016.SZ,20250226,5.56,11.8452,17.6279,1.26,,,3.3118,0.7501,1.2069,0.0,,240794.5408,159659.38,107284.6868,1338817.6468,887706.1528
000017.SZ,20250226,5.76,3.6564,4.626,1.14,221.7471,195.84,12.5551,6.983,7.9483,0.0,,68918.4933,30298.4965,23947.6218,396970.5214,174519.3398
000019.SZ,20250226,6.5,1.1617,1.7861,0.82,21.5381,23.5459,1.5482,1.2103,1.3589,3.0769,3.0769,115253.5254,41621.6407,27071.6427,749147.9151,270540.6646
000020.SZ,20250226,13.06,1.3161,3.8534,0.98,277.1698,244.2437,9.7021,5.09,5.0588,0.0,,28316.1227,18116.5391,6187.5497,369808.5625,236602.0006
000021.SZ,20250226,21.13,5.4481,8.3194,0.86,51.156,38.3674,2.8516,2.3117,2.3312,0.6152,0.6152,156058.7588,156042.3713,102186.4936,3297521.5734,3297175.3056
000025.SZ,20250226,16.6,1.7182,3.7248,1.52,60.5096,46.8804,4.2126,3.8747,2.6566,0.1867,0.1867,43105.832,39277.832,18118.6699,715556.8112,652012.0112
000026.SZ,20250226,10.42,1.5819,3.1597,0.97,12.6901,15.9403,1.2546,0.9252,1.0357,3.8398,3.8398,40576.4007,36476.9323,18262.1518,422806.0953,380089.6346
000027.SZ,20250226,6.29,0.4244,1.3655,1.31,14.6261,26.1555,0.9932,0.7388,0.7199,2.2258,2.2258,475738.9916,475738.9916,147844.3143,2992398.2572,2992398.2572
000028.SZ,20250226,25.84,0.6911,1.9073,1.09,8.9927,9.7494,0.7945,0.1905,0.1908,2.6316,2.6316,55656.5077,47805.3713,17321.1226,1438164.159,1235290.7944
000029.SZ,20250226,15.17,0.4833,1.6386,1.01,,,4.1465,28.908,39.8824,0.0,,101166.0,89166.0,26301.7736,1534688.22,1352648.22
000030.SZ,20250226,5.85,1.9776,6.9072,1.97,16.8646,15.3009,1.3221,0.6431,0.6223,4.2184,4.2184,174164.3085,169220.9461,48449.2428,1018861.2047,989942.5347
000031.SZ,20250226,2.77,0.5421,2.0998,1.24,,,0.9032,0.3228,0.3247,0.0,,428631.3339,400288.7169,103339.4287,1187308.7949,1108799.7458
