ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20250825,12.12,12.53,12.1,12.45,12.06,0.39,3.2338,3045087.53,3761289.076
600975.SH,20250825,6.45,6.5,6.42,6.5,6.47,0.03,0.4637,397582.02,257258.816
600973.SH,20250825,5.75,5.76,5.65,5.71,5.72,-0.01,-0.1748,342170.94,195238.163
600971.SH,20250825,6.96,7.04,6.94,7.01,6.93,0.08,1.1544,153407.31,107327.296
600970.SH,20250825,9.22,9.33,9.19,9.27,9.2,0.07,0.7609,318004.49,294108.737
600969.SH,20250825,7.55,7.57,7.48,7.51,7.54,-0.03,-0.3979,97074.4,72970.575
600968.SH,20250825,4.04,4.09,4.02,4.07,4.04,0.03,0.7426,719832.4,292605.971
600967.SH,20250825,25.62,26.14,25.0,25.84,25.62,0.22,0.8587,1071491.0,2759348.336
600966.SH,20250825,5.25,5.27,5.19,5.23,5.24,-0.01,-0.1908,126580.0,66287.134
600965.SH,20250825,5.26,5.28,5.2,5.27,5.23,0.04,0.7648,131298.85,68848.36
600963.SH,20250825,4.96,5.16,4.91,4.96,4.92,0.04,0.813,450522.49,225184.632
600962.SH,20250825,23.98,24.98,23.33,23.49,23.96,-0.47,-1.9616,218945.0,526122.52
600961.SH,20250825,12.99,13.43,12.98,13.29,12.79,0.5,3.9093,486866.55,645427.341
600960.SH,20250825,4.92,4.98,4.86,4.91,4.91,0.0,0.0,258608.28,127150.503
600959.SH,20250825,3.85,3.86,3.77,3.8,3.82,-0.02,-0.5236,685389.38,260484.136
600958.SH,20250825,12.2,12.32,12.01,12.25,12.12,0.13,1.0726,1353843.57,1644812.986
600956.SH,20250825,7.84,7.97,7.83,7.95,7.84,0.11,1.4031,86583.61,68452.558
600955.SH,20250825,14.67,14.78,14.63,14.71,14.67,0.04,0.2727,29439.84,43290.275
600976.SH,20250825,41.28,41.88,41.19,41.52,41.28,0.24,0.5814,54588.65,226291.701
600941.SH,20250825,109.6,110.18,108.89,110.09,109.54,0.55,0.5021,176625.65,1934044.362
600977.SH,20250825,13.09,13.09,12.96,13.04,13.09,-0.05,-0.382,277511.34,361254.902
600980.SH,20250825,25.8,27.27,25.6,26.34,25.53,0.81,3.1727,300476.99,795667.267
600999.SH,20250825,19.65,20.25,19.54,19.88,19.32,0.56,2.8986,925546.69,1832126.788
600998.SH,20250825,5.48,5.51,5.4,5.44,5.46,-0.02,-0.3663,547665.1,298909.392
600997.SH,20250825,6.39,6.51,6.37,6.44,6.33,0.11,1.7378,178558.03,114935.177
600996.SH,20250825,8.61,8.87,8.57,8.7,8.57,0.13,1.5169,321377.24,279816.972
600995.SH,20250825,10.29,10.5,10.23,10.38,10.23,0.15,1.4663,224507.41,231980.499
600993.SH,20250825,28.68,28.73,28.2,28.4,28.67,-0.27,-0.9418,74965.07,212937.582
600992.SH,20250825,15.35,15.39,15.2,15.3,15.32,-0.02,-0.1305,55931.14,85493.996
600990.SH,20250825,33.09,33.09,32.1,32.61,32.74,-0.13,-0.3971,180123.41,586466.04
600989.SH,20250825,16.34,16.6,16.33,16.6,16.27,0.33,2.0283,676839.29,1115806.482
600988.SH,20250825,24.7,25.31,24.7,25.3,24.32,0.98,4.0296,898901.06,2249906.107
600987.SH,20250825,7.45,7.47,7.41,7.44,7.47,-0.03,-0.4016,80942.18,60154.556
600986.SH,20250825,9.97,10.11,9.76,9.91,9.79,0.12,1.2257,1165474.39,1159296.029
600985.SH,20250825,13.3,13.4,13.19,13.3,13.19,0.11,0.834,253559.22,337125.052
600984.SH,20250825,3.63,3.72,3.6,3.65,3.62,0.03,0.8287,411407.6,150057.258
600983.SH,20250825,11.13,11.18,11.05,11.16,11.14,0.02,0.1795,56355.94,62735.448
600982.SH,20250825,4.74,4.77,4.72,4.74,4.74,0.0,0.0,231612.0,109865.957
600981.SH,20250825,3.2,3.27,3.18,3.21,3.2,0.01,0.3125,317812.6,102565.008
600979.SH,20250825,5.55,6.02,5.5,5.7,5.53,0.17,3.0741,2407050.84,1364991.835
601000.SH,20250825,4.04,4.05,4.03,4.05,4.04,0.01,0.2475,465929.08,188342.831
600939.SH,20250825,3.63,3.72,3.61,3.68,3.64,0.04,1.0989,186126.22,68368.304
600936.SH,20250825,3.82,3.84,3.77,3.8,3.81,-0.01,-0.2625,217480.0,82729.636
600894.SH,20250825,10.9,10.96,10.81,10.86,10.9,-0.04,-0.367,89889.2,97729.683
600893.SH,20250825,41.18,41.65,40.68,41.45,40.81,0.64,1.5682,362048.66,1493727.85
600892.SH,20250825,3.51,3.52,3.34,3.35,3.52,-0.17,-4.8295,291756.0,99434.707
600889.SH,20250825,16.38,16.48,16.06,16.13,16.21,-0.08,-0.4935,143129.0,232467.922
600888.SH,20250825,7.75,7.89,7.72,7.85,7.68,0.17,2.2135,422030.14,329920.959
600887.SH,20250825,27.76,28.18,27.74,28.17,27.69,0.48,1.7335,888164.68,2482832.113
600886.SH,20250825,14.76,14.89,14.73,14.88,14.74,0.14,0.9498,236569.29,349747.545
600885.SH,20250825,25.76,26.31,25.76,25.97,25.71,0.26,1.0113,291386.04,756630.524
600884.SH,20250825,11.77,11.85,11.41,11.55,11.82,-0.27,-2.2843,1000801.86,1162564.327
600883.SH,20250825,8.46,8.49,8.33,8.36,8.37,-0.01,-0.1195,36894.0,31007.754
600882.SH,20250825,27.17,27.91,27.01,27.62,27.18,0.44,1.6188,88461.06,243683.093
600881.SH,20250825,2.09,2.13,2.07,2.09,2.07,0.02,0.9662,1431209.0,300074.808
600880.SH,20250825,5.24,5.25,5.17,5.21,5.21,0.0,0.0,361446.0,188227.508
600879.SH,20250825,11.31,12.16,11.16,11.91,11.28,0.63,5.5851,2491107.51,2885993.184
600877.SH,20250825,14.41,14.95,14.41,14.61,14.36,0.25,1.7409,505252.2,739441.498
600876.SH,20250825,11.35,11.35,11.1,11.22,11.27,-0.05,-0.4437,60735.2,68017.04
600875.SH,20250825,20.12,20.65,20.12,20.65,20.1,0.55,2.7363,705345.56,1442596.593
600895.SH,20250825,35.44,36.01,34.91,35.83,34.96,0.87,2.4886,1047781.05,3725998.648
600938.SH,20250825,25.75,25.99,25.6,25.99,25.66,0.33,1.286,522667.22,1349320.481
600897.SH,20250825,15.06,15.21,15.02,15.12,15.06,0.06,0.3984,36421.01,55080.856
600901.SH,20250825,5.76,5.79,5.75,5.77,5.77,0.0,0.0,422622.4,243744.209
600935.SH,20250825,2.55,2.6,2.55,2.57,2.56,0.01,0.3906,287972.07,74050.685
600933.SH,20250825,19.8,20.2,19.51,19.7,19.75,-0.05,-0.2532,161898.53,320005.628
600930.SH,20250825,6.44,6.75,6.44,6.72,6.44,0.28,4.3478,4370099.78,2884466.909
600929.SH,20250825,5.41,5.54,5.38,5.5,5.41,0.09,1.6636,242495.44,132217.144
600928.SH,20250825,3.88,3.92,3.85,3.91,3.88,0.03,0.7732,290874.89,113239.915
600927.SH,20250825,16.1,16.29,15.96,16.07,15.98,0.09,0.5632,149772.94,241064.973
600926.SH,20250825,16.05,16.2,15.92,16.18,16.09,0.09,0.5594,934872.69,1505994.106
600925.SH,20250825,5.02,5.04,5.01,5.03,5.02,0.01,0.1992,178265.08,89597.403
600919.SH,20250825,11.04,11.11,10.95,11.07,11.15,-0.08,-0.7175,2035570.85,2245522.551
600918.SH,20250825,7.38,7.44,7.28,7.36,7.32,0.04,0.5464,637956.92,469259.258
600917.SH,20250825,5.78,5.85,5.78,5.84,5.83,0.01,0.1715,100798.45,58748.623
600916.SH,20250825,8.18,8.22,8.17,8.22,8.17,0.05,0.612,325811.86,267202.276
600909.SH,20250825,6.72,6.8,6.61,6.68,6.62,0.06,0.9063,1067584.18,713027.093
600908.SH,20250825,6.16,6.27,6.15,6.21,6.18,0.03,0.4854,282036.22,175443.573
600906.SH,20250825,8.05,8.09,7.85,7.94,7.95,-0.01,-0.1258,943697.79,749843.714
600905.SH,20250825,4.28,4.33,4.27,4.32,4.28,0.04,0.9346,1932413.41,831800.754
600903.SH,20250825,7.15,7.19,7.14,7.17,7.17,0.0,0.0,133348.97,95589.087
600900.SH,20250825,28.04,28.55,28.03,28.35,27.87,0.48,1.7223,2185666.04,6194362.996
601001.SH,20250825,14.07,14.25,13.88,14.09,14.03,0.06,0.4277,286574.74,403382.12
601002.SH,20250825,5.69,5.82,5.65,5.73,5.67,0.06,1.0582,346059.95,198925.85
601003.SH,20250825,5.88,6.15,5.87,5.99,5.89,0.1,1.6978,709132.35,427901.611
601177.SH,20250825,20.52,20.74,20.2,20.39,20.37,0.02,0.0982,328457.64,671605.104
601169.SH,20250825,6.21,6.32,6.2,6.3,6.22,0.08,1.2862,1659751.15,1040810.922
601168.SH,20250825,18.19,18.84,18.19,18.67,17.94,0.73,4.0691,676779.11,1259291.742
601166.SH,20250825,22.78,22.97,22.71,22.95,22.77,0.18,0.7905,617576.74,1412332.034
601163.SH,20250825,14.31,14.39,14.26,14.3,14.29,0.01,0.07,53108.49,76100.451
601162.SH,20250825,5.77,5.88,5.71,5.81,5.71,0.1,1.7513,10151962.36,5865938.395
601158.SH,20250825,4.76,4.78,4.74,4.76,4.75,0.01,0.2105,239551.78,114011.737
