ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20260302,10.85,10.89,10.77,10.85,10.9,-0.05000000000000071,-0.46,838873.55,908747.812
000002.SZ,20260302,4.76,4.82,4.73,4.75,4.84,-0.08999999999999986,-1.86,1491507.1,710169.995
000004.SZ,20260302,6.58,6.71,6.56,6.56,6.9,-0.34000000000000075,-4.93,38061.0,25042.215
000006.SZ,20260302,9.05,9.09,8.82,8.94,9.28,-0.33999999999999986,-3.66,322868.93,289234.379
000007.SZ,20260302,13.4,13.69,12.98,13.5,13.62,-0.11999999999999922,-0.88,89004.0,119416.013
ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20260302,10.85,10.89,10.77,10.85,10.9,-0.05000000000000071,-0.46,838873.55,908747.812
000002.SZ,20260302,4.76,4.82,4.73,4.75,4.84,-0.08999999999999986,-1.86,1491507.1,710169.995
000004.SZ,20260302,6.58,6.71,6.56,6.56,6.9,-0.34000000000000075,-4.93,38061.0,25042.215
000006.SZ,20260302,9.05,9.09,8.82,8.94,9.28,-0.33999999999999986,-3.66,322868.93,289234.379
000007.SZ,20260302,13.4,13.69,12.98,13.5,13.62,-0.11999999999999922,-0.88,89004.0,119416.013
000008.SZ,20260302,2.99,3.0,2.93,2.96,3.01,-0.04999999999999982,-1.66,671070.62,198650.824
000009.SZ,20260302,9.46,9.52,9.21,9.35,9.55,-0.20000000000000107,-2.09,325692.98,304298.224
000010.SZ,20260302,4.02,4.36,4.0,4.17,4.28,-0.11000000000000032,-2.57,978867.0,412429.655
000011.SZ,20260302,8.8,8.8,8.5,8.61,8.89,-0.28000000000000114,-3.15,78540.07,67890.172
000012.SZ,20260302,4.95,5.0,4.88,4.93,5.03,-0.10000000000000053,-1.99,602257.0,297340.941
000014.SZ,20260302,13.63,13.69,13.1,13.26,13.83,-0.5700000000000003,-4.12,105138.61,140192.466
000016.SZ,20260302,3.75,3.78,3.66,3.67,3.82,-0.1499999999999999,-3.93,423308.6,156618.07
000017.SZ,20260302,7.75,7.75,7.44,7.64,7.7,-0.0600000000000005,-0.78,120019.0,91181.238
000019.SZ,20260302,7.25,7.39,7.21,7.35,7.2,0.14999999999999947,2.08,222063.42,162534.198
000020.SZ,20260302,14.6,15.06,14.4,14.45,15.09,-0.6400000000000006,-4.24,45078.0,65727.239
000021.SZ,20260302,32.91,34.48,32.9,33.45,34.4,-0.9499999999999957,-2.76,1131836.84,3817458.188
000025.SZ,20260302,18.14,18.28,17.78,18.1,18.25,-0.14999999999999858,-0.82,70412.35,126836.561
000026.SZ,20260302,15.65,15.8,15.33,15.59,15.83,-0.2400000000000002,-1.52,61247.0,95217.138
000027.SZ,20260302,6.97,7.09,6.94,7.03,7.02,0.010000000000000675,0.14,444762.31,312831.31
000028.SZ,20260302,25.63,26.0,25.63,25.95,25.83,0.120000000000001,0.46,53937.4,139433.636
000029.SZ,20260302,22.5,23.3,22.3,22.8,23.21,-0.41000000000000014,-1.77,73735.18,169084.983
000030.SZ,20260302,5.49,5.58,5.45,5.53,5.56,-0.02999999999999936,-0.54,146942.13,81140.271
000031.SZ,20260302,3.4,3.49,3.36,3.44,3.46,-0.020000000000000018,-0.58,280831.57,96213.43
