"Date","Price","Open","High","Low","Vol.","Change %"
"02/27/2026","1.169","1.165","1.172","1.161","1.28B","0.26%"
"02/26/2026","1.166","1.178","1.179","1.163","1.68B","-1.10%"
"02/25/2026","1.179","1.173","1.189","1.172","1.82B","0.60%"
"02/24/2026","1.172","1.178","1.180","1.171","907.90M","-0.17%"
"02/13/2026","1.174","1.186","1.191","1.173","1.28B","-0.93%"
"02/12/2026","1.185","1.193","1.194","1.184","988.36M","-0.75%"
"02/11/2026","1.194","1.196","1.198","1.190","856.63M","-0.17%"
"02/10/2026","1.196","1.198","1.200","1.194","848.93M","-0.08%"
"02/09/2026","1.197","1.192","1.198","1.189","1.24B","0.93%"
"02/06/2026","1.186","1.186","1.195","1.183","1.18B","-0.59%"
"02/05/2026","1.193","1.185","1.200","1.182","1.61B","0.17%"
"02/04/2026","1.191","1.171","1.193","1.170","2.02B","1.45%"
"02/03/2026","1.174","1.185","1.186","1.163","2.03B","-0.34%"
"02/02/2026","1.178","1.192","1.207","1.175","2.13B","-1.34%"
"01/30/2026","1.194","1.207","1.211","1.190","1.91B","-1.49%"
"01/29/2026","1.212","1.194","1.214","1.182","2.63B","1.25%"
"01/28/2026","1.197","1.199","1.206","1.195","1.68B","0.00%"
"01/27/2026","1.197","1.209","1.209","1.189","1.90B","-1.16%"
"01/26/2026","1.211","1.200","1.225","1.198","2.75B","0.92%"
"01/23/2026","1.200","1.205","1.208","1.197","1.81B","-0.25%"
"01/22/2026","1.203","1.202","1.212","1.200","1.55B","0.17%"
"01/21/2026","1.201","1.204","1.209","1.198","1.71B","-0.50%"
"01/20/2026","1.207","1.202","1.210","1.200","1.83B","0.33%"
"01/19/2026","1.203","1.205","1.208","1.198","1.94B","-0.41%"
"01/16/2026","1.208","1.224","1.228","1.205","2.09B","-0.82%"
"01/15/2026","1.218","1.231","1.239","1.214","2.78B","-1.54%"
"01/14/2026","1.237","1.244","1.275","1.230","3.75B","-0.72%"
"01/13/2026","1.246","1.259","1.272","1.241","2.41B","-0.64%"
"01/12/2026","1.254","1.236","1.255","1.230","3.27B","1.37%"
"01/09/2026","1.237","1.233","1.243","1.228","2.58B","0.32%"
"01/08/2026","1.233","1.258","1.258","1.229","3.91B","-2.68%"
"01/07/2026","1.267","1.287","1.287","1.258","2.77B","-1.48%"
