trade_date,open,high,low,close,pct_chg,volume,amount_est
20160809,1.002,1.016,1.002,1.012,0.8,45660000.0,46207920.0
20160810,1.013,1.021,1.008,1.01,-0.2,29540000.0,29835400.0
20160811,1.01,1.029,1.009,1.014,0.4,37020000.0,37538280.0
20160812,1.013,1.041,1.009,1.037,2.27,36500000.0,37850500.0
20160815,1.044,1.132,1.04,1.097,5.79,108430000.0,118947710.0
20160816,1.1,1.102,1.084,1.086,-1.0,62080000.0,67418880.0
20160817,1.095,1.106,1.072,1.08,-0.55,40260000.0,43480800.0
20160818,1.071,1.085,1.062,1.068,-1.11,45600000.0,48700800.0
20160819,1.068,1.073,1.06,1.068,0.0,36300000.0,38768400.0
20160822,1.071,1.071,1.044,1.045,-2.15,34610000.0,36167450.0
20160823,1.048,1.062,1.044,1.056,1.05,24480000.0,25850880.0
20160824,1.058,1.06,1.045,1.049,-0.66,19760000.0,20728240.0
20160825,1.045,1.058,1.038,1.054,0.48,24630000.0,25960020.0
20160826,1.051,1.057,1.046,1.048,-0.57,17800000.0,18654400.0
20160829,1.048,1.053,1.042,1.049,0.1,12260000.0,12860740.0
20160830,1.05,1.062,1.047,1.054,0.48,23380000.0,24642520.0
20160831,1.051,1.067,1.05,1.061,0.66,27300000.0,28965300.0
20160901,1.06,1.06,1.044,1.044,-1.6,25070000.0,26173080.0
20160902,1.041,1.063,1.039,1.051,0.67,23400000.0,24593400.0
20160905,1.05,1.067,1.05,1.054,0.29,38430000.0,40505220.0
20160906,1.053,1.06,1.04,1.057,0.28,25750000.0,27217750.0
20160907,1.057,1.064,1.053,1.056,-0.09,21030000.0,22207680.0
20160908,1.055,1.057,1.05,1.054,-0.19,14970000.0,15778380.0
20160909,1.053,1.059,1.048,1.049,-0.47,28410000.0,29802089.999999996
20160912,1.04,1.04,1.011,1.023,-2.48,42580000.0,43559339.99999999
20160913,1.021,1.026,1.015,1.02,-0.29,14940000.0,15238800.0
20160914,1.015,1.018,1.009,1.012,-0.78,13100000.0,13257200.0
20160919,1.012,1.018,1.012,1.015,0.3,10760000.0,10921399.999999998
20160920,1.015,1.016,1.01,1.013,-0.2,23260000.0,23562379.999999996
20160921,1.012,1.027,1.012,1.02,0.69,38800000.0,39576000.0
20160922,1.026,1.029,1.02,1.02,0.0,15390000.0,15697800.0
20160923,1.02,1.023,1.015,1.016,-0.39,14770000.0,15006320.0
20160926,1.016,1.016,0.996,0.998,-1.77,20980000.0,20938040.0
20160927,0.997,1.008,0.996,1.008,1.0,19370000.0,19524960.0
20160928,1.006,1.008,1.002,1.002,-0.6,6920000.0,6933840.0
