ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
600030.SH,20251025,20251025,20250930,1,4,3,14820546829.0,90785010202.33,116888556926.21,12072549359.46,,442603304571.3,792850694595.95,,,,,,,,,,86920124015.18,,,,,56329920654.14,,,,,9809873579.52,851268290.2,,4841758989.73,,5587024450.99,2719461065.82,,,,,3194445919.16,,8441672204.33,,9023975492.7,,,,,,,38455703363.64,,,,,100554170416.79,,,,346225711282.47,67503852360.04,,,2026309578991.81,10111815.82,26868536154.6,,,7581113543.41,156023649657.81,,,,436791835159.55,,24940982702.41,7479248751.21,,,,,,,,,506094194311.62,400000000.0,,,,132765121537.61,,,780755554.17,362265461.74,,,,,69117649588.77,,,9786521640.2,,,,,,,,,,,,1705517239744.93,,44193801829.12,,,5767612266.51,315024726980.37,320792339246.88,2026309578991.81,,1502557777.61,34761704056.64,,191709011788.56,130626074284.77,81144631984.91,242639809871.46,,,,,,38500132.98,,,,,,,,,38578806013.48,0
600030.SH,20250829,20250829,20250630,1,4,2,14820546829.0,90787100603.23,108255573118.93,12072549359.46,,389501334903.15,740483292521.34,,,,,,,,,,67304881991.89,,,,,59231079399.09,,,,,9786701432.33,863734631.12,,4267869350.79,,5687279369.51,2636552085.19,,,,,3236765676.1,,8445730117.61,,8502279973.91,,,,,,,35947378390.26,,,,,77920003567.38,,,,307855836601.26,52093900878.75,,,1807730527885.19,10455595.41,27227937291.73,,,33978070067.29,131808066884.74,,,,401576610511.13,,25372234181.91,5000780034.48,,,,,,,,,433717503583.04,6425943.4,,,,123216769342.17,,,779610534.81,256925398.82,,,,,50883407260.38,,,12355709221.07,,,,,,,,,,,,1496806360219.7,,44041881408.28,,,5490801216.75,305433366448.74,310924167665.49,1807730527885.19,,1694011073.2,33761704056.64,,143168724499.79,106262847643.81,31246491314.37,216964422804.25,,,,,,,,,,,,,,,56916449031.47,0
600030.SH,20250430,20250430,20250331,1,4,1,14820546829.0,90787100603.23,105662834884.03,12072549359.46,,321783563604.04,777220945286.07,,,,,,,,,,75245770921.51,,,,,54497245572.73,,,,,9580778157.24,865893325.2,,5514051622.47,,5788181857.6,2414571627.99,,,,,3267927333.16,,8447148257.78,,8673203880.33,,,,,,,42052256194.36,,,,,78504206502.13,,,,259826371771.92,56397248250.35,,,1789291189074.62,163388808.56,16937949178.63,,,14325050345.62,138844801674.6,,,,451784943208.26,,23613606311.25,5187665154.79,,,,,,,,,389291213494.43,5240224016.9,,,,131265825900.85,,,795772345.31,280844121.04,,,,,48911912154.26,,,9218235610.23,,,,,,,,,,,,1481551546106.53,,43924844863.65,,,5301388787.12,302438254180.97,307739642968.09,1789291189074.62,,1408673584.96,33761704056.64,,149777174342.44,97987728236.48,46029147805.04,197401405155.98,,,,,,100457271.53,,,,,,,,,53943498211.62,0
600030.SH,20250327,20250327,20241231,1,4,4,14820546829.0,90793134329.49,99530377621.47,12072549359.46,,370646431306.03,690862193605.03,,,,,,,,,,61608887612.51,,,,,44268496074.08,,,,,9607514080.96,870131407.99,,4084831638.89,,5969570882.24,2302043824.41,,,,,3322494494.87,,8448273283.36,,7755761646.97,,,,,,,48997451660.41,,,,,68215034536.32,,,,266597397073.76,49163883092.58,,,1710710828343.76,306402008.56,14088266763.67,,,45493064352.55,124386244979.56,,,,390168959611.96,,22332424246.18,3647776768.07,,,,,,,,,362448643767.97,1063310199.28,,,,142546642302.99,,,800227977.77,361730844.9,,,,,53953627520.6,,,7115852254.98,,,,,,,,,,,,1411944156810.95,,43809289347.98,,,5657945920.65,293108725612.16,298766671532.81,1710710828343.76,,1321124068.12,30761704056.64,,138331661925.36,72343295527.94,42711433135.93,198182866746.88,,,,,,74607018.77,,,,,,,,,80243126877.17,0
600030.SH,20241030,20241030,20240930,1,4,3,14820546829.0,90807357593.6,102160173399.27,11640007995.51,,347973538272.21,760777218869.28,,,,,,,,,,51187294879.76,,,,,40778947383.48,,,,,9608261485.41,884497835.99,,6333050485.45,,6425611435.59,2157913738.26,,,,,3249451979.66,,8434399514.82,,4510029356.7,,,,,,,43249893222.86,,,,,70971942164.47,,,,263643273721.09,42438252405.32,,,1731716155344.04,337657820.76,22168293467.55,,,28293642804.41,124491647077.22,,,,394154221914.32,,20581913428.84,2286783367.91,,,,,,,,,377013234433.29,,,,,134088005615.77,,,641351358.23,422040732.56,,,,,56631360128.06,,,8297326102.82,,,,,,,,,,,,1439753625230.35,,40587198473.27,,,5447395980.71,286515134132.98,291962530113.69,1731716155344.04,,738145785.69,25761704056.64,,113407922292.31,126190308324.15,34260310414.49,233755704742.03,,,,,,21105058.64,,,,,,,,,66065145245.85,1
600030.SH,20241030,20241030,20240930,1,4,3,14820546829.0,90807357593.6,102160173399.27,11640007995.51,,347973538272.21,760777218869.28,,,,,,,,,,51187294879.76,,,,,40778947383.48,,,,,9608261485.41,884497835.99,,6333050485.45,,6425611435.59,2157913738.26,,,,,3249451979.66,,8434399514.82,,4510029356.7,,,,,,,43249893222.86,,,,,70971942164.47,,,,263643273721.09,42438252405.32,,,1731716155344.04,337657820.76,22168293467.55,,,28293642804.41,124491647077.22,,,,394154221914.32,,20581913428.84,2286783367.91,,,,,,,,,377013234433.29,,,,,134088005615.77,,,641351358.23,422040732.56,,,,,56631360128.06,,,8297326102.82,,,,,,,,,,,,1439753625230.35,,40587198473.27,,,5447395980.71,286515134132.98,291962530113.69,1731716155344.04,,738145785.69,25761704056.64,,113407922292.31,126190308324.15,34260310414.49,233755704742.03,,,,,,21105058.64,,,,,,,,,66065145245.85,0
600030.SH,20240829,20240829,20240630,1,4,2,14820546829.0,90811377027.45,96390002763.52,11640007995.51,,280373216827.24,637156570963.19,,,,,,,,,,46167092685.85,,,,,56095753406.95,,,,,9807989410.67,888085299.66,,4357087141.66,,6579930505.07,2098952111.11,,,,,3272532499.96,,8443428936.9,,5809752540.04,,,,,,,40284024504.35,,,,,62098916214.08,,,,199188177660.0,36686801382.9,,,1495011600037.17,363920072.75,8805401932.42,,,40030360228.29,104943528858.72,,,,298742018918.78,,21594698028.95,2047532506.55,,,,,,,,,288968311532.62,1680000.0,,,,144860501163.15,,,705986539.53,329253932.08,,,,,43407362792.26,,,14523393742.48,,,,,,,,,,,,1210528703115.17,,40459242415.61,,,5211387426.12,279271509495.88,284482896922.0,1495011600037.17,,1388628408.15,23761704056.64,,113359327509.92,79260673356.04,36412682461.81,202382725536.97,,,,,,32232776.59,,,,,,,,,69625839724.42,1
600030.SH,20240427,20240427,20240331,1,4,1,14820546829.0,90810573737.85,98128907518.14,11640007995.51,,334349441328.58,673004489900.31,,,,,,,,,,46896036618.36,,,,,49773847036.24,,,,,9658930603.56,896074446.25,,6569962600.76,,6642099302.29,2096413293.5,,,,,3308102190.83,,8440878522.39,,5600497317.44,,,,,,,35576751853.13,,,,,62022157103.38,,,,214352090291.87,34660554927.86,,,1567330467626.26,260710850.82,6050141276.28,,,14041374460.86,88197188030.86,,,,396527201133.33,,19744481231.17,2631732079.97,,,,,,,,,298873118008.83,170355967.66,,,,149487360383.34,,,778731916.79,120489658.52,,,,,39132194824.56,,,7707215831.3,,,,,,,,,,,,1281425588671.87,,40356225684.9,,,5004034340.21,280900844614.18,285904878954.39,1567330467626.26,,1382878792.14,23761704056.64,,114279716136.22,76855525684.21,47060436466.46,208164126568.95,,,,,,16101299.48,,,,,,,,,63774432429.26,0
600030.SH,20240427,20240427,20240331,1,4,1,14820546829.0,90810573737.85,98128907518.14,11640007995.51,,334349441328.58,673004489900.31,,,,,,,,,,46896036618.36,,,,,49773847036.24,,,,,9658930603.56,896074446.25,,6569962600.76,,6642099302.29,2096413293.5,,,,,3308102190.83,,8440878522.39,,5600497317.44,,,,,,,35576751853.13,,,,,62022157103.38,,,,214352090291.87,34660554927.86,,,1567330467626.26,260710850.82,6050141276.28,,,14041374460.86,88197188030.86,,,,396527201133.33,,19744481231.17,2631732079.97,,,,,,,,,298873118008.83,170355967.66,,,,149487360383.34,,,778731916.79,120489658.52,,,,,39132194824.56,,,7707215831.3,,,,,,,,,,,,1281425588671.87,,40356225684.9,,,5004034340.21,280900844614.18,285904878954.39,1567330467626.26,,1382878792.14,23761704056.64,,114279716136.22,76855525684.21,47060436466.46,208164126568.95,,,,,,16101299.48,,,,,,,,,63774432429.26,1
600030.SH,20240327,20240327,20231231,1,4,4,14820546829.0,90824612393.5,93449787059.61,11640007995.51,,302792491927.58,625046775091.83,,,,,,,,,,45999597845.68,,,,,62209156076.62,,,,,9650008845.75,904504718.35,,4766278895.18,,6756965729.27,2050751195.13,,,,,3352039017.53,,8439523765.04,,6693864655.45,,,,,,,32754244590.94,,,,,62181919843.48,,,,205906733690.67,33112290817.22,,,1453359126043.71,461255543.04,7613933729.87,,,53623195102.93,86462197393.13,,,,283346323073.66,,19779839972.67,2502744484.17,,,,,,,,,283820892187.89,35356000.0,,,,143808672319.38,,,867663990.49,170274770.59,,,,,32006021134.59,,,6740488964.01,,,,,,,,,,,,1179159917980.1,,40250609738.18,,,5359599592.78,268839608470.83,274199208063.61,1453359126043.71,,1092340398.39,16761704056.64,,118745730276.99,67924047626.03,57407011865.67,198061310038.86,,,,,,24140594.34,,,,,,,,,81183382445.21,1
