ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
600030.SH,20251025,20251025,20250930,4,1,3,,,,,,,,,,,,51465803498.15,,-37900030411.89,55759048902.83,114684277807.91,330116619177.91,,14373555154.67,7002717799.14,,,,22261020239.19,,170708131013.47,273914558292.89,56202060885.02,73743940.39,38420176756.99,197048129.23,,,38690968826.61,801658895.48,3234188561.6,,122000000.0,,4157847457.08,34533121369.53,202403678596.55,221065542140.08,,427469220736.63,,380811156160.64,10347813995.83,508121273.96,927738509.38,392086708665.85,35382512070.78,-359587852.91,125758106472.42,421778756897.94,547536863370.36,4000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,146107519380.91,,,,,,,,0
600030.SH,20250829,20250829,20250630,4,1,2,14146231346.78,,,,,,,,,,,31091313531.18,,,11225096929.5,61814817246.5,175571055058.39,,8083205575.95,4877146763.97,,,,13451519655.05,,99334189178.6,145223935880.52,30347119177.87,162415217.63,32298198261.19,43114832.96,,,32503728311.78,537548039.91,32462518.82,,122000000.0,,692010558.73,31811717753.05,124253024153.61,98816552805.09,385892539.07,226455469497.77,,240124051105.67,4288086923.33,455721273.96,537546023.96,244949684052.96,-18494214555.19,-52833087.32,43611789288.41,421778756897.94,465390546186.35,3000000000.0,,,,847305093.5,121819773.42,84718855.2,,,-2183853.4,,1520858749.81,-2569488401.59,-840683955.69,,,47548484485.53,-12889776283.51,,30347119177.87,,,,43611789288.41,11509406353.73,71439827351.21,,,,445914720465.32,421778756897.94,19475825721.03,,0
600030.SH,20250430,20250430,20250331,4,1,1,,,,,,,,,,,,15219822027.11,,-31182297826.42,56302849703.6,26987240662.39,94210133453.62,,4431913634.67,1776701264.55,,,,7094369409.15,,58323806305.43,147570232857.24,-53360099403.62,6241850.99,26755115220.14,,,,26761357071.13,182901259.66,,,60000000.0,,242901259.66,26518455811.47,49014920699.58,46456010408.88,,98470931108.46,,100008014389.53,2320327246.67,1216.54,300226829.82,102628568466.02,-4157637357.56,105911168.51,-30893369781.2,421778756897.94,390885387116.74,3000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,26882518886.94,,,,,,,,0
600030.SH,20250327,20250327,20241231,4,1,4,22589456799.93,,,,,,,,,,,56357830512.32,,,128921837119.91,46150577214.65,309928296089.9,,18347783932.59,7719772634.06,,,,23374912400.96,,56288221547.35,137365292534.5,172563003555.4,132962750.76,285577664.24,130370660.18,688559442.93,,1237470518.11,1293351396.68,74147915565.58,,60000000.0,,75501266962.26,-74263796444.15,126109037390.19,241196279677.0,,381305317067.19,,377214213110.3,18557984692.59,587556400.0,895415284.97,396667613087.86,-15362296020.67,245088113.32,83181999203.9,338596757694.04,421778756897.94,14000000000.0,,,,1731436877.09,231776791.85,160872243.59,,,-206028318.4,,6023331456.68,-6194414190.81,-1062814267.02,,-292703177.97,-53430027325.39,220219912134.15,,172563003555.4,,,,83181999203.9,8060722394.12,78498051243.02,,,,421778756897.94,338596757694.04,,,0
600030.SH,20241030,20241030,20240930,4,1,3,,,,,,,,,,,,39643004479.46,,-25209951900.32,135999690345.97,64017460009.1,307859254882.68,,13573440704.35,4932387758.71,,,,16008881977.89,,109382820957.77,194244284580.89,113614970301.79,74696480.71,121703862.45,95864876.06,,,292265219.22,679333111.47,38469938381.37,,60000000.0,,39209271492.84,-38917006273.62,87468750244.55,144201380647.35,,240670130891.9,,251014190362.21,12979007532.47,558000000.0,646276708.6,264639474603.28,-23969343711.38,-194070978.63,50534549338.16,338596757694.04,389131307032.2,9000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,93409051948.47,,,,,,,,0
600030.SH,20240829,20240829,20240630,4,1,2,10981937854.85,,,,,,,,,,,26912484050.63,,,23355314685.23,40020951298.87,119650323878.41,,7978593704.65,3501313199.48,,,,10886623724.17,,46271639670.64,82217885393.9,37432438484.51,68216380.9,95256553.21,,,,163472934.11,454058770.99,42546845135.4,,60000000.0,,43060903906.39,-42897430972.28,43608412053.54,81727824695.46,,132336236749.0,,144450496668.01,3819213146.83,558000000.0,534860212.41,148804570027.25,-16468333278.25,-163542817.6,-22096868583.62,338596757694.04,316499889110.42,7000000000.0,,,,858812497.69,112427774.72,75523881.07,,,-777384.44,,-3061655412.35,-2958782745.28,702399332.3,172573532.54,217944199.33,24722782726.13,-9612319103.44,,37432438484.51,,,,-22096868583.62,13579715094.96,5100957682.6,,,,316499889110.42,338596757694.04,,,0
600030.SH,20240427,20240427,20240331,4,1,1,,,,,,,,,,,,12726892753.89,,-39500086107.87,126438021680.45,29418431603.92,144169643007.88,,4446149764.28,2003677548.37,,,,5561346542.86,,26629050830.16,73674463150.74,70495179857.14,5204766.85,72187721.89,,,,77392488.74,203981519.04,36535769306.85,,,,36739750825.89,-36662358337.15,21545097687.48,42610175584.15,,71155273271.63,,70496901192.62,1856879306.52,28800000.0,195918979.33,72549699478.47,-1394426206.84,-125983394.29,32312411918.86,338596757694.04,370909169612.9,7000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,15086383077.49,,,,,,,,0
600030.SH,20240327,20240327,20231231,4,1,4,20539345229.01,,,,,,,,,,,56039306978.57,,23910639662.96,41003062907.46,25376096562.12,150702258817.63,,20852043929.75,10945256029.84,,,,19546117279.76,,46093760339.57,191539218517.06,-40836959699.43,161612722.32,893648769.82,103421026.88,,,1158682519.02,1579772709.99,17536930227.11,,240000000.0,,19356702937.1,-18198020418.08,107672044503.45,234636055032.66,,345308099536.11,,281435573059.27,14296620069.12,487178665.11,1294480374.21,297026673502.6,48281426033.51,398769399.21,-10354784684.79,348951542378.83,338596757694.04,3000000000.0,,,,1565186878.88,265998453.61,137217983.4,,,-632856.25,,-3573683091.94,-3812008987.74,,,-720406882.25,-74550951670.34,104608719209.56,,-40836959699.43,,,,-10354784684.79,,4373152706.52,,,,338596757694.04,348951542378.83,,,1
600030.SH,20231031,20231031,20230930,4,1,3,,,,,,,,,,,,43581872781.9,,-5818597582.19,68336223146.27,57864279024.94,170925131552.3,,16780216973.99,8410523729.55,,,,13924236334.21,,75174018932.65,225221314340.22,-54296182787.92,11225197.66,14938456808.94,99649249.97,,,15049331256.57,932875502.29,1011972387.3,,120000000.0,,2064847889.59,12984483366.98,84209266372.03,167525835731.09,,251735102103.12,,224503283892.43,13483996814.49,488648665.11,995812485.19,238983093192.11,12752008911.01,255990862.45,-28303699647.48,348951542378.83,320647842731.35,,,,,,,,,,,,,,,,,,,,,,,,,,6961354181.38,,,,,,,,0
600030.SH,20230830,20230830,20230630,4,1,2,11751910719.93,,,,,,,,,,,30430011775.57,,,41055870758.77,26105850968.43,124129977467.25,,8876385036.13,6816789800.65,,,,9371742430.36,,38148733008.83,113521217459.68,10608760007.57,2893498.24,684599489.95,,,,687492988.19,590484809.16,31252365.23,,120000000.0,,741737174.39,-54244186.2,61513485120.48,101552215345.64,,163065700466.12,,134507268544.64,3995996612.95,488648665.11,666519297.7,139169784455.29,23895916010.83,707152678.27,35157584510.47,348951542378.83,384109126889.3,,,,,732143390.11,154490876.72,64217010.22,,,-1858873.56,,-1709606028.27,-1678657233.26,1060079910.38,-807919256.64,322815078.18,-26940927195.39,63717067218.78,,10608760007.57,,,,35157584510.47,10912573570.71,26538243964.48,,,,384109126889.3,348951542378.83,,,1
