ts_code,ann_date,end_date,pre_date,actual_date
600030.SH,,20001231,,20021213
600030.SH,,19991231,,20021213
600030.SH,,20020630,,20021213
600030.SH,,20011231,,20021213
600030.SH,,20030331,20030415,20030415
600030.SH,,20030630,20030815,20030815
600030.SH,,20030930,20031029,20031029
600030.SH,,20031231,20040329,20040329
600030.SH,,20040331,20040429,20040429
600030.SH,,20040630,20040826,20040826
600030.SH,,20040930,20041030,20041030
600030.SH,,20041231,20050420,20050420
600030.SH,,20050331,20050429,20050429
600030.SH,,20050630,20050812,20050812
600030.SH,,20050930,20051028,20051028
600030.SH,,20051231,20060329,20060329
600030.SH,,20060331,20060427,20060427
600030.SH,,20060630,20060816,20060816
600030.SH,20061013,20060930,20061031,20061031
600030.SH,20061229,20061231,20070316,20070316
600030.SH,,20070331,20070427,20070427
600030.SH,20070629,20070630,20070815,20070815
600030.SH,20070928,20070930,20071026,20071026
600030.SH,20080220,20071231,20080317,20080317
600030.SH,20080328,20080331,20080428,20080428
600030.SH,20080630,20080630,20080809,20080809
600030.SH,20080926,20080930,20081030,20081030
600030.SH,20090330,20090331,20090430,20090430
600030.SH,20090310,20081231,20090430,20090430
600030.SH,20090630,20090630,20090815,20090815
600030.SH,20090929,20090930,20091031,20091031
600030.SH,20091231,20091231,20100331,20100331
600030.SH,20100329,20100331,20100430,20100430
600030.SH,20100630,20100630,20100828,20100828
600030.SH,20100930,20100930,20101030,20101030
600030.SH,20101231,20101231,20110409,20110409
600030.SH,20110401,20110331,20110430,20110430
600030.SH,20110630,20110630,20110820,20110820
600030.SH,20110930,20110930,20111029,20111029
600030.SH,20111231,20111231,20120330,20120330
600030.SH,20120405,20120331,20120428,20120428
600030.SH,20120629,20120630,20120831,20120831
600030.SH,20120928,20120930,20121031,20121031
600030.SH,20121231,20121231,20130328,20130328
600030.SH,20130329,20130331,20130426,20130426
600030.SH,20130628,20130630,20130830,20130830
600030.SH,20130927,20130930,20131031,20131031
600030.SH,20131230,20131231,20140328,20140328
600030.SH,20140328,20140331,20140430,20140430
600030.SH,20140626,20140630,20140829,20140829
600030.SH,20140930,20140930,20141031,20141031
600030.SH,20141226,20141231,20150324,20150324
600030.SH,20150328,20150331,20150430,20150430
600030.SH,20150626,20150630,20150825,20150825
600030.SH,20150930,20150930,20151030,20151030
600030.SH,20151225,20151231,20160324,20160324
600030.SH,20160331,20160331,20160430,20160430
600030.SH,20160629,20160630,20160825,20160825
600030.SH,20161010,20160930,20161029,20161029
600030.SH,20161223,20161231,20170323,20170323
600030.SH,20170330,20170331,20170429,20170429
600030.SH,20170629,20170630,20170826,20170826
600030.SH,20170929,20170930,20171031,20171031
600030.SH,20171229,20171231,20180323,20180323
600030.SH,20180329,20180331,20180428,20180428
600030.SH,20180628,20180630,20180824,20180824
600030.SH,20180928,20180930,20181031,20181031
600030.SH,20181227,20181231,20190322,20190322
600030.SH,20190328,20190331,20190430,20190430
600030.SH,20190628,20190630,20190823,20190823
600030.SH,20190926,20190930,20191031,20191031
600030.SH,20191227,20191231,20200320,20200320
600030.SH,20200326,20200331,20200429,20200429
600030.SH,20200627,20200630,20200825,20200825
600030.SH,20200925,20200930,20201030,20201030
600030.SH,20201231,20201231,20210319,20210319
600030.SH,20210326,20210331,20210429,20210429
600030.SH,20210625,20210630,20210820,20210820
600030.SH,20210926,20210930,20211029,20211029
600030.SH,20220225,20211231,20220329,20220329
600030.SH,20220324,20220331,20220429,20220429
600030.SH,20220623,20220630,20220830,20220830
600030.SH,20220920,20220930,20221029,20221029
600030.SH,20221229,20221231,20230331,20230331
600030.SH,20230323,20230331,20230428,20230428
600030.SH,20230621,20230630,20230830,20230830
600030.SH,20230921,20230930,20231031,20231031
600030.SH,20231228,20231231,20240327,20240327
600030.SH,20240328,20240331,20240427,20240427
600030.SH,20240627,20240630,20240829,20240829
600030.SH,20240926,20240930,20241030,20241030
600030.SH,20241226,20241231,20250327,20250327
600030.SH,20250327,20250331,20250430,20250430
600030.SH,20250626,20250630,20250829,20250829
600030.SH,20251014,20250930,20251025,20251025
600030.SH,20251225,20251231,20260327,
