ts_code,end_date,ann_date,div_proc,stk_div,stk_bo_rate,stk_co_rate,cash_div,cash_div_tax,record_date,ex_date,pay_date,div_listdate,imp_ann_date
600030.SH,20250630,20250829,预案,0.0,,,0.0,0.29,,,,,
600030.SH,20250630,20250829,股东大会通过,0.0,,,0.0,0.29,,,,,
600030.SH,20250630,20250829,实施,0.0,,,0.29,0.29,20260206,20260209,20260209,,20260203
600030.SH,20241231,20250327,预案,0.0,,,0.0,0.28,,,,,
600030.SH,20241231,20250327,股东大会通过,0.0,,,0.0,0.28,,,,,
600030.SH,20241231,20250327,实施,0.0,,,0.28,0.28,20250822,20250825,20250825,,20250819
600030.SH,20240630,20240829,预案,0.0,,,0.0,0.24,,,,,
600030.SH,20240630,20240829,股东大会通过,0.0,,,0.0,0.24,,,,,
600030.SH,20240630,20240829,实施,0.0,,,0.24,0.24,20241219,20241220,20241220,,20241214
600030.SH,20231231,20240327,预案,0.0,,,0.0,0.475,,,,,
600030.SH,20231231,20240327,股东大会通过,0.0,,,0.0,0.475,,,,,
600030.SH,20231231,20240327,实施,0.0,,,0.475,0.475,20240823,20240826,20240826,,20240816
600030.SH,20230630,20230830,预案,0.0,,,0.0,0.0,,,,,
600030.SH,20221231,20230331,预案,0.0,,,0.0,0.49,,,,,
600030.SH,20221231,20230331,股东大会通过,0.0,,,0.0,0.49,,,,,
600030.SH,20221231,20230331,实施,0.0,,,0.49,0.49,20230824,20230825,20230825,,20230818
600030.SH,20220630,20220830,预案,0.0,,,0.0,0.0,,,,,
600030.SH,20211231,20220329,预案,0.0,,,0.0,0.54,,,,,
600030.SH,20211231,20220329,股东大会通过,0.0,,,0.0,0.54,,,,,
600030.SH,20211231,20220329,实施,0.0,,,0.54,0.54,20220825,20220826,20220826,,20220819
600030.SH,20210630,20210820,预案,0.0,,,0.0,0.0,,,,,
600030.SH,20201231,20210319,预案,0.0,,,0.0,0.4,,,,,
600030.SH,20201231,20210319,股东大会通过,0.0,,,0.0,0.4,,,,,
600030.SH,20201231,20210319,实施,0.0,,,0.4,0.4,20210819,20210820,20210820,,20210813
600030.SH,20200630,20200825,预案,0.0,,,0.0,0.0,,,,,
600030.SH,20191231,20200320,预案,0.0,,,0.0,0.5,,,,,
600030.SH,20191231,20200320,股东大会通过,0.0,,,0.0,0.5,,,,,
600030.SH,20191231,20200320,实施,0.0,,,0.5,0.5,20200820,20200821,20200821,,20200814
600030.SH,20190630,20190823,预案,0.0,,,0.0,0.0,,,,,
600030.SH,20181231,20190322,预案,0.0,,,0.0,0.35,,,,,
600030.SH,20181231,20190322,股东大会通过,0.0,,,0.0,0.35,,,,,
600030.SH,20181231,20190322,实施,0.0,,,0.35,0.35,20190801,20190802,20190802,,20190726
600030.SH,20180630,20180824,预案,0.0,,,0.0,0.0,,,,,
600030.SH,20171231,20180323,实施,0.0,,,0.4,0.4,20180823,20180824,20180824,,20180817
600030.SH,20161231,20170323,实施,0.0,,,0.35,0.35,20170817,20170818,20170818,,20170811
600030.SH,20151231,20160324,实施,0.0,,,0.5,0.5,20160818,20160819,20160819,,20160812
600030.SH,20141231,20150324,实施,0.0,,,0.26776,0.28185,20150813,20150814,20150814,,20150807
600030.SH,20131231,20140328,实施,0.0,,,0.1425,0.15,20140814,20140815,20140815,,20140808
600030.SH,20121231,20130328,实施,0.0,,,0.285,0.3,20130807,20130808,20130816,,20130802
600030.SH,20111231,20120330,实施,0.0,,,0.387,0.43,20120801,20120802,20120809,,20120727
600030.SH,20101231,20110409,实施,0.0,,,0.45,0.5,20110615,20110616,20110622,,20110608
600030.SH,20091231,20100331,实施,0.5,,0.5,0.45,0.5,20100623,20100624,20100629,20100625,20100618
600030.SH,20081231,20090430,实施,0.0,,,0.45,0.5,20090610,20090611,20090617,,20090605
600030.SH,20071231,20080317,实施,1.0,,1.0,0.45,0.5,20080423,20080424,20080430,20080425,20080418
600030.SH,20061231,20070316,实施,0.0,,,0.18,0.2,20070518,20070521,20070528,,20070515
600030.SH,20051231,20060329,实施,0.0,,,0.108,0.12,20060703,20060704,20060710,,20060627
600030.SH,20041231,20050420,实施,0.0,,,0.045,0.05,20050714,20050715,20050721,,20050711
600030.SH,20031231,20040329,实施,0.0,,,0.088,0.11,20040610,20040611,20040618,,20040603
600030.SH,20021231,20030415,实施,0.0,,,0.003,0.0037,20030827,20030828,20030905,,20030822
