ts_code,ann_date,end_date,revenue,operate_profit,total_profit,n_income,total_assets,total_hldr_eqy_exc_min_int,diluted_eps,diluted_roe,yoy_net_profit,bps,perf_summary,update_flag
600030.SH,20260115,20251231,74830000000.0,40140000000.0,39788000000.0,30051000000.0,2083534000000.0,319905000000.0,1.96,10.58,21704000000.0,,,0
600030.SH,20250118,20241231,63789000000.0,28506000000.0,28418000000.0,21704000000.0,1711869000000.0,293109000000.0,1.41,8.09,19721000000.0,,,0
600030.SH,20240124,20231231,60047000000.0,26101000000.0,26172000000.0,19686000000.0,1454802000000.0,268902000000.0,1.29,7.8,21317000000.0,,,0
600030.SH,20230113,20221231,65533000000.0,28618000000.0,28758000000.0,21121000000.0,1310149000000.0,252985000000.0,1.41,8.59,23100000000.0,,,0
600030.SH,20220413,20220331,15216000000.0,7091000000.0,7081000000.0,5229000000.0,1362131000000.0,244320000000.0,0.36,2.26,5165000000.0,,,0
600030.SH,20220113,20211231,76570000000.0,32319000000.0,31797000000.0,22979000000.0,1277060000000.0,209053000000.0,1.77,12.01,14902000000.0,,,0
600030.SH,20210729,20210630,37721000000.0,16343000000.0,16291000000.0,12198000000.0,1169139000000.0,187406000000.0,0.94,6.52,8926000000.0,,,0
600030.SH,20210123,20201231,54348000000.0,20616000000.0,20448000000.0,14897000000.0,1064698000000.0,181707000000.0,1.16,8.43,12229000000.0,,,0
600030.SH,20200730,20200630,26743000000.0,11877000000.0,11874000000.0,8926000000.0,975081000000.0,176044000000.0,0.7,5.07,6446000000.0,,,0
600030.SH,20200114,20191231,43177000000.0,17089000000.0,17072000000.0,12288000000.0,791804000000.0,161685000000.0,1.01,7.8,9390000000.0,,,0
600030.SH,20190713,20190630,21859000000.0,8930000000.0,8932000000.0,6446000000.0,723866000000.0,156076000000.0,0.53,4.11,5565000000.0,,,0
600030.SH,20190124,20181231,37223000000.0,12042000000.0,12472000000.0,9394000000.0,653541000000.0,153141000000.0,0.78,6.2,11433000000.0,,,0
600030.SH,20180713,20180630,19976000000.0,7348000000.0,7378000000.0,5586000000.0,657993000000.0,150070000000.0,0.46,3.66,4927000000.0,,,0
600030.SH,20180125,20171231,43292000000.0,16249000000.0,16174000000.0,11461000000.0,624978000000.0,149533000000.0,0.95,7.84,10365000000.0,,,0
600030.SH,20170715,20170630,18667000000.0,6986000000.0,6836000000.0,4927000000.0,605912000000.0,143703000000.0,0.41,3.39,5242000000.0,,,0
600030.SH,20170120,20161231,38001000000.0,14205000000.0,14265000000.0,10368000000.0,595384000000.0,142581000000.0,0.86,7.36,19800000000.0,,,0
600030.SH,20160722,20160630,18160000000.0,7470000000.0,7432000000.0,5319000000.0,570057000000.0,136296000000.0,0.44,3.78,12470000000.0,,,0
600030.SH,20160129,20151231,56022000000.0,27684000000.0,27317000000.0,19825000000.0,615925000000.0,139136000000.0,1.71,16.65,11337000000.0,,,0
600030.SH,20150714,20150630,31112000000.0,16916000000.0,16927000000.0,12471000000.0,775471000000.0,130292000000.0,1.13,11.79,4076000000.0,,,0
600030.SH,20150128,20141231,29511000000.0,13510000000.0,15752000000.0,11295000000.0,478837000000.0,98975000000.0,1.03,12.14,5244000000.0,,,0
600030.SH,20140722,20140630,10535000000.0,3602000000.0,5824000000.0,4076000000.0,339747000000.0,89731000000.0,0.37,4.56,2110000000.0,,,0
600030.SH,20140122,20131231,16072000000.0,6830000000.0,6832000000.0,5201000000.0,271073000000.0,87641000000.0,0.47,5.98,4237067209.78,,,0
600030.SH,20130720,20130630,6038000000.0,2703000000.0,2713000000.0,2111000000.0,199094000000.0,84376000000.0,0.19,2.42,2249094395.91,,,0
600030.SH,20130124,20121231,11696000000.0,5454000000.0,5510000000.0,4255000000.0,168522000000.0,86461000000.0,0.39,4.92,12577593851.61,,,0
600030.SH,20120720,20120630,5788000000.0,2870000000.0,2904000000.0,2249000000.0,149255000000.0,84156000000.0,0.2,2.56,2972901520.16,,,0
600030.SH,20120114,20111231,25019000000.0,15005000000.0,15024000000.0,12563000000.0,148415000000.0,86731000000.0,1.23,16.97,11310885027.46,,,0
600030.SH,20110713,20110630,7508200000.0,3999730000.0,3996610000.0,2973410000.0,131823700000.0,67668570000.0,0.3,4.25,2628544908.06,,,0
600030.SH,20110115,20101231,27425640000.0,15905140000.0,15993040000.0,10944090000.0,153546740000.0,70539440000.0,1.1,16.75,8983820390.74,,,0
600030.SH,20100113,20091231,21967660000.0,13228430000.0,13270040000.0,8959030000.0,206693240000.0,61596150000.0,1.35,14.54,7305145140.25,,,0
600030.SH,20090121,20081231,17673231200.0,9647204300.0,9663294700.0,7281385300.0,136726876400.0,55038878600.0,1.1,13.23,12387521776.11,,,0
600030.SH,20080721,20080630,10912688900.0,6539764300.0,6524851800.0,4769337300.0,,,0.72,9.18,4208362569.49,,,0
600030.SH,20060721,20060630,1820444587.42,280110070.74,860923914.42,627574905.84,,,0.21,5.937,,,,0
600030.SH,20050808,20050630,188626429.43,-7758497.76,66904459.04,66220679.33,12783625204.02,5316068893.59,,,,,,0
