ts_code,ann_date,nav_date,unit_nav,accum_nav,accum_div,net_asset,total_netasset,adj_nav,update_flag
512880.SH,20260228,20260227,1.1675,1.1675,,,,1.1675,0
512880.SH,20260227,20260226,1.1651,1.1651,,,,1.1651,0
512880.SH,20260226,20260225,1.1775,1.1775,,,,1.1775,0
512880.SH,20260225,20260224,1.1708,1.1708,,,,1.1708,0
512880.SH,20260214,20260213,1.1724,1.1724,,,,1.1724,0
512880.SH,20260213,20260212,1.1847,1.1847,,,,1.1847,0
512880.SH,20260212,20260211,1.1929,1.1929,,,,1.1929,0
512880.SH,20260211,20260210,1.1949,1.1949,,,,1.1949,0
512880.SH,20260210,20260209,1.1978,1.1978,,,,1.1978,0
512880.SH,20260207,20260206,1.1846,1.1846,,,,1.1846,0
512880.SH,20260206,20260205,1.1936,1.1936,,,,1.1936,0
512880.SH,20260205,20260204,1.1897,1.1897,,,,1.1897,0
512880.SH,20260204,20260203,1.174,1.174,,,,1.174,0
512880.SH,20260203,20260202,1.1762,1.1762,,,,1.1762,0
512880.SH,20260131,20260130,1.1923,1.1923,,,,1.1923,0
512880.SH,20260130,20260129,1.2107,1.2107,,,,1.2107,0
512880.SH,20260129,20260128,1.1955,1.1955,,,,1.1955,0
512880.SH,20260128,20260127,1.1958,1.1958,,,,1.1958,0
512880.SH,20260127,20260126,1.2092,1.2092,,,,1.2092,0
512880.SH,20260124,20260123,1.2005,1.2005,,,,1.2005,0
512880.SH,20260123,20260122,1.202,1.202,,,,1.202,0
512880.SH,20260122,20260121,1.2,1.2,,,,1.2,0
512880.SH,20260121,20260120,1.208,1.208,,,,1.208,0
512880.SH,20260120,20260119,1.2026,1.2026,,,,1.2026,0
512880.SH,20260117,20260116,1.2072,1.2072,,,,1.2072,0
512880.SH,20260116,20260115,1.2172,1.2172,,,,1.2172,0
512880.SH,20260115,20260114,1.2369,1.2369,,,,1.2369,0
512880.SH,20260114,20260113,1.245,1.245,,,,1.245,0
512880.SH,20260113,20260112,1.2538,1.2538,,,,1.2538,0
512880.SH,20260110,20260109,1.2356,1.2356,,,,1.2356,0
512880.SH,20260109,20260108,1.2324,1.2324,,,,1.2324,0
512880.SH,20260108,20260107,1.2667,1.2667,,,,1.2667,0
512880.SH,20260107,20260106,1.2858,1.2858,,,,1.2858,0
