ts_code,trade_date,fd_share,fund_type,market
512880.SH,20260227,4903829.15,,SH
512880.SH,20260226,4915429.15,,SH
512880.SH,20260225,4842929.15,,SH
512880.SH,20260224,4835729.15,,SH
512880.SH,20260213,4808229.15,,SH
512880.SH,20260212,4798229.15,,SH
512880.SH,20260211,4773129.15,,SH
512880.SH,20260210,4773329.15,,SH
512880.SH,20260209,4778329.15,,SH
512880.SH,20260206,4790729.15,,SH
512880.SH,20260205,4784329.15,,SH
512880.SH,20260204,4791629.15,,SH
512880.SH,20260203,4836729.15,,SH
512880.SH,20260202,4741429.15,,SH
512880.SH,20260130,4686429.15,,SH
512880.SH,20260129,4645929.15,,SH
512880.SH,20260128,4650929.15,,SH
512880.SH,20260127,4658529.15,,SH
512880.SH,20260126,4601529.15,,SH
512880.SH,20260123,4716129.15,,SH
512880.SH,20260122,4715429.15,,SH
512880.SH,20260121,4737929.15,,SH
512880.SH,20260120,4739329.15,,SH
512880.SH,20260119,4790629.15,,SH
512880.SH,20260116,4772529.15,,SH
512880.SH,20260115,4723229.15,,SH
512880.SH,20260114,4660229.15,,SH
512880.SH,20260113,4688829.15,,SH
512880.SH,20260112,4718729.15,,SH
512880.SH,20260109,4749529.15,,SH
512880.SH,20260108,4707829.15,,SH
512880.SH,20260107,4616729.15,,SH
512880.SH,20260106,4564629.15,,SH
512880.SH,20260105,4703729.15,,SH
512880.SH,20251231,4703529.15,,SH
512880.SH,20251230,4717729.15,,SH
512880.SH,20251229,4696929.15,,SH
512880.SH,20251226,4693429.15,,SH
512880.SH,20251225,4721829.15,,SH
512880.SH,20251224,4699329.15,,SH
512880.SH,20251223,4712829.15,,SH
512880.SH,20251222,4707429.15,,SH
512880.SH,20251219,4692829.15,,SH
512880.SH,20251218,4693229.15,,SH
512880.SH,20251217,4694629.15,,SH
512880.SH,20251216,4733429.15,,SH
512880.SH,20251215,4710529.15,,SH
512880.SH,20251212,4761829.15,,SH
512880.SH,20251211,4759629.15,,SH
512880.SH,20251210,4748229.15,,SH
512880.SH,20251209,4741429.15,,SH
512880.SH,20251208,4735729.15,,SH
512880.SH,20251205,4949529.15,,SH
512880.SH,20251204,5004129.15,,SH
512880.SH,20251203,5016429.15,,SH
512880.SH,20251202,5000829.15,,SH
512880.SH,20251201,4990329.15,,SH
512880.SH,20251128,5040429.15,,SH
512880.SH,20251127,5096029.15,,SH
512880.SH,20251126,5118329.15,,SH
512880.SH,20251125,5110029.15,,SH
512880.SH,20251124,5122629.15,,SH
512880.SH,20251121,5123329.15,,SH
512880.SH,20251120,5023729.15,,SH
512880.SH,20251119,5064729.15,,SH
512880.SH,20251118,5085229.15,,SH
512880.SH,20251117,5111529.15,,SH
512880.SH,20251114,5088129.15,,SH
512880.SH,20251113,5082729.15,,SH
512880.SH,20251112,5088329.15,,SH
512880.SH,20251111,5041729.15,,SH
512880.SH,20251110,4996629.15,,SH
512880.SH,20251107,5128029.15,,SH
512880.SH,20251106,5095929.15,,SH
512880.SH,20251105,5142929.15,,SH
512880.SH,20251104,5080229.15,,SH
512880.SH,20251103,4979929.15,,SH
512880.SH,20251031,4891629.15,,SH
512880.SH,20251030,4784329.15,,SH
512880.SH,20251029,4674429.15,,SH
512880.SH,20251028,4756229.15,,SH
512880.SH,20251027,4742929.15,,SH
