updateDate,code,code_name,query_date,ts_code,name,industry,area,market,is_financial_excluded,pct_chg,vol,amount,turnover_rate,turnover_rate_f,pe_ttm,pb,total_mv,in_stock_pool
2026-02-23,sz.300394,天孚通信,2026-02-28,300394.SZ,天孚通信,通信设备,江苏,创业板,False,1.8452,406811.86,14431330.233,5.2434,9.4709,156.4223,58.7598,28663323.9012,False
2026-02-23,sh.688256,寒武纪,2026-02-28,688256.SH,寒武纪-U,半导体,北京,科创板,False,0.7871,121511.65,14322223.946,2.9045,6.0005,264.6768,32.5429,49674513.026,False
2026-02-23,sh.688041,海光信息,2026-02-28,688041.SH,海光信息,半导体,天津,科创板,False,3.3241,392677.23,10061862.538,1.6894,4.4292,238.7182,27.9825,60688467.556,False
2026-02-23,sz.002463,沪电股份,2026-02-28,002463.SZ,沪电股份,元器件,江苏,主板,False,-2.0619,1175527.76,9852542.03,6.1136,8.9429,42.0889,10.6451,16087679.1693,False
2026-02-23,sh.601899,紫金矿业,2026-02-28,601899.SH,紫金矿业,铜,福建,主板,False,0.4572,2420601.89,9578332.57,1.175,1.6674,23.0838,6.2655,105162394.5687,False
2026-02-23,sh.600089,特变电工,2026-02-28,600089.SH,特变电工,电气设备,新疆,主板,False,-0.7848,2605835.3,7865725.13,5.1572,6.2923,28.8072,2.2279,15330172.6604,False
2026-02-23,sz.002384,东山精密,2026-02-28,002384.SZ,东山精密,元器件,江苏,主板,False,-0.3959,792610.34,6842518.269,5.7174,6.4895,126.2068,7.3535,15669402.4363,False
2026-02-23,sz.002475,立讯精密,2026-02-28,002475.SZ,立讯精密,元器件,深圳,主板,False,-1.8374,1272715.5,6349492.767,1.7508,2.8047,23.1452,4.6562,36590214.4603,False
2026-02-23,sz.300274,阳光电源,2026-02-28,300274.SZ,阳光电源,电气设备,安徽,创业板,False,-0.7896,427635.56,6196688.597,2.69,2.9866,19.5574,6.9645,29957905.0768,False
2026-02-23,sh.600875,东方电气,2026-02-28,600875.SH,东方电气,电气设备,四川,主板,False,-0.7497,1481552.62,5474912.069,6.5458,11.632,39.2797,2.8831,12820141.7285,False
2026-02-23,sz.000725,京东方A,2026-02-28,000725.SZ,京东方Ａ,元器件,北京,主板,False,3.4642,10992669.2,4868981.872,3.0248,3.4831,25.0883,1.2545,16595858.9727,False
2026-02-23,sz.000792,盐湖股份,2026-02-28,000792.SZ,盐湖股份,农药化肥,青海,主板,False,-2.0764,1263830.74,4837939.895,2.3884,4.0413,33.5519,4.9231,20213807.1066,False
2026-02-23,sz.002050,三花智控,2026-02-28,002050.SZ,三花智控,家用电器,浙江,主板,False,-1.4055,915694.84,4698511.778,2.4855,4.4417,53.3456,6.9243,21549239.3611,False
2026-02-23,sh.600309,万华化学,2026-02-28,600309.SH,万华化学,化工原料,山东,主板,False,3.3104,467424.93,4319534.829,1.4931,2.5675,26.2353,2.7687,29113386.1218,False
2026-02-23,sh.688008,澜起科技,2026-02-28,688008.SH,澜起科技,半导体,上海,科创板,False,-0.9508,258207.72,4204995.601,2.2523,2.4279,96.7532,10.4466,19989081.3435,False
2026-02-23,sh.603019,中科曙光,2026-02-28,603019.SH,中科曙光,IT设备,天津,主板,False,0.163,437611.68,4007478.656,2.9918,3.5823,63.8389,6.4341,13487001.2969,False
2026-02-23,sh.600584,长电科技,2026-02-28,600584.SH,长电科技,半导体,江苏,主板,False,-1.1494,817547.27,3875995.663,4.5688,5.8974,57.9559,3.06,8617820.5691,False
2026-02-23,sh.601600,中国铝业,2026-02-28,601600.SH,中国铝业,铝,北京,主板,False,1.9316,2738423.89,3749389.808,2.0788,3.5354,16.5106,3.3013,23536620.6606,False
2026-02-23,sz.002460,赣锋锂业,2026-02-28,002460.SZ,赣锋锂业,小金属,江西,主板,False,0.3294,490050.79,3568434.263,4.0454,4.5318,,3.6824,15326836.0932,False
2026-02-23,sh.603799,华友钴业,2026-02-28,603799.SH,华友钴业,小金属,浙江,主板,False,2.2633,448224.84,3494156.425,2.379,3.0024,27.8696,3.1299,14912071.5814,False
2026-02-23,sz.000977,浪潮信息,2026-02-28,000977.SZ,浪潮信息,IT设备,山东,主板,False,1.2843,544252.13,3457704.732,3.7104,5.5009,37.8321,4.5009,9380628.8721,False
2026-02-23,sz.002916,深南电路,2026-02-28,002916.SZ,深南电路,元器件,深圳,主板,False,-1.613,122408.44,3456989.719,1.8413,5.1363,71.6102,10.9,19444581.6209,False
2026-02-23,sh.601390,中国中铁,2026-02-28,601390.SH,中国中铁,建筑工程,北京,主板,False,2.439,5365249.32,3352140.422,2.6199,5.9481,6.2693,0.4962,15552319.8153,False
2026-02-23,sz.002714,牧原股份,2026-02-28,002714.SZ,牧原股份,农业综合,河南,主板,False,3.922,718469.7,3345129.696,1.8863,2.966,12.1309,3.3557,26905229.6459,False
2026-02-23,sz.000063,中兴通讯,2026-02-28,000063.SZ,中兴通讯,通信设备,深圳,主板,False,0.2074,861483.52,3306058.613,2.1389,2.8073,31.6561,2.4621,18488362.3383,False
2026-02-23,sz.000100,TCL科技,2026-02-28,000100.SZ,TCL科技,元器件,广东,主板,False,3.112,6611560.48,3277729.868,3.4558,3.5661,33.5043,1.6967,10338028.6362,False
2026-02-23,sh.688981,中芯国际,2026-02-28,688981.SH,中芯国际,半导体,上海,科创板,False,-1.4145,279308.78,3213704.146,1.3968,1.552,182.525,6.0983,92005986.739,False
2026-02-23,sh.600362,江西铜业,2026-02-28,600362.SH,江西铜业,铜,江西,主板,False,2.0035,516604.44,2980188.605,2.4894,5.9396,25.1177,2.5029,20097681.4666,False
2026-02-23,sh.600489,中金黄金,2026-02-28,600489.SH,中金黄金,黄金,北京,主板,False,2.4783,927391.55,2933122.64,1.9132,3.5323,34.905,5.2864,15433843.2038,False
2026-02-23,sh.601698,中国卫通,2026-02-28,601698.SH,中国卫通,电信运营,北京,主板,False,0.4036,735216.4,2743298.383,1.7404,7.9116,607.8321,9.9349,15765406.3576,False
2026-02-23,sh.600547,山东黄金,2026-02-28,600547.SH,山东黄金,黄金,山东,主板,False,1.5236,558412.27,2635949.288,1.5449,3.4136,45.0436,7.3648,21809576.5828,False
2026-02-23,sz.002230,科大讯飞,2026-02-28,002230.SZ,科大讯飞,软件服务,安徽,主板,False,0.2334,446259.65,2491942.172,2.0384,2.3889,154.1431,7.3145,12904732.7059,False
2026-02-23,sz.002466,天齐锂业,2026-02-28,002466.SZ,天齐锂业,小金属,四川,主板,False,0.9993,439069.14,2464614.414,2.9751,4.4314,,2.1553,9657346.6038,False
2026-02-23,sz.300316,晶盛机电,2026-02-28,300316.SZ,晶盛机电,专用机械,浙江,创业板,False,0.0179,437883.35,2447041.31,3.5555,7.3907,161.8748,4.1832,7299341.3845,False
2026-02-23,sh.601888,中国中免,2026-02-28,601888.SH,中国中免,旅游服务,北京,主板,False,0.5993,285875.04,2307044.074,1.4642,3.1352,49.0352,3.0225,16670866.1766,False
2026-02-23,sh.600019,宝钢股份,2026-02-28,600019.SH,宝钢股份,普钢,上海,主板,False,1.983,3167440.34,2267434.069,1.4541,3.966,16.6148,0.7678,15683101.0193,False
2026-02-23,sh.603501,豪威集团,2026-02-28,603501.SH,豪威集团,半导体,上海,主板,False,0.3263,174370.21,2134288.398,1.4408,2.2883,37.3,4.8481,15509934.6285,False
2026-02-23,sh.601012,隆基绿能,2026-02-28,601012.SH,隆基绿能,电气设备,陕西,主板,False,0.2737,1156079.32,2120773.487,1.5256,1.9364,,2.4392,13883013.6858,False
2026-02-23,sz.300433,蓝思科技,2026-02-28,300433.SZ,蓝思科技,元器件,湖南,创业板,False,-1.0132,599776.83,2097023.229,1.207,3.196,45.3265,3.515,18565331.6398,False
2026-02-23,sz.300124,汇川技术,2026-02-28,300124.SZ,汇川技术,电器仪表,深圳,创业板,False,-1.1924,271148.4,1986493.23,1.1305,1.4031,38.0677,5.7415,19741111.0387,False
2026-02-23,sh.600482,中国动力,2026-02-28,600482.SH,中国动力,船舶,河北,主板,False,-1.5227,578628.67,1942662.511,2.5676,5.1416,40.849,1.8981,7578859.6081,False
2026-02-23,sh.600026,中远海能,2026-02-28,600026.SH,中远海能,水运,上海,主板,False,0.6849,943151.08,1929007.044,2.7143,7.493,33.6312,2.4776,11247424.4867,False
2026-02-23,sz.300014,亿纬锂能,2026-02-28,300014.SZ,亿纬锂能,电气设备,广东,创业板,False,0.2735,310640.99,1927169.123,1.5534,2.446,34.9158,3.213,12927994.7532,False
2026-02-23,sz.002241,歌尔股份,2026-02-28,002241.SZ,歌尔股份,元器件,山东,主板,False,0.3693,709062.82,1908842.164,2.2593,2.8954,33.1478,2.7391,9637062.9252,False
2026-02-23,sz.300033,同花顺,2026-02-28,300033.SZ,同花顺,软件服务,浙江,创业板,False,0.7121,57575.89,1908452.841,1.8386,2.8934,75.1215,23.8151,17867673.6,False
2026-02-23,sh.600406,国电南瑞,2026-02-28,600406.SH,国电南瑞,电气设备,江苏,主板,False,-0.5102,688839.06,1878364.527,0.8602,2.0038,27.4337,4.4552,21926694.3059,False
2026-02-23,sh.601689,拓普集团,2026-02-28,601689.SH,拓普集团,汽车配件,浙江,主板,False,-2.0933,276120.6,1878088.965,1.5889,3.8191,43.1233,5.064,11786000.9036,False
2026-02-23,sh.688111,金山办公,2026-02-28,688111.SH,金山办公,软件服务,北京,科创板,False,0.0532,62060.53,1859222.268,1.3393,3.0968,78.2384,11.4849,13954914.796,False
2026-02-23,sh.600219,南山铝业,2026-02-28,600219.SH,南山铝业,铝,山东,主板,False,0.7112,2587146.48,1835727.938,2.2529,4.3245,15.9036,1.6765,8130460.7038,False
2026-02-23,sz.002001,新和成,2026-02-28,002001.SZ,新和成,化学制药,浙江,主板,False,1.4166,576838.09,1817196.768,1.8995,3.8611,13.4467,3.0645,9681278.292,False
