updateDate,code,code_name,query_date,ts_code,name,industry,area,market,is_financial_excluded,pct_chg,vol,amount,turnover_rate,turnover_rate_f,pe_ttm,pb,total_mv,in_stock_pool
2026-02-23,sz.300308,中际旭创,2026-02-28,300308.SZ,中际旭创,通信设备,山东,创业板,False,-6.6792,347124.7,18806220.503,3.14,4.1695,69.39,22.8691,59333719.0356,False
2026-02-23,sz.300502,新易盛,2026-02-28,300502.SZ,新易盛,通信设备,四川,创业板,False,-6.7479,509100.73,18486975.251,5.7498,5.9143,47.5744,24.6275,35770419.1016,False
2026-02-23,sz.300476,胜宏科技,2026-02-28,300476.SZ,胜宏科技,元器件,广东,创业板,False,-3.5496,493501.72,14939292.951,5.7586,8.3544,72.9947,17.459,26530977.6591,False
2026-02-23,sz.300394,天孚通信,2026-02-28,300394.SZ,天孚通信,通信设备,江苏,创业板,False,1.8452,406811.86,14431330.233,5.2434,9.4709,156.4223,58.7598,28663323.9012,False
2026-02-23,sh.688256,寒武纪,2026-02-28,688256.SH,寒武纪-U,半导体,北京,科创板,False,0.7871,121511.65,14322223.946,2.9045,6.0005,264.6768,32.5429,49674513.026,False
2026-02-23,sh.600010,包钢股份,2026-02-28,600010.SH,包钢股份,普钢,内蒙,主板,False,8.7248,40778619.66,13033075.614,12.9948,20.4478,144.7596,2.8176,14673512.6688,False
2026-02-23,sz.300442,润泽科技,2026-02-28,300442.SZ,润泽科技,软件服务,河北,创业板,False,1.1941,1261911.46,12960006.46,7.7495,19.084,33.9282,12.4751,16897478.2012,False
2026-02-23,sh.688041,海光信息,2026-02-28,688041.SH,海光信息,半导体,天津,科创板,False,3.3241,392677.23,10061862.538,1.6894,4.4292,238.7182,27.9825,60688467.556,False
2026-02-23,sz.002463,沪电股份,2026-02-28,002463.SZ,沪电股份,元器件,江苏,主板,False,-2.0619,1175527.76,9852542.03,6.1136,8.9429,42.0889,10.6451,16087679.1693,False
2026-02-23,sh.601899,紫金矿业,2026-02-28,601899.SH,紫金矿业,铜,福建,主板,False,0.4572,2420601.89,9578332.57,1.175,1.6674,23.0838,6.2655,105162394.5687,False
2026-02-23,sh.601138,工业富联,2026-02-28,601138.SH,工业富联,通信设备,深圳,主板,False,-3.8827,1701811.86,9452131.332,0.857,5.2671,36.1918,7.1371,110610150.5002,False
2026-02-23,sh.603993,洛阳钼业,2026-02-28,603993.SH,洛阳钼业,小金属,河南,主板,False,4.1685,3383884.3,8035386.307,1.938,4.7655,26.2683,6.6066,51324950.1122,False
2026-02-23,sh.600522,中天科技,2026-02-28,600522.SH,中天科技,通信设备,江苏,主板,False,5.618,2784124.17,7964641.463,8.1575,10.5506,34.7064,2.7159,9945335.2859,False
