ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399975.SZ,20070731,1240.825,1000.813,1285.045,928.311,0.0,1240.825,0.0,920580798.0,43768957566.0
399975.SZ,20070831,1657.624,1250.26,1811.325,1200.943,1240.825,416.799,0.3359,1110439411.0,67857032470.0
399975.SZ,20070928,1787.817,1658.628,1791.642,1489.098,1657.624,130.193,0.0785,772492050.0,56215546068.0
399975.SZ,20071031,1972.089,1825.855,2129.829,1776.215,1787.817,184.272,0.1031,549140825.0,38794928632.0
399975.SZ,20071130,1541.837,1970.909,2157.331,1476.143,1972.089,-430.252,-0.2182,771883640.0,59929671041.0
399975.SZ,20071228,1650.27,1525.153,1720.428,1459.235,1541.837,108.433,0.0703,536920377.0,38165821534.0
399975.SZ,20080131,1268.34,1646.27,1815.696,1201.57,1650.27,-381.93,-0.2314,1195578034.0,82447441785.0
399975.SZ,20080229,1171.782,1274.507,1391.828,1081.325,1268.34,-96.558,-0.0761,656264203.0,38239327958.0
399975.SZ,20080331,956.051,1149.079,1235.165,906.479,1171.782,-215.731,-0.1841,1054788884.0,53638387629.0
399975.SZ,20080430,1444.393,940.322,1459.51,884.404,956.051,488.342,0.5108,2416928347.0,95231491253.0
399975.SZ,20080530,1248.769,1473.251,1562.146,1140.051,1444.393,-195.624,-0.1354,3089028836.0,111028273391.0
399975.SZ,20080630,883.581,1238.37,1262.979,849.394,1248.769,-365.188,-0.2924,2782458124.0,73458714144.0
399975.SZ,20080731,833.286,883.876,962.011,766.491,883.581,-50.295,-0.0569,3372495103.0,78994744358.0
399975.SZ,20080829,732.496,822.369,881.584,589.302,833.286,-100.79,-0.121,3009698545.0,56378772301.0
399975.SZ,20080926,903.687,720.578,906.69,572.001,732.496,171.191,0.2337,4261415332.0,79665605583.0
399975.SZ,20081031,644.749,906.582,919.608,628.867,903.687,-258.938,-0.2865,5307738799.0,102008357928.0
399975.SZ,20081128,679.49,622.701,746.843,569.705,644.749,34.741,0.0539,6301992741.0,99556632220.0
399975.SZ,20081231,623.392,681.471,792.289,623.392,679.49,-56.098,-0.0826,7468910258.0,107055785081.0
399975.SZ,20090123,752.782,634.905,763.994,631.165,623.392,129.39,0.2076,5164334695.0,69766411793.0
399975.SZ,20090227,751.804,757.732,956.276,741.214,752.782,-0.978,-0.0013,8950805260.0,152839294101.0
399975.SZ,20090331,910.087,744.138,915.275,730.448,751.804,158.283,0.2105,9690282208.0,158173233102.0
399975.SZ,20090430,870.077,916.293,986.775,841.948,910.087,-40.01,-0.044,8541781419.0,161335405314.0
399975.SZ,20090527,920.334,871.764,962.36,869.381,870.077,50.257,0.0578,7193473936.0,135260731553.0
399975.SZ,20090630,1026.959,929.81,1086.473,929.81,920.334,106.625,0.1159,9104801416.0,192270428119.0
399975.SZ,20090731,1338.777,1019.136,1366.309,1019.136,1026.959,311.818,0.3036,11052112417.0,281512450717.0
399975.SZ,20090831,878.07,1356.303,1365.585,877.705,1338.777,-460.707,-0.3441,6973044335.0,171709943711.0
399975.SZ,20090930,898.983,872.358,1031.601,863.231,878.07,20.913,0.0238,5592391500.0,120088675176.0
399975.SZ,20091030,985.172,919.657,1058.306,918.018,898.983,86.189,0.0959,3928000971.0,86921147017.0
399975.SZ,20091130,1068.149,959.095,1124.672,952.376,985.172,82.977,0.0842,6621536139.0,153960109606.0
399975.SZ,20091231,1175.264,1062.211,1182.064,1047.761,1068.149,107.115,0.1003,8187331733.0,185351621571.0
399975.SZ,20100129,1045.318,1181.636,1265.051,1033.994,1175.264,-129.946,-0.1106,7435582386.0,178234722366.0
399975.SZ,20100226,1027.241,1035.939,1051.914,979.753,1045.318,-18.077,-0.0173,2745852110.0,57966848650.0
399975.SZ,20100331,1037.841,1025.813,1052.521,997.331,1027.241,10.6,0.0103,4193485176.0,89908564932.0
399975.SZ,20100430,959.009,1037.56,1058.088,943.517,1037.841,-78.832,-0.076,3581067458.0,68262718535.0
399975.SZ,20100531,712.881,897.737,901.891,685.294,959.009,-246.128,-0.2566,3737669290.0,61538535888.0
399975.SZ,20100630,643.399,706.738,750.567,639.111,712.881,-69.482,-0.0975,2549856222.0,37010082187.0
399975.SZ,20100730,713.577,640.804,728.97,622.397,643.399,70.178,0.1091,5292790283.0,67846110277.0
399975.SZ,20100831,672.015,713.603,731.219,665.603,713.577,-41.562,-0.0582,5303762960.0,70316785394.0
399975.SZ,20100930,637.114,673.946,699.576,623.835,672.015,-34.901,-0.0519,4134964987.0,53860413735.0
399975.SZ,20101029,841.719,643.485,912.975,643.485,637.114,204.605,0.3211,12882320191.0,198480912473.0
399975.SZ,20101130,690.739,837.468,885.343,679.365,841.719,-150.98,-0.1794,9087649686.0,140651468148.0
399975.SZ,20101231,672.519,690.122,744.458,651.507,690.739,-18.22,-0.0264,5326826158.0,76170608027.0
399975.SZ,20110131,658.215,676.355,698.506,626.45,672.519,-14.304,-0.0213,3507125271.0,46852306560.0
399975.SZ,20110228,731.281,659.625,741.241,641.103,658.215,73.066,0.111,5337922582.0,75894896799.0
399975.SZ,20110331,693.535,730.187,757.161,689.482,731.281,-37.746,-0.0516,6600777712.0,96569471837.0
399975.SZ,20110429,667.592,693.878,736.041,663.094,693.535,-25.943,-0.0374,4442265138.0,63787049984.0
399975.SZ,20110531,634.407,667.98,669.108,617.101,667.592,-33.185,-0.0497,3273021162.0,41559740300.0
399975.SZ,20110630,637.797,633.082,650.559,588.495,634.407,3.39,0.0053,3713885398.0,50662760282.0
399975.SZ,20110729,596.555,638.676,659.139,582.728,637.797,-41.242,-0.0647,3873282977.0,53195659800.0
399975.SZ,20110831,554.116,591.269,599.184,525.344,596.555,-42.439,-0.0711,4271152638.0,50465756886.0
399975.SZ,20110930,533.594,555.321,571.022,529.043,554.116,-20.522,-0.037,4412704447.0,49199678847.0
399975.SZ,20111031,574.284,535.822,584.78,528.857,533.594,40.69,0.0763,6249256833.0,67511383317.0
399975.SZ,20111130,496.303,568.053,595.425,496.045,574.284,-77.981,-0.1358,5245243851.0,56393716196.0
399975.SZ,20111230,442.32,518.155,524.323,427.132,496.303,-53.983,-0.1088,3806667716.0,35051510090.0
399975.SZ,20120131,484.181,446.586,498.644,423.646,442.32,41.861,0.0946,3768341965.0,35083622776.0
399975.SZ,20120229,528.191,483.372,550.327,465.644,484.181,44.01,0.0909,6392140795.0,64464158264.0
399975.SZ,20120330,517.265,525.503,581.699,504.901,528.191,-10.926,-0.0207,6906252289.0,76008087729.0
399975.SZ,20120427,585.17,517.175,615.138,516.006,517.265,67.905,0.1313,9026628008.0,104040702313.0
399975.SZ,20120531,632.907,605.087,639.704,577.022,585.17,47.737,0.0816,9199130197.0,112964124396.0
399975.SZ,20120629,572.736,632.687,646.506,549.937,632.907,-60.171,-0.0951,5322221029.0,65463437501.0
399975.SZ,20120731,543.152,575.314,594.213,533.374,572.736,-29.584,-0.0517,7734171364.0,80662987811.0
399975.SZ,20120831,473.517,540.463,560.873,462.219,543.152,-69.635,-0.1282,6921553282.0,67496003079.0
399975.SZ,20120928,543.182,471.548,545.02,471.548,473.517,69.665,0.1471,8530212957.0,83366249542.0
399975.SZ,20121031,514.833,540.785,559.165,506.872,543.182,-28.349,-0.0522,7151829896.0,72740601976.0
399975.SZ,20121130,442.321,516.9,533.205,430.122,514.833,-72.512,-0.1408,6691016932.0,63355789067.0
399975.SZ,20121231,580.669,441.402,581.373,434.063,442.321,138.348,0.3128,13559338224.0,132406703972.0
399975.SZ,20130131,643.165,588.062,651.654,544.98,580.669,62.496,0.1076,17204799465.0,193528782415.0
399975.SZ,20130228,665.829,637.514,697.842,604.133,643.165,22.664,0.0352,15099895917.0,179979501269.0
399975.SZ,20130329,564.988,667.448,671.654,564.988,665.829,-100.841,-0.1515,19739989413.0,217892496803.0
399975.SZ,20130426,582.528,565.966,604.017,541.012,564.988,17.54,0.031,11855702281.0,123120800116.0
399975.SZ,20130531,628.446,579.455,647.849,576.882,582.528,45.918,0.0788,17127610489.0,193410955521.0
399975.SZ,20130628,485.199,629.838,638.387,445.523,628.446,-143.247,-0.2279,11364456638.0,112550455885.0
399975.SZ,20130731,517.061,481.573,556.81,468.043,485.199,31.8617,0.0657,18228822278.0,166105333475.0
399975.SZ,20130830,538.354,521.77,579.913,501.165,517.061,21.2932,0.0412,17443068952.0,173203266044.0
399975.SZ,20130930,553.007,536.713,610.211,529.619,538.354,14.6531,0.0272,16344153791.0,182630670295.0
399975.SZ,20131031,534.981,550.002,564.825,521.662,553.007,-18.0262,-0.0326,9464751871.0,99914339257.0
399975.SZ,20131129,563.177,536.765,573.7,489.443,534.981,28.1959,0.0527,12989497782.0,138803984654.0
399975.SZ,20131231,565.346,583.021,603.426,537.383,563.177,2.1688,0.0039,14082428490.0,161004332318.0
399975.SZ,20140130,536.372,562.709,564.777,518.283,565.346,-28.9738,-0.0512,9798302039.0,101421671739.0
399975.SZ,20140228,508.191,531.48,562.984,480.383,536.372,-28.1807,-0.0525,10273063253.0,107411786886.0
399975.SZ,20140331,483.37,504.061,509.768,466.027,508.191,-24.821,-0.0488,11702989536.0,111777872270.0
399975.SZ,20140430,503.726,483.78,541.888,483.685,483.37,20.3562,0.0421,13073708284.0,127406206738.0
399975.SZ,20140530,499.75,501.565,533.501,490.644,503.726,-3.9765,-0.0079,9377461165.0,90626688294.0
399975.SZ,20140630,493.381,500.443,506.311,480.333,499.75,-6.3689,-0.0127,6964171776.0,68744012820.0
399975.SZ,20140731,566.905,494.859,567.026,485.675,493.381,73.5237,0.149,17401315226.0,160978100074.0
399975.SZ,20140829,560.645,563.363,585.067,550.09,566.905,-6.2599,-0.011,21890837573.0,215696918395.0
399975.SZ,20140930,607.757,561.081,612.646,558.591,560.645,47.1123,0.084,23365314964.0,229893396883.0
