ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399975.SZ,20070706,1002.051,1000.813,1012.119,928.311,0.0,1002.051,0.0,181758599.0,7974717162.0
399975.SZ,20070713,1065.283,1010.589,1119.999,1010.589,1002.051,63.232,0.0631,222289827.0,9789606712.0
399975.SZ,20070720,1100.161,1066.104,1101.216,988.715,1065.283,34.878,0.0327,149854754.0,6962566430.0
399975.SZ,20070727,1233.397,1117.285,1285.045,1117.285,1100.161,133.236,0.1211,278650234.0,14247111054.0
399975.SZ,20070803,1350.173,1246.365,1350.173,1200.943,1233.397,116.776,0.0947,282094489.0,15923962769.0
399975.SZ,20070810,1449.326,1356.366,1462.929,1348.731,1350.173,99.153,0.0734,283930302.0,16578651824.0
399975.SZ,20070817,1451.986,1456.823,1564.193,1413.591,1449.326,2.66,0.0018,276268245.0,17237777938.0
399975.SZ,20070824,1747.709,1517.944,1811.325,1511.36,1451.986,295.723,0.2037,216961911.0,14510022364.0
399975.SZ,20070831,1657.624,1748.342,1775.999,1647.621,1747.709,-90.085,-0.0515,139211848.0,8401573783.0
399975.SZ,20070907,1531.421,1658.628,1724.17,1531.421,1657.624,-126.203,-0.0761,230169996.0,17133471941.0
399975.SZ,20070914,1633.18,1507.191,1663.296,1489.098,1531.421,101.759,0.0664,200835379.0,14394473858.0
399975.SZ,20070921,1643.75,1631.051,1658.564,1561.39,1633.18,10.57,0.0065,166541084.0,12061721309.0
399975.SZ,20070928,1787.817,1641.903,1791.642,1603.532,1643.75,144.067,0.0876,174945591.0,12625878960.0
399975.SZ,20071012,1928.009,1825.855,1976.706,1776.215,1787.817,140.192,0.0784,204665257.0,15088670208.0
399975.SZ,20071019,1959.475,1976.051,2129.829,1922.868,1928.009,31.466,0.0163,210191864.0,17094095431.0
399975.SZ,20071026,1961.441,1956.45,1971.272,1956.117,1959.475,1.966,0.001,88036496.0,4271138146.0
399975.SZ,20071102,2148.226,1962.742,2157.331,1960.594,1961.441,186.785,0.0952,131439342.0,9821766301.0
399975.SZ,20071109,1741.729,2118.667,2144.929,1726.753,2148.226,-406.497,-0.1892,191840391.0,16056311911.0
399975.SZ,20071116,1830.799,1679.348,1921.772,1666.232,1741.729,89.07,0.0511,204127189.0,15204699622.0
399975.SZ,20071123,1632.672,1824.611,1824.611,1560.309,1830.799,-198.127,-0.1082,142889109.0,11184807025.0
399975.SZ,20071130,1541.837,1658.619,1658.619,1476.143,1632.672,-90.835,-0.0556,147834817.0,10003111029.0
399975.SZ,20071207,1648.148,1525.153,1662.229,1525.153,1541.837,106.311,0.069,94517837.0,6686458256.0
399975.SZ,20071214,1569.392,1645.879,1720.428,1521.043,1648.148,-78.756,-0.0478,154695954.0,11127436876.0
399975.SZ,20071221,1561.121,1567.333,1570.538,1459.235,1569.392,-8.271,-0.0053,144580843.0,9771749877.0
399975.SZ,20071228,1650.27,1589.926,1673.391,1589.926,1561.121,89.149,0.0571,143125743.0,10580176525.0
399975.SZ,20080104,1642.153,1646.27,1650.502,1535.191,1650.27,-8.117,-0.0049,137531744.0,9712980520.0
399975.SZ,20080111,1752.205,1645.617,1772.511,1645.617,1642.153,110.052,0.067,242294278.0,17968820751.0
399975.SZ,20080118,1594.797,1752.363,1815.696,1570.254,1752.205,-157.408,-0.0898,284820809.0,21243011347.0
399975.SZ,20080125,1415.818,1599.775,1599.775,1336.279,1594.797,-178.979,-0.1122,329084256.0,21506367706.0
399975.SZ,20080201,1282.121,1393.115,1393.115,1201.57,1415.818,-133.697,-0.0944,244227500.0,14563893430.0
399975.SZ,20080205,1364.783,1329.825,1391.828,1329.825,1282.121,82.662,0.0645,97174955.0,6264194337.0
399975.SZ,20080215,1269.766,1324.779,1326.176,1245.913,1364.783,-95.017,-0.0696,83431861.0,5139969841.0
399975.SZ,20080222,1165.491,1292.45,1334.328,1163.864,1269.766,-104.275,-0.0821,212766719.0,12314411780.0
399975.SZ,20080229,1171.782,1165.21,1201.996,1081.325,1165.491,6.291,0.0054,220510115.0,11973120031.0
399975.SZ,20080307,1149.0,1149.079,1235.165,1111.87,1171.782,-22.782,-0.0194,224200501.0,12546951667.0
399975.SZ,20080314,1072.893,1138.195,1179.487,1023.682,1149.0,-76.107,-0.0662,210875640.0,10895460905.0
399975.SZ,20080321,1078.946,1074.024,1115.654,983.685,1072.893,6.053,0.0056,331697850.0,16822124997.0
399975.SZ,20080328,1001.476,1095.57,1095.57,906.479,1078.946,-77.47,-0.0718,250914647.0,11731517213.0
399975.SZ,20080403,938.409,956.207,975.816,884.404,1001.476,-63.067,-0.063,182681573.0,7952524072.0
399975.SZ,20080411,1035.765,927.205,1097.383,927.205,938.409,97.356,0.1037,392862436.0,17745288880.0
399975.SZ,20080418,956.422,1003.049,1008.478,915.726,1035.765,-79.343,-0.0766,212274502.0,9401539065.0
399975.SZ,20080425,1294.508,1048.658,1294.543,934.232,956.422,338.086,0.3535,727907501.0,27950488002.0
399975.SZ,20080430,1444.393,1282.34,1459.51,1261.547,1294.508,149.885,0.1158,938302581.0,33823984081.0
399975.SZ,20080509,1349.51,1473.251,1562.146,1325.18,1444.393,-94.883,-0.0657,1199582856.0,46693258306.0
399975.SZ,20080516,1376.337,1291.558,1398.966,1269.983,1349.51,26.827,0.0199,739366218.0,27269823415.0
399975.SZ,20080523,1215.983,1365.918,1365.918,1195.072,1376.337,-160.354,-0.1165,484508167.0,16702848383.0
399975.SZ,20080530,1248.769,1191.999,1262.054,1140.051,1215.983,32.786,0.027,665571595.0,20362343287.0
399975.SZ,20080606,1238.605,1238.37,1262.979,1191.973,1248.769,-10.164,-0.0081,423134887.0,13022831612.0
