index_code,con_code,trade_date,weight
399975.SZ,000166.SZ,20160831,3.993
399975.SZ,000686.SZ,20160831,1.867
399975.SZ,000712.SZ,20160831,0.95
399975.SZ,000728.SZ,20160831,2.539
399975.SZ,000750.SZ,20160831,1.575
399975.SZ,000776.SZ,20160831,5.091
399975.SZ,000783.SZ,20160831,3.787
399975.SZ,002500.SZ,20160831,1.703
399975.SZ,002673.SZ,20160831,3.694
399975.SZ,002736.SZ,20160831,4.458
399975.SZ,600030.SH,20160831,13.58
399975.SZ,600061.SH,20160831,1.911
399975.SZ,600109.SH,20160831,2.486
399975.SZ,600369.SH,20160831,2.176
399975.SZ,600837.SH,20160831,13.086
399975.SZ,600958.SH,20160831,4.497
399975.SZ,600999.SH,20160831,5.325
399975.SZ,601099.SH,20160831,3.127
399975.SZ,601198.SH,20160831,2.362
399975.SZ,601211.SH,20160831,2.894
399975.SZ,601377.SH,20160831,3.809
399975.SZ,601555.SH,20160831,3.012
399975.SZ,601688.SH,20160831,6.809
399975.SZ,601788.SH,20160831,2.077
399975.SZ,601901.SH,20160831,3.194
399975.SZ,000166.SZ,20161031,3.961
399975.SZ,000686.SZ,20161031,1.866
399975.SZ,000712.SZ,20161031,0.922
399975.SZ,000728.SZ,20161031,2.694
399975.SZ,000750.SZ,20161031,1.545
399975.SZ,000776.SZ,20161031,5.256
399975.SZ,000783.SZ,20161031,3.705
399975.SZ,002500.SZ,20161031,1.597
399975.SZ,002673.SZ,20161031,3.454
399975.SZ,002736.SZ,20161031,4.301
399975.SZ,600030.SH,20161031,13.344
399975.SZ,600061.SH,20161031,1.82
399975.SZ,600109.SH,20161031,2.482
399975.SZ,600369.SH,20161031,2.103
399975.SZ,600837.SH,20161031,13.447
399975.SZ,600958.SH,20161031,4.302
399975.SZ,600999.SH,20161031,5.321
399975.SZ,601099.SH,20161031,3.604
399975.SZ,601198.SH,20161031,2.61
399975.SZ,601211.SH,20161031,2.777
399975.SZ,601377.SH,20161031,3.77
399975.SZ,601555.SH,20161031,3.108
399975.SZ,601688.SH,20161031,6.844
399975.SZ,601788.SH,20161031,2.019
399975.SZ,601901.SH,20161031,3.147
399975.SZ,000166.SZ,20161130,4.008
399975.SZ,000686.SZ,20161130,1.876
399975.SZ,000712.SZ,20161130,1.089
399975.SZ,000728.SZ,20161130,2.606
399975.SZ,000750.SZ,20161130,1.57
399975.SZ,000776.SZ,20161130,5.569
399975.SZ,000783.SZ,20161130,3.858
399975.SZ,002500.SZ,20161130,1.539
399975.SZ,002673.SZ,20161130,3.33
399975.SZ,002736.SZ,20161130,4.186
399975.SZ,600030.SH,20161130,13.448
399975.SZ,600061.SH,20161130,1.795
399975.SZ,600109.SH,20161130,2.468
399975.SZ,600369.SH,20161130,2.119
399975.SZ,600837.SH,20161130,13.055
399975.SZ,600958.SH,20161130,4.324
399975.SZ,600999.SH,20161130,5.333
399975.SZ,601099.SH,20161130,3.996
399975.SZ,601198.SH,20161130,2.453
399975.SZ,601211.SH,20161130,2.923
399975.SZ,601377.SH,20161130,3.903
399975.SZ,601555.SH,20161130,2.951
399975.SZ,601688.SH,20161130,6.234
399975.SZ,601788.SH,20161130,1.988
399975.SZ,601901.SH,20161130,3.38
399975.SZ,000166.SZ,20161230,3.709
399975.SZ,000686.SZ,20161230,1.712
399975.SZ,000712.SZ,20161230,1.036
399975.SZ,000728.SZ,20161230,2.313
399975.SZ,000750.SZ,20161230,2.028
399975.SZ,000776.SZ,20161230,4.921
399975.SZ,000783.SZ,20161230,3.347
399975.SZ,002500.SZ,20161230,1.341
399975.SZ,002673.SZ,20161230,2.863
399975.SZ,002736.SZ,20161230,3.772
399975.SZ,002797.SZ,20161230,0.826
399975.SZ,600030.SH,20161230,12.466
399975.SZ,600061.SH,20161230,1.706
399975.SZ,600109.SH,20161230,2.72
399975.SZ,600369.SH,20161230,1.985
399975.SZ,600837.SH,20161230,12.569
399975.SZ,600958.SH,20161230,4.768
399975.SZ,600999.SH,20161230,3.684
399975.SZ,601099.SH,20161230,3.462
399975.SZ,601198.SH,20161230,2.182
399975.SZ,601211.SH,20161230,8.387
399975.SZ,601377.SH,20161230,3.536
399975.SZ,601555.SH,20161230,2.748
399975.SZ,601688.SH,20161230,5.753
399975.SZ,601788.SH,20161230,3.08
399975.SZ,601901.SH,20161230,3.085
399975.SZ,000166.SZ,20170126,3.737
399975.SZ,000686.SZ,20170126,1.681
399975.SZ,000712.SZ,20170126,1.021
399975.SZ,000728.SZ,20170126,2.157
399975.SZ,000750.SZ,20170126,1.885
399975.SZ,000776.SZ,20170126,5.1
399975.SZ,000783.SZ,20170126,3.265
399975.SZ,002500.SZ,20170126,1.222
399975.SZ,002673.SZ,20170126,2.572
399975.SZ,002736.SZ,20170126,3.666
399975.SZ,002797.SZ,20170126,0.647
399975.SZ,600030.SH,20170126,12.766
399975.SZ,600061.SH,20170126,1.698
399975.SZ,600109.SH,20170126,2.786
399975.SZ,600369.SH,20170126,1.928
399975.SZ,600837.SH,20170126,12.926
399975.SZ,600958.SH,20170126,4.66
399975.SZ,600999.SH,20170126,3.773
399975.SZ,601099.SH,20170126,3.381
399975.SZ,601198.SH,20170126,2.082
399975.SZ,601211.SH,20170126,8.627
399975.SZ,601377.SH,20170126,3.608
399975.SZ,601555.SH,20170126,2.66
399975.SZ,601688.SH,20170126,5.937
399975.SZ,601788.SH,20170126,3.076
399975.SZ,601901.SH,20170126,3.139
399975.SZ,000166.SZ,20170228,3.763
399975.SZ,000686.SZ,20170228,1.693
399975.SZ,000712.SZ,20170228,0.952
399975.SZ,000728.SZ,20170228,2.32
399975.SZ,000750.SZ,20170228,1.952
399975.SZ,000776.SZ,20170228,5.076
399975.SZ,000783.SZ,20170228,3.347
399975.SZ,002500.SZ,20170228,1.27
399975.SZ,002673.SZ,20170228,2.69
399975.SZ,002736.SZ,20170228,3.66
399975.SZ,002797.SZ,20170228,0.71
399975.SZ,600030.SH,20170228,12.708
399975.SZ,600061.SH,20170228,1.696
399975.SZ,600109.SH,20170228,2.747
399975.SZ,600369.SH,20170228,1.925
399975.SZ,600837.SH,20170228,12.37
399975.SZ,600958.SH,20170228,4.64
