ts_code,trade_time,close,open,high,low,vol,amount
512880.SH,2026-03-03 15:00:00,1.144,1.144,1.144,1.143,9058600.0,10360654.0
512880.SH,2026-03-03 14:59:00,1.144,1.143,1.144,1.142,7261300.0,8298791.0
512880.SH,2026-03-03 14:58:00,1.143,1.143,1.143,1.142,9600600.0,10970598.0
512880.SH,2026-03-03 14:57:00,1.142,1.143,1.143,1.142,10882700.0,12432765.0
512880.SH,2026-03-03 14:56:00,1.142,1.141,1.143,1.141,12963400.0,14801061.0
512880.SH,2026-03-03 14:55:00,1.141,1.142,1.143,1.141,10470600.0,11953770.0
512880.SH,2026-03-03 14:54:00,1.142,1.143,1.143,1.141,13530200.0,15449560.0
512880.SH,2026-03-03 14:53:00,1.142,1.143,1.143,1.142,10501300.0,11993599.0
512880.SH,2026-03-03 14:52:00,1.143,1.142,1.143,1.142,10280700.0,11742152.0
512880.SH,2026-03-03 14:51:00,1.143,1.144,1.144,1.142,6898100.0,7884204.0
512880.SH,2026-03-03 14:50:00,1.144,1.143,1.144,1.143,8501300.0,9717688.0
512880.SH,2026-03-03 14:49:00,1.143,1.144,1.144,1.143,6014700.0,6875512.0
512880.SH,2026-03-03 14:48:00,1.143,1.144,1.144,1.143,10046500.0,11487036.0
512880.SH,2026-03-03 14:47:00,1.144,1.144,1.145,1.143,8739600.0,9998454.0
512880.SH,2026-03-03 14:46:00,1.144,1.145,1.145,1.143,9427800.0,10783242.0
512880.SH,2026-03-03 14:45:00,1.145,1.146,1.146,1.144,9090400.0,10401933.0
512880.SH,2026-03-03 14:44:00,1.145,1.145,1.145,1.144,14115700.0,16159463.0
512880.SH,2026-03-03 14:43:00,1.144,1.144,1.145,1.144,7973600.0,9122873.0
512880.SH,2026-03-03 14:42:00,1.144,1.145,1.145,1.143,16063400.0,18376750.0
512880.SH,2026-03-03 14:41:00,1.145,1.143,1.145,1.143,7940500.0,9079702.0
512880.SH,2026-03-03 14:40:00,1.144,1.144,1.144,1.143,8830900.0,10101063.0
512880.SH,2026-03-03 14:39:00,1.144,1.144,1.144,1.143,11386200.0,13021771.0
512880.SH,2026-03-03 14:38:00,1.144,1.145,1.145,1.143,13881300.0,15876496.0
512880.SH,2026-03-03 14:37:00,1.145,1.145,1.146,1.145,25928900.0,29689012.0
512880.SH,2026-03-03 14:36:00,1.146,1.146,1.147,1.145,8766800.0,10044118.0
512880.SH,2026-03-03 14:35:00,1.146,1.147,1.147,1.146,5949200.0,6818341.0
512880.SH,2026-03-03 14:34:00,1.147,1.147,1.147,1.146,11055500.0,12675554.0
512880.SH,2026-03-03 14:33:00,1.147,1.148,1.148,1.146,6908800.0,7924566.0
512880.SH,2026-03-03 14:32:00,1.148,1.148,1.149,1.148,3167400.0,3635780.0
512880.SH,2026-03-03 14:31:00,1.148,1.149,1.149,1.148,13594300.0,15611282.0
512880.SH,2026-03-03 14:30:00,1.149,1.148,1.149,1.148,5176200.0,5941764.0
512880.SH,2026-03-03 14:29:00,1.148,1.147,1.148,1.147,5808400.0,6666574.0
512880.SH,2026-03-03 14:28:00,1.147,1.146,1.147,1.146,8712400.0,9987732.0
512880.SH,2026-03-03 14:27:00,1.146,1.146,1.147,1.146,16400700.0,18797376.0
512880.SH,2026-03-03 14:26:00,1.145,1.147,1.147,1.145,22934500.0,26281120.0
512880.SH,2026-03-03 14:25:00,1.146,1.148,1.148,1.146,15833700.0,18160660.0
512880.SH,2026-03-03 14:24:00,1.147,1.148,1.149,1.147,12637700.0,14507551.0
512880.SH,2026-03-03 14:23:00,1.148,1.148,1.149,1.148,2774600.0,3185556.0
512880.SH,2026-03-03 14:22:00,1.148,1.148,1.148,1.147,5322300.0,6107990.0
512880.SH,2026-03-03 14:21:00,1.147,1.148,1.148,1.147,3020000.0,3465984.0
512880.SH,2026-03-03 14:20:00,1.147,1.148,1.149,1.147,6923443.0,7947020.0
512880.SH,2026-03-03 14:19:00,1.149,1.148,1.149,1.147,3221057.0,3697917.0
512880.SH,2026-03-03 14:18:00,1.148,1.148,1.148,1.147,3430900.0,3937565.0
512880.SH,2026-03-03 14:17:00,1.148,1.149,1.149,1.147,14619153.0,16780648.0
512880.SH,2026-03-03 14:16:00,1.148,1.149,1.149,1.148,5281047.0,6063440.0
512880.SH,2026-03-03 14:15:00,1.149,1.149,1.149,1.148,1047800.0,1203219.0
512880.SH,2026-03-03 14:14:00,1.149,1.149,1.15,1.149,8044800.0,9243358.0
512880.SH,2026-03-03 14:13:00,1.149,1.149,1.149,1.148,9370400.0,10763971.0
512880.SH,2026-03-03 14:12:00,1.149,1.149,1.149,1.148,3667500.0,4212225.0
512880.SH,2026-03-03 14:11:00,1.149,1.148,1.149,1.148,5878400.0,6751630.0
512880.SH,2026-03-03 14:10:00,1.149,1.148,1.149,1.148,2662300.0,3057092.0
512880.SH,2026-03-03 14:09:00,1.148,1.149,1.15,1.148,13773300.0,15823904.0
512880.SH,2026-03-03 14:08:00,1.149,1.149,1.15,1.149,2407800.0,2767182.0
512880.SH,2026-03-03 14:07:00,1.149,1.15,1.15,1.149,6541800.0,7519631.0
512880.SH,2026-03-03 14:06:00,1.15,1.15,1.151,1.149,11416100.0,13127420.0
512880.SH,2026-03-03 14:05:00,1.15,1.15,1.151,1.15,3835300.0,4410707.0
512880.SH,2026-03-03 14:04:00,1.151,1.151,1.151,1.15,2797700.0,3218293.0
512880.SH,2026-03-03 14:03:00,1.151,1.15,1.152,1.15,3592200.0,4134397.0
512880.SH,2026-03-03 14:02:00,1.151,1.151,1.151,1.15,5636800.0,6488660.0
512880.SH,2026-03-03 14:01:00,1.151,1.152,1.152,1.15,10853900.0,12491447.0
512880.SH,2026-03-03 14:00:00,1.151,1.151,1.152,1.151,2723700.0,3135738.0
512880.SH,2026-03-03 13:59:00,1.151,1.152,1.152,1.151,3289100.0,3787637.0
512880.SH,2026-03-03 13:58:00,1.152,1.152,1.152,1.151,1197000.0,1377944.0
512880.SH,2026-03-03 13:57:00,1.151,1.151,1.152,1.151,6098400.0,7019501.0
512880.SH,2026-03-03 13:56:00,1.151,1.153,1.153,1.151,8641008.0,9957888.0
512880.SH,2026-03-03 13:55:00,1.152,1.152,1.153,1.152,6010200.0,6923102.0
512880.SH,2026-03-03 13:54:00,1.151,1.153,1.153,1.151,3113700.0,3586673.0
512880.SH,2026-03-03 13:53:00,1.152,1.153,1.153,1.152,20216200.0,23289604.0
512880.SH,2026-03-03 13:52:00,1.153,1.153,1.154,1.152,14465300.0,16678646.0
512880.SH,2026-03-03 13:51:00,1.154,1.154,1.154,1.153,3398100.0,3921144.0
512880.SH,2026-03-03 13:50:00,1.155,1.155,1.155,1.154,3398400.0,3922086.0
512880.SH,2026-03-03 13:49:00,1.155,1.156,1.156,1.154,4774500.0,5514830.0
512880.SH,2026-03-03 13:48:00,1.156,1.155,1.156,1.155,2436400.0,2814294.0
512880.SH,2026-03-03 13:47:00,1.155,1.155,1.155,1.154,2256800.0,2606194.0
512880.SH,2026-03-03 13:46:00,1.155,1.155,1.155,1.154,4429100.0,5114990.0
512880.SH,2026-03-03 13:45:00,1.155,1.154,1.155,1.153,5770100.0,6658586.0
512880.SH,2026-03-03 13:44:00,1.153,1.154,1.154,1.153,1688300.0,1947399.0
512880.SH,2026-03-03 13:43:00,1.154,1.155,1.155,1.153,10969900.0,12659053.0
