ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
399975.SZ,20070702,963.324,1000.813,1012.119,944.03,1000.0,-36.676,-3.6676,496589.34,2254598.945
399975.SZ,20070703,989.211,948.918,989.211,948.918,963.324,25.887,2.6873,333524.82,1497716.108
399975.SZ,20070704,963.25,989.235,995.396,963.25,989.211,-25.961,-2.6244,222401.12,967885.559
399975.SZ,20070705,934.695,948.211,962.771,928.311,963.25,-28.555,-2.9644,337040.73,1450141.045
399975.SZ,20070706,1002.051,962.37,1002.051,941.261,934.695,67.356,7.2062,428029.98,1804375.505
399975.SZ,20070709,1027.491,1010.589,1042.891,1010.589,1002.051,25.44,2.5388,480434.33,2165684.324
399975.SZ,20070710,1080.597,1043.119,1119.999,1043.119,1027.491,53.106,5.1685,858097.8,3893309.554
399975.SZ,20070711,1066.685,1073.554,1081.671,1044.237,1080.597,-13.912,-1.2874,467293.9,1924780.019
399975.SZ,20070712,1058.141,1076.932,1076.932,1043.068,1066.685,-8.544,-0.801,211429.55,905444.814
399975.SZ,20070713,1065.283,1054.632,1072.158,1042.102,1058.141,7.142,0.675,205642.69,900388.001
399975.SZ,20070716,1009.862,1066.104,1066.104,1009.488,1065.283,-55.421,-5.2025,251608.84,1077014.111
399975.SZ,20070717,1039.503,1007.407,1044.109,988.715,1009.862,29.641,2.9352,310230.9,1398243.948
399975.SZ,20070718,1040.119,1026.976,1061.647,1020.996,1039.503,0.616,0.0593,273246.65,1254513.157
399975.SZ,20070719,1049.935,1037.626,1065.53,1037.626,1040.119,9.816,0.9437,181960.32,874405.273
399975.SZ,20070720,1100.161,1042.755,1101.216,1042.755,1049.935,50.226,4.7837,481500.83,2358389.941
399975.SZ,20070723,1174.713,1117.285,1174.713,1117.285,1100.161,74.552,6.7765,724903.92,3637534.095
399975.SZ,20070724,1175.813,1177.769,1180.01,1175.813,1174.713,1.1,0.0936,275498.11,988097.465
399975.SZ,20070725,1205.133,1177.199,1210.504,1177.199,1175.813,29.32,2.4936,635316.73,3428889.287
399975.SZ,20070726,1263.772,1213.196,1285.045,1213.196,1205.133,58.639,4.8658,705473.99,3758875.222
399975.SZ,20070727,1233.397,1244.744,1259.591,1225.644,1263.772,-30.375,-2.4035,445309.59,2433714.985
399975.SZ,20070730,1238.404,1246.365,1254.155,1222.821,1233.397,5.007,0.406,483830.12,2588837.458
399975.SZ,20070731,1240.825,1232.221,1258.735,1230.449,1238.404,2.421,0.1955,396443.72,2206118.75
399975.SZ,20070801,1203.25,1250.26,1280.716,1203.25,1240.825,-37.575,-3.0282,543561.91,2960453.697
399975.SZ,20070802,1232.285,1211.584,1242.413,1200.943,1203.25,29.035,2.413,513871.79,2937766.527
399975.SZ,20070803,1350.173,1251.853,1350.173,1251.853,1232.285,117.888,9.5666,883237.35,5230786.337
399975.SZ,20070806,1367.667,1356.366,1399.426,1348.731,1350.173,17.494,1.2957,602216.19,3659998.013
399975.SZ,20070807,1389.11,1368.078,1421.172,1368.078,1367.667,21.443,1.5679,642583.3,3914649.921
399975.SZ,20070808,1372.131,1373.041,1411.747,1363.636,1389.11,-16.979,-1.2223,546080.12,3170825.809
399975.SZ,20070809,1460.474,1369.542,1462.929,1369.542,1372.131,88.343,6.4384,517007.17,2986967.924
399975.SZ,20070810,1449.326,1453.909,1461.208,1418.937,1460.474,-11.148,-0.7633,531416.24,2846210.157
399975.SZ,20070813,1427.449,1456.823,1505.597,1413.591,1449.326,-21.877,-1.5095,551159.84,3321311.475
399975.SZ,20070814,1546.583,1428.114,1564.193,1428.114,1427.449,119.134,8.3459,688707.13,4397992.619
399975.SZ,20070815,1515.392,1519.366,1560.4,1495.619,1546.583,-31.191,-2.0168,580450.34,3593296.186
399975.SZ,20070816,1465.901,1518.891,1518.891,1457.403,1515.392,-49.491,-3.2659,484939.4,2955804.511
399975.SZ,20070817,1451.986,1465.901,1528.247,1450.665,1465.901,-13.915,-0.9492,457425.74,2969373.147
399975.SZ,20070820,1578.949,1517.944,1580.557,1511.36,1451.986,126.963,8.7441,479664.23,3227260.794
399975.SZ,20070821,1639.451,1586.887,1640.438,1586.887,1578.949,60.502,3.8318,362520.95,2351824.791
399975.SZ,20070822,1667.018,1602.858,1674.068,1602.858,1639.451,27.567,1.6815,410258.15,2512865.147
399975.SZ,20070823,1761.51,1670.452,1811.325,1667.351,1667.018,94.492,5.6683,477091.02,3151362.295
399975.SZ,20070824,1747.709,1777.954,1777.954,1738.263,1761.51,-13.801,-0.7835,440084.76,3266709.337
399975.SZ,20070827,1744.174,1748.342,1750.276,1742.94,1747.709,-3.535,-0.2023,181594.11,773017.811
399975.SZ,20070828,1746.675,1743.04,1747.509,1740.339,1744.174,2.501,0.1434,170985.28,727108.359
399975.SZ,20070829,1749.976,1747.008,1753.278,1747.008,1746.675,3.301,0.189,263300.26,1159170.98
