trade_date,index_code,con_code,symbol,name,weight,area,industry,market,list_status,list_date,delist_date,is_hs
20160831,399975.SZ,600030.SH,600030,中信证券,13.58,深圳,证券,主板,L,20030106,,H
20160831,399975.SZ,600837.SH,600837,海通证券(退),13.086,,,主板,D,19940224,20250304.0,N
20160831,399975.SZ,601688.SH,601688,华泰证券,6.809,江苏,证券,主板,L,20100226,,H
20160831,399975.SZ,600999.SH,600999,招商证券,5.325,深圳,证券,主板,L,20091117,,H
20160831,399975.SZ,000776.SZ,000776,广发证券,5.091,广东,证券,主板,L,19970611,,S
20160831,399975.SZ,600958.SH,600958,东方证券,4.497,上海,证券,主板,L,20150323,,H
20160831,399975.SZ,002736.SZ,002736,国信证券,4.458,深圳,证券,主板,L,20141229,,S
20160831,399975.SZ,000166.SZ,000166,申万宏源,3.993,新疆,证券,主板,L,20150126,,S
20160831,399975.SZ,601377.SH,601377,兴业证券,3.809,福建,证券,主板,L,20101013,,H
20160831,399975.SZ,000783.SZ,000783,长江证券,3.787,湖北,证券,主板,L,19970731,,S
20160831,399975.SZ,002673.SZ,002673,西部证券,3.694,陕西,证券,主板,L,20120503,,S
20160831,399975.SZ,601901.SH,601901,方正证券,3.194,湖南,证券,主板,L,20110810,,H
20160831,399975.SZ,601099.SH,601099,太平洋,3.127,云南,证券,主板,L,20071228,,H
20160831,399975.SZ,601555.SH,601555,东吴证券,3.012,江苏,证券,主板,L,20111212,,H
20160831,399975.SZ,601211.SH,601211,国泰海通,2.894,上海,证券,主板,L,20150626,,H
20160831,399975.SZ,000728.SZ,000728,国元证券,2.539,安徽,证券,主板,L,19970616,,S
20160831,399975.SZ,600109.SH,600109,国金证券,2.486,四川,证券,主板,L,19970807,,H
20160831,399975.SZ,601198.SH,601198,东兴证券,2.362,北京,证券,主板,L,20150226,,H
20160831,399975.SZ,600369.SH,600369,西南证券,2.176,重庆,证券,主板,L,20010109,,H
20160831,399975.SZ,601788.SH,601788,光大证券,2.077,上海,证券,主板,L,20090818,,H
20160831,399975.SZ,600061.SH,600061,国投资本,1.911,上海,证券,主板,L,19970519,,H
20160831,399975.SZ,000686.SZ,000686,东北证券,1.867,吉林,证券,主板,L,19970227,,S
20160831,399975.SZ,002500.SZ,002500,山西证券,1.703,山西,证券,主板,L,20101115,,S
20160831,399975.SZ,000750.SZ,000750,国海证券,1.575,广西,证券,主板,L,19970709,,S
20160831,399975.SZ,000712.SZ,000712,锦龙股份,0.95,广东,证券,主板,L,19970415,,S
20161031,399975.SZ,600837.SH,600837,海通证券(退),13.447,,,主板,D,19940224,20250304.0,N
20161031,399975.SZ,600030.SH,600030,中信证券,13.344,深圳,证券,主板,L,20030106,,H
20161031,399975.SZ,601688.SH,601688,华泰证券,6.844,江苏,证券,主板,L,20100226,,H
20161031,399975.SZ,600999.SH,600999,招商证券,5.321,深圳,证券,主板,L,20091117,,H
20161031,399975.SZ,000776.SZ,000776,广发证券,5.256,广东,证券,主板,L,19970611,,S
20161031,399975.SZ,600958.SH,600958,东方证券,4.302,上海,证券,主板,L,20150323,,H
20161031,399975.SZ,002736.SZ,002736,国信证券,4.301,深圳,证券,主板,L,20141229,,S
20161031,399975.SZ,000166.SZ,000166,申万宏源,3.961,新疆,证券,主板,L,20150126,,S
20161031,399975.SZ,601377.SH,601377,兴业证券,3.77,福建,证券,主板,L,20101013,,H
20161031,399975.SZ,000783.SZ,000783,长江证券,3.705,湖北,证券,主板,L,19970731,,S
20161031,399975.SZ,601099.SH,601099,太平洋,3.604,云南,证券,主板,L,20071228,,H
20161031,399975.SZ,002673.SZ,002673,西部证券,3.454,陕西,证券,主板,L,20120503,,S
20161031,399975.SZ,601901.SH,601901,方正证券,3.147,湖南,证券,主板,L,20110810,,H
20161031,399975.SZ,601555.SH,601555,东吴证券,3.108,江苏,证券,主板,L,20111212,,H
20161031,399975.SZ,601211.SH,601211,国泰海通,2.777,上海,证券,主板,L,20150626,,H
20161031,399975.SZ,000728.SZ,000728,国元证券,2.694,安徽,证券,主板,L,19970616,,S
20161031,399975.SZ,601198.SH,601198,东兴证券,2.61,北京,证券,主板,L,20150226,,H
