ts_code,freq,trade_time,trade_date,open,high,low,close,volume,amount,adjust_type,source,updated_at
000001.SZ,1d,2001-06-06 15:00:00,20010606,2.88,2.91,2.87,2.88,43113.66,68730.0042,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-07 15:00:00,20010607,2.88,2.9,2.86,2.87,52996.08,84033.966,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-08 15:00:00,20010608,2.87,2.87,2.81,2.85,38217.87,60046.5733,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-11 15:00:00,20010611,2.85,2.86,2.81,2.82,41376.87,64590.8352,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-12 15:00:00,20010612,2.82,2.86,2.81,2.83,30371.91,47482.7498,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-13 15:00:00,20010613,2.83,2.9,2.83,2.88,41233.11,65259.5563,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-14 15:00:00,20010614,2.9,2.93,2.84,2.85,66614.86,106511.3812,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-15 15:00:00,20010615,2.84,2.88,2.83,2.86,29632.82,46501.352,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-18 15:00:00,20010618,2.86,2.86,2.77,2.8,41755.04,64927.816,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-19 15:00:00,20010619,2.79,2.8,2.77,2.79,29865.51,45936.069,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-20 15:00:00,20010620,2.8,2.82,2.75,2.77,49580.11,75939.7991,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-21 15:00:00,20010621,2.77,2.79,2.75,2.78,44313.45,67836.0291,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-22 15:00:00,20010622,2.78,2.83,2.75,2.82,33045.83,50776.0131,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-25 15:00:00,20010625,2.82,2.86,2.82,2.84,29092.81,45637.4196,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-26 15:00:00,20010626,2.84,2.84,2.81,2.81,33490.91,52098.285,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-27 15:00:00,20010627,2.81,2.82,2.79,2.8,33555.02,51803.728,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-06-28 15:00:00,20010628,2.8,2.82,2.77,2.77,34889.09,53645.6036,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-02 15:00:00,20010702,2.78,2.82,2.77,2.78,22439.02,34537.0475,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-03 15:00:00,20010703,2.78,2.79,2.77,2.78,16216.67,24899.2423,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-04 15:00:00,20010704,2.79,2.84,2.79,2.82,22095.06,34398.795,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-05 15:00:00,20010705,2.83,2.91,2.83,2.83,80325.95,127473.5441,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-06 15:00:00,20010706,2.84,2.86,2.8,2.81,24026.22,37503.268,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-09 15:00:00,20010709,2.84,2.84,2.78,2.78,17663.84,27237.6637,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-10 15:00:00,20010710,2.78,2.8,2.78,2.8,14205.85,21890.882,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-11 15:00:00,20010711,2.8,2.8,2.76,2.76,41445.8,63359.4307,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-12 15:00:00,20010712,2.76,2.77,2.72,2.75,45039.48,68186.6925,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-13 15:00:00,20010713,2.75,2.77,2.73,2.73,25137.59,38049.2329,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-16 15:00:00,20010716,2.75,2.78,2.7,2.71,28337.81,42683.0876,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-17 15:00:00,20010717,2.71,2.71,2.65,2.68,33506.36,49315.9617,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-18 15:00:00,20010718,2.69,2.9,2.69,2.74,22853.8,34621.7831,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-19 15:00:00,20010719,2.74,2.75,2.69,2.74,20263.85,30429.4312,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-20 15:00:00,20010720,2.75,2.78,2.72,2.75,36420.97,55244.6414,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-23 15:00:00,20010723,2.76,2.78,2.73,2.73,26996.06,40926.601,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-24 15:00:00,20010724,2.73,2.73,2.7,2.71,31326.86,46923.2315,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-25 15:00:00,20010725,2.71,2.72,2.67,2.68,32353.08,48066.6978,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-26 15:00:00,20010726,2.68,2.69,2.64,2.67,29724.06,43631.4497,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-27 15:00:00,20010727,2.69,2.72,2.65,2.71,32433.63,48053.4178,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-30 15:00:00,20010730,2.7,2.7,2.46,2.53,75980.49,108007.0454,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-07-31 15:00:00,20010731,2.5,2.57,2.49,2.5,40376.43,56392.9575,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-01 15:00:00,20010801,2.51,2.57,2.51,2.57,36467.71,51147.6564,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-02 15:00:00,20010802,2.57,2.57,2.49,2.52,29005.98,40401.7908,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-03 15:00:00,20010803,2.52,2.53,2.47,2.5,37632.71,51911.3529,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-06 15:00:00,20010806,2.49,2.49,2.28,2.36,76041.39,99291.0923,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-07 15:00:00,20010807,2.35,2.39,2.31,2.38,35797.4,46623.8431,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-08 15:00:00,20010808,2.39,2.39,2.34,2.35,27902.22,36322.3619,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-09 15:00:00,20010809,2.35,2.39,2.35,2.37,26722.92,34910.8297,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-10 15:00:00,20010810,2.46,2.46,2.41,2.43,24964.38,33496.5746,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-13 15:00:00,20010813,2.44,2.47,2.42,2.44,22956.97,30971.9541,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-14 15:00:00,20010814,2.43,2.46,2.39,2.41,20427.6,27399.7424,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-15 15:00:00,20010815,2.42,2.43,2.4,2.41,12583.99,16792.3827,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-16 15:00:00,20010816,2.42,2.42,2.36,2.37,29097.41,38296.8897,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-17 15:00:00,20010817,2.37,2.42,2.36,2.39,12351.54,16303.461,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-20 15:00:00,20010820,2.39,2.4,2.37,2.39,13489.79,17742.7008,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-21 15:00:00,20010821,2.41,2.44,2.4,2.41,13534.36,18099.3644,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-22 15:00:00,20010822,2.4,2.41,2.36,2.38,17110.01,22439.7369,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-23 15:00:00,20010823,2.37,2.39,2.35,2.37,16623.73,21713.5367,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-24 15:00:00,20010824,2.38,2.4,2.35,2.36,13335.28,17445.2836,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-27 15:00:00,20010827,2.36,2.36,2.28,2.31,30753.52,39338.2565,qfq,tushare,2026-02-28 16:49:05
000001.SZ,1d,2001-08-28 15:00:00,20010828,2.3,2.33,2.26,2.32,24978.11,31612.3743,qfq,tushare,2026-02-28 16:49:05
