ts_code,freq,trade_date,trade_time,open,high,low,close,volume,amount,adjust_type,source,updated_at
000987.SZ,1d,20000718,2000-07-18 15:00:00,11.52,11.6,10.59,11.07,337822.0,371466.4003,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000719,2000-07-19 15:00:00,10.92,11.0,10.71,10.79,83803.0,91279.5634,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000720,2000-07-20 15:00:00,10.75,11.07,10.75,11.01,63910.0,70236.8671,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000721,2000-07-21 15:00:00,11.02,11.02,10.81,10.87,33074.0,36299.4856,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000724,2000-07-24 15:00:00,10.87,10.88,10.63,10.71,30555.0,32968.5608,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000725,2000-07-25 15:00:00,10.72,11.18,10.63,10.99,45022.0,49773.7537,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000726,2000-07-26 15:00:00,11.02,11.03,10.82,10.89,22865.0,25099.8862,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000727,2000-07-27 15:00:00,10.9,11.04,10.77,10.91,23353.0,25622.092,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000728,2000-07-28 15:00:00,10.92,10.93,10.75,10.83,18699.0,20364.1318,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000731,2000-07-31 15:00:00,10.82,10.88,10.71,10.78,20729.0,22466.2031,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000801,2000-08-01 15:00:00,10.84,10.99,10.78,10.9,16853.0,18488.5985,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000802,2000-08-02 15:00:00,10.92,10.95,10.77,10.85,12248.0,13341.4034,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000803,2000-08-03 15:00:00,10.82,10.99,10.77,10.92,20810.0,22780.4676,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000804,2000-08-04 15:00:00,10.97,11.0,10.73,10.94,25116.0,27515.2449,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000807,2000-08-07 15:00:00,10.92,11.37,10.84,11.22,45307.0,50893.7172,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000808,2000-08-08 15:00:00,11.22,11.26,11.07,11.12,20569.0,23061.4784,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000809,2000-08-09 15:00:00,11.15,11.39,11.1,11.15,25899.0,29337.7947,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000810,2000-08-10 15:00:00,11.15,11.29,11.01,11.04,18961.0,21214.3562,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000811,2000-08-11 15:00:00,11.04,11.17,10.99,11.16,19266.0,21483.5348,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000814,2000-08-14 15:00:00,11.23,11.41,11.1,11.31,27099.0,30780.6888,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000815,2000-08-15 15:00:00,11.31,11.9,11.22,11.77,71762.0,83833.7458,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000816,2000-08-16 15:00:00,11.89,11.98,11.5,11.68,36727.0,43316.6947,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000817,2000-08-17 15:00:00,11.92,11.92,11.19,11.68,20525.0,24187.8084,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000818,2000-08-18 15:00:00,11.68,11.75,11.47,11.55,22402.0,26088.1552,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000821,2000-08-21 15:00:00,11.57,12.01,11.57,11.91,40349.0,48156.0722,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000822,2000-08-22 15:00:00,12.0,12.12,11.53,11.57,33100.0,39718.7532,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000823,2000-08-23 15:00:00,11.53,11.8,11.1,11.65,52928.0,61024.0256,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000824,2000-08-24 15:00:00,11.65,11.84,11.48,11.71,30634.0,36093.7792,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000825,2000-08-25 15:00:00,11.79,12.02,11.72,11.99,40647.0,48805.2393,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000828,2000-08-28 15:00:00,12.11,12.38,12.08,12.23,41096.0,50656.9089,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000829,2000-08-29 15:00:00,12.26,12.3,12.1,12.2,23749.0,29096.1178,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000830,2000-08-30 15:00:00,12.21,12.26,11.87,11.9,25877.0,31335.5296,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000831,2000-08-31 15:00:00,11.82,11.82,11.48,11.49,26235.0,30782.4184,qfq,tushare,2026-02-28 20:36:42
000987.SZ,1d,20000901,2000-09-01 15:00:00,11.37,11.82,11.35,11.56,20204.0,23615.7876,qfq,tushare,2026-02-28 20:36:42
