ts_code,freq,trade_time,trade_date,open,high,low,close,volume,amount,adjust_type,source,updated_at
600031.SH,1d,2003-07-03 15:00:00,20030703,0.43,0.43,0.37,0.4,338167.15,718871.493,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-04 15:00:00,20030704,0.4,0.41,0.39,0.41,76975.44,167054.233,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-07 15:00:00,20030707,0.41,0.41,0.4,0.41,39512.05,85964.28,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-08 15:00:00,20030708,0.41,0.41,0.4,0.41,21173.57,46384.285,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-09 15:00:00,20030709,0.41,0.42,0.4,0.42,34404.47,76869.58,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-10 15:00:00,20030710,0.42,0.43,0.42,0.42,31376.4,70923.905,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-11 15:00:00,20030711,0.42,0.44,0.42,0.43,32129.06,74251.12,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-14 15:00:00,20030714,0.43,0.45,0.43,0.44,46817.66,111602.401,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-15 15:00:00,20030715,0.44,0.45,0.44,0.45,20335.02,48545.936,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-16 15:00:00,20030716,0.44,0.45,0.44,0.45,20743.79,49763.542,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-17 15:00:00,20030717,0.45,0.47,0.45,0.47,34824.04,86808.412,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-18 15:00:00,20030718,0.47,0.48,0.46,0.46,52822.77,134105.172,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-21 15:00:00,20030721,0.46,0.47,0.46,0.47,28493.98,71501.773,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-22 15:00:00,20030722,0.48,0.48,0.45,0.46,25146.86,62304.434,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-23 15:00:00,20030723,0.46,0.47,0.45,0.46,8014.4,19777.061,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-24 15:00:00,20030724,0.46,0.48,0.46,0.48,23829.8,60929.696,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-25 15:00:00,20030725,0.48,0.49,0.47,0.47,28246.52,72886.618,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-28 15:00:00,20030728,0.47,0.48,0.45,0.46,12374.91,30703.841,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-29 15:00:00,20030729,0.46,0.47,0.46,0.46,13123.53,32588.879,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-30 15:00:00,20030730,0.46,0.47,0.46,0.46,7740.51,19216.208,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-07-31 15:00:00,20030731,0.46,0.46,0.45,0.46,25256.9,61402.22,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-01 15:00:00,20030801,0.46,0.46,0.44,0.45,37382.99,89591.032,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-04 15:00:00,20030804,0.45,0.47,0.44,0.46,17592.75,43232.709,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-05 15:00:00,20030805,0.47,0.47,0.46,0.46,8105.62,20210.389,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-06 15:00:00,20030806,0.46,0.46,0.46,0.46,5986.25,14785.939,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-07 15:00:00,20030807,0.46,0.47,0.46,0.46,4065.2,10111.284,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-08 15:00:00,20030808,0.47,0.47,0.46,0.47,16415.04,41327.745,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-11 15:00:00,20030811,0.47,0.47,0.46,0.47,5324.47,13389.425,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-12 15:00:00,20030812,0.48,0.48,0.47,0.47,6099.84,15379.762,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-13 15:00:00,20030813,0.47,0.47,0.46,0.46,8262.6,20491.486,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-14 15:00:00,20030814,0.46,0.47,0.46,0.46,7064.48,17575.132,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-15 15:00:00,20030815,0.46,0.46,0.46,0.46,3828.86,9447.946,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-18 15:00:00,20030818,0.46,0.46,0.45,0.45,18105.36,43594.396,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-19 15:00:00,20030819,0.45,0.45,0.45,0.45,5045.89,12201.53,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-20 15:00:00,20030820,0.45,0.45,0.45,0.45,4948.79,11879.751,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-21 15:00:00,20030821,0.45,0.45,0.44,0.45,4332.72,10388.776,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-22 15:00:00,20030822,0.45,0.45,0.44,0.44,4417.44,10572.948,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-25 15:00:00,20030825,0.44,0.44,0.44,0.44,11008.28,25906.367,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-26 15:00:00,20030826,0.44,0.44,0.44,0.44,2413.52,5686.05,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-27 15:00:00,20030827,0.44,0.44,0.44,0.44,1552.85,3683.449,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-28 15:00:00,20030828,0.44,0.44,0.44,0.44,2485.03,5887.964,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-08-29 15:00:00,20030829,0.43,0.45,0.43,0.45,11297.96,26918.056,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-01 15:00:00,20030901,0.45,0.47,0.45,0.46,14827.05,36669.032,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-02 15:00:00,20030902,0.46,0.47,0.45,0.46,16769.13,41769.375,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-03 15:00:00,20030903,0.46,0.46,0.45,0.45,11514.54,27985.356,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-04 15:00:00,20030904,0.45,0.46,0.45,0.45,3397.74,8236.467,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-05 15:00:00,20030905,0.45,0.45,0.44,0.45,9762.21,23374.289,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-08 15:00:00,20030908,0.44,0.45,0.44,0.44,2091.82,4981.136,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-09 15:00:00,20030909,0.44,0.45,0.44,0.44,4171.23,9913.344,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-10 15:00:00,20030910,0.44,0.45,0.44,0.44,2508.18,5948.731,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-11 15:00:00,20030911,0.44,0.45,0.44,0.45,3227.99,7762.663,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-12 15:00:00,20030912,0.44,0.45,0.44,0.44,2239.16,5340.979,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-15 15:00:00,20030915,0.44,0.45,0.44,0.44,1325.21,3130.462,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-16 15:00:00,20030916,0.44,0.45,0.44,0.45,3248.59,7727.832,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-17 15:00:00,20030917,0.45,0.45,0.44,0.44,2673.01,6329.362,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-18 15:00:00,20030918,0.44,0.44,0.44,0.44,873.31,2060.923,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-19 15:00:00,20030919,0.44,0.44,0.44,0.44,1277.4,3018.048,qfq,tushare,2026-02-28 16:49:23
600031.SH,1d,2003-09-22 15:00:00,20030922,0.44,0.44,0.44,0.44,2549.37,6047.224,qfq,tushare,2026-02-28 16:49:23
