ts_code,freq,trade_date,trade_time,open,high,low,close,volume,amount,adjust_type,source,updated_at
600703.SH,1d,19991022,1999-10-22 15:00:00,8.14,8.34,8.08,8.22,3260.0,2671.868,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991025,1999-10-25 15:00:00,8.2,8.22,8.0,8.01,3068.0,2470.363,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991026,1999-10-26 15:00:00,8.05,8.18,8.0,8.18,2645.0,2130.365,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991027,1999-10-27 15:00:00,8.25,8.38,8.12,8.29,4041.0,3353.199,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991028,1999-10-28 15:00:00,8.28,8.33,8.01,8.1,2557.0,2086.691,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991029,1999-10-29 15:00:00,8.02,8.19,8.02,8.1,2029.0,1640.485,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991101,1999-11-01 15:00:00,8.06,8.25,8.02,8.12,1143.0,926.824,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991102,1999-11-02 15:00:00,8.13,8.18,8.08,8.09,895.0,724.065,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991103,1999-11-03 15:00:00,8.1,8.1,7.85,7.85,3240.0,2573.246,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991104,1999-11-04 15:00:00,7.82,7.9,7.65,7.88,4726.0,3662.522,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991105,1999-11-05 15:00:00,7.88,7.93,7.66,7.73,2188.0,1702.236,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991108,1999-11-08 15:00:00,7.73,7.78,7.64,7.68,2324.0,1786.344,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991109,1999-11-09 15:00:00,7.68,7.8,7.67,7.68,1680.0,1294.726,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991110,1999-11-10 15:00:00,7.7,7.7,7.37,7.5,4405.0,3296.033,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991111,1999-11-11 15:00:00,7.43,7.51,7.36,7.4,2672.0,1980.761,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991112,1999-11-12 15:00:00,7.4,7.59,7.4,7.59,1957.0,1462.293,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991115,1999-11-15 15:00:00,7.58,7.59,7.28,7.3,2701.0,1998.496,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991116,1999-11-16 15:00:00,7.38,7.5,7.08,7.09,3842.0,2773.218,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991117,1999-11-17 15:00:00,7.1,7.26,7.09,7.26,2822.0,2014.279,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991118,1999-11-18 15:00:00,7.32,7.48,7.2,7.39,3926.0,2898.57,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991119,1999-11-19 15:00:00,7.45,7.45,7.3,7.38,2538.0,1873.67,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991122,1999-11-22 15:00:00,7.41,7.41,7.26,7.39,1867.0,1368.97,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991123,1999-11-23 15:00:00,7.42,7.6,7.36,7.54,2668.0,2002.137,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991124,1999-11-24 15:00:00,7.58,7.58,7.45,7.45,1390.0,1040.455,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991125,1999-11-25 15:00:00,7.4,7.43,7.28,7.3,1433.0,1048.28,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991126,1999-11-26 15:00:00,7.3,7.34,7.25,7.3,1164.0,848.907,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991129,1999-11-29 15:00:00,7.47,7.47,7.11,7.26,2239.0,1620.949,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991130,1999-11-30 15:00:00,7.3,7.3,7.19,7.26,948.0,686.032,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991201,1999-12-01 15:00:00,7.26,7.32,7.15,7.29,1850.0,1340.86,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991202,1999-12-02 15:00:00,7.29,7.29,7.2,7.27,1565.0,1133.179,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991203,1999-12-03 15:00:00,7.3,7.34,7.2,7.24,1072.0,775.786,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991206,1999-12-06 15:00:00,7.25,7.46,7.2,7.3,2388.0,1754.685,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991207,1999-12-07 15:00:00,7.3,7.36,7.26,7.35,1089.0,794.712,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991208,1999-12-08 15:00:00,7.35,7.44,7.32,7.41,1902.0,1404.591,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991209,1999-12-09 15:00:00,7.44,7.44,7.34,7.34,1185.0,873.232,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991210,1999-12-10 15:00:00,7.28,7.38,7.18,7.22,1479.79,1076.288,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991213,1999-12-13 15:00:00,7.22,7.3,7.02,7.11,2887.0,2068.171,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991214,1999-12-14 15:00:00,7.09,7.15,7.07,7.12,1681.0,1194.146,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991215,1999-12-15 15:00:00,7.12,7.28,7.12,7.21,2998.0,2160.122,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991216,1999-12-16 15:00:00,7.21,7.22,7.06,7.15,2327.0,1659.228,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991217,1999-12-17 15:00:00,7.08,7.16,7.03,7.04,1744.0,1234.875,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991221,1999-12-21 15:00:00,7.05,7.06,6.71,6.73,3417.0,2335.919,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991222,1999-12-22 15:00:00,6.73,6.78,6.59,6.65,3820.0,2540.478,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991223,1999-12-23 15:00:00,6.65,6.77,6.5,6.51,2796.0,1851.048,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991224,1999-12-24 15:00:00,6.55,6.61,6.4,6.43,2246.0,1456.0,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991227,1999-12-27 15:00:00,6.4,6.41,6.3,6.35,3528.0,2241.0,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991228,1999-12-28 15:00:00,6.3,6.4,6.3,6.33,1762.0,1119.918,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991229,1999-12-29 15:00:00,6.36,6.48,6.33,6.48,2170.0,1388.71,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,19991230,1999-12-30 15:00:00,6.46,6.49,6.41,6.45,884.0,570.809,qfq,tushare,2026-02-28 19:54:15
600703.SH,1d,20000104,2000-01-04 15:00:00,6.5,6.6,6.35,6.58,2390.0,1555.073,qfq,tushare,2026-02-28 19:54:15
