ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
600030.SH,20260227,227400,62188.11,229068,62643.41,287649,78680.26,274286,75025.15,219509,60039.91,240701,65840.64,143029,39123.19,133532,36522.27,-78234,-21336.96
600030.SH,20260226,360288,99056.31,355654,97796.95,421469,115912.64,417725,114911.41,318572,87603.12,334623,92024.54,225959,62182.19,218286,60021.36,-408628,-112433.23
600030.SH,20260225,211180,58675.49,219259,60910.88,321922,89451.56,296151,82286.18,284085,78950.09,293611,81592.95,199043,55287.03,207209,57574.16,3144,967.8
600030.SH,20260224,212873,58910.29,203366,56275.73,293372,81203.15,277532,76811.11,205597,56900.24,218722,60535.92,136086,37658.34,148308,41049.25,-115639,-31937.98
600030.SH,20260213,302515,84116.39,280715,78062.34,341783,95043.15,354609,98618.64,270407,75205.5,270360,75198.08,175760,48890.12,184781,51376.1,-169444,-46877.6
600030.SH,20260212,236956,66082.88,239102,66673.76,291575,81318.6,319175,89013.06,286943,80015.24,259854,72461.51,142381,39701.42,139723,38969.81,-193559,-53925.69
600030.SH,20260211,197902,55496.67,188225,52773.46,240392,67420.09,242276,67953.97,239751,67233.02,224337,62916.57,158614,44464.11,181822,50969.87,-1343,-300.36
600030.SH,20260210,209946,58983.56,189150,53134.42,234676,65931.65,235480,66156.21,214502,60257.82,216111,60708.49,97174,27285.25,115557,32459.15,26143,7396.08
600030.SH,20260209,227831,63822.5,238543,66812.93,303946,85132.59,292457,81912.48,270548,75776.76,263294,73753.8,168210,47127.81,176241,49380.45,106800,30001.52
600030.SH,20260206,300153,84619.3,332959,93854.56,303678,85600.69,332624,93763.65,260786,73506.77,263896,74396.2,209410,59034.92,144547,40747.27,-181939,-51213.96
600030.SH,20260205,297162,84145.11,324798,91956.53,325562,92199.03,328531,93042.22,319966,90626.59,301722,85463.49,214152,60656.11,201790,57164.59,-6875,-1776.18
600030.SH,20260204,460504,130043.08,419120,118373.58,508828,143697.57,482529,136288.09,375908,106201.63,398492,112584.65,226953,64137.8,272051,76833.77,265759,75291.32
600030.SH,20260203,346431,96535.86,329548,91828.18,399626,111355.18,410391,114364.93,363281,101220.12,380058,105903.77,213579,59554.59,202920,56568.86,-93343,-25865.41
600030.SH,20260202,486386,137167.51,456332,128729.58,603332,170202.57,595150,167893.84,469214,132401.43,455160,128438.86,259404,73080.03,311694,87789.26,-106981,-29558.28
600030.SH,20260130,445539,125889.56,484746,137000.85,571916,161628.91,670155,189383.09,525927,148700.33,478073,135175.08,363713,102880.67,274121,77540.45,-385885,-108924.27
