trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
20260227,29047.03,23574.77,161691.04,179851.79,341542.83,52621.8
20260226,28969.86,23501.96,145059.34,171790.43,316849.77,52471.83
20260225,28992.97,23552.51,151317.07,168220.32,319537.39,52545.48
20260224,29047.92,23538.13,145274.94,171886.36,317161.3,52586.05
20260213,29038.31,23516.43,124453.61,145187.76,269641.37,52554.74
20260212,28923.55,23429,134726.72,154931.84,289658.56,52352.55
20260211,28876.99,23429.89,118164.09,134562.01,252726.1,52306.88
20260210,28848.74,23409.97,121763.16,136800.11,258563.27,52258.72
20260209,28837.71,23420.16,125768.07,147237.37,273005.44,52257.87
20260206,28854.16,23422.58,134413.69,153303.23,287716.92,52276.74
20260205,28783.03,23345.12,142094.43,146843.62,288938.05,52128.15
20260204,28658.22,23220.15,153367.8,169536.64,322904.44,51878.37
20260203,28584.29,23160.36,160197.33,181537.82,341735.15,51744.64
20260202,28566.96,23168.16,173774.11,184536.31,358310.42,51735.12
20260130,28539.58,23176.47,186341.66,204492.03,390833.69,51716.05
