ts_code,trade_date,price,vol,amount,buyer,seller
600030.SH,20260121,25.25,45.68,1153.42,国泰海通证券股份有限公司上海浦东新区松涛路证券营业部,国泰海通证券股份有限公司上海浦东新区松涛路证券营业部
600030.SH,20260105,25.9,12.25,317.28,东方证券股份有限公司上海普陀区光新路证券营业部,兴业证券股份有限公司上海自由贸易试验区分公司
600030.SH,20251212,28.41,14.29,405.98,国泰海通证券股份有限公司总部,机构专用
600030.SH,20251127,24.84,288.0,7153.92,国金证券股份有限公司上海静安区南京西路证券营业部,万和证券股份有限公司北京分公司
600030.SH,20251127,24.84,361.2,8972.21,招商证券股份有限公司北京车公庄西路证券营业部,万和证券股份有限公司北京分公司
600030.SH,20250924,25.65,651.07,16700.0,中信证券股份有限公司西安未央路证券营业部,中信建投证券股份有限公司榆林肤施路证券营业部
600030.SH,20250919,25.52,509.5,13002.55,中信证券股份有限公司西安未央路证券营业部,中信建投证券股份有限公司榆林肤施路证券营业部
600030.SH,20250910,29.52,477.74,14102.88,机构专用,机构专用
600030.SH,20250905,26.6,766.8,20396.93,中信证券股份有限公司西安未央路证券营业部,中信建投证券股份有限公司榆林肤施路证券营业部
600030.SH,20250829,31.48,57.3,1803.95,招商证券股份有限公司北京车公庄西路证券营业部,招商证券股份有限公司北京北三环东路证券营业部
600030.SH,20250821,30.88,10.0,308.8,国泰海通证券股份有限公司总部,华泰证券股份有限公司泰州分公司
600030.SH,20250819,31.02,10.0,310.2,华泰证券股份有限公司泰州分公司,海通证券股份有限公司上海嘉定区洪德路证券营业部
600030.SH,20250815,31.1,10.0,311.0,国泰海通证券股份有限公司北京方庄路证券营业部,国泰海通证券股份有限公司总部
600030.SH,20250814,28.17,46.03,1296.67,国金证券股份有限公司海南分公司,华创证券有限责任公司北京东三环中路证券营业部
600030.SH,20250813,28.14,25.0,703.5,国联民生证券股份有限公司上海分公司,华创证券有限责任公司北京东三环中路证券营业部
600030.SH,20250807,26.25,10.5,275.63,红塔证券股份有限公司岳阳永济大道证券营业部,中信证券（山东）有限责任公司青岛分公司
