ts_code,end_date,pledge_count,unrest_pledge,rest_pledge,total_share,pledge_ratio
600030.SH,20260227,1,80.0,0.0,1220047.0,0.01
600030.SH,20260213,1,80.0,0.0,1220047.0,0.01
600030.SH,20260206,1,80.0,0.0,1220047.0,0.01
600030.SH,20260130,1,80.0,0.0,1220047.0,0.01
600030.SH,20260123,1,80.0,0.0,1220047.0,0.01
600030.SH,20260116,0,0.0,0.0,1482054.6829,0.0
600030.SH,20260109,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251231,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251226,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251219,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251212,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251205,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251129,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251128,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251121,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251115,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251114,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251107,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251031,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251024,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251017,0,0.0,0.0,1482054.6829,0.0
600030.SH,20251010,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250930,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250926,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250919,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250912,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250905,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250829,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250822,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250815,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250808,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250801,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250725,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250718,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250711,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250704,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250627,1,84.0,0.0,1220047.0,0.01
600030.SH,20250620,1,84.0,0.0,1220047.0,0.01
600030.SH,20250613,1,84.0,0.0,1220047.0,0.01
600030.SH,20250606,1,84.0,0.0,1220047.0,0.01
600030.SH,20250530,1,84.0,0.0,1220047.0,0.01
600030.SH,20250523,1,84.0,0.0,1220047.0,0.01
600030.SH,20250516,1,84.0,0.0,1220047.0,0.01
600030.SH,20250509,1,84.0,0.0,1220047.0,0.01
600030.SH,20250430,1,84.0,0.0,1220047.0,0.01
600030.SH,20250425,1,84.0,0.0,1220047.0,0.01
600030.SH,20250418,1,84.0,0.0,1220047.0,0.01
600030.SH,20250411,1,84.0,0.0,1220047.0,0.01
600030.SH,20250403,1,84.0,0.0,1220047.0,0.01
600030.SH,20250328,1,84.0,0.0,1220047.0,0.01
600030.SH,20250321,1,84.0,0.0,1220047.0,0.01
600030.SH,20250314,1,84.0,0.0,1220047.0,0.01
600030.SH,20250307,1,84.0,0.0,1220047.0,0.01
600030.SH,20250228,1,84.0,0.0,1220047.0,0.01
600030.SH,20250221,1,84.0,0.0,1220047.0,0.01
600030.SH,20250214,1,84.0,0.0,1220047.0,0.01
600030.SH,20250207,1,84.0,0.0,1220047.0,0.01
600030.SH,20250127,1,84.0,0.0,1220047.0,0.01
600030.SH,20250124,1,84.0,0.0,1220047.0,0.01
600030.SH,20250117,1,84.0,0.0,1220047.0,0.01
600030.SH,20250110,0,0.0,0.0,1482054.6829,0.0
600030.SH,20250103,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241227,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241220,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241213,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241206,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241129,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241122,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241115,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241108,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241101,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241025,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241018,0,0.0,0.0,1482054.6829,0.0
600030.SH,20241011,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240930,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240927,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240920,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240913,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240906,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240830,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240823,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240816,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240809,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240802,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240726,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240719,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240712,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240705,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240628,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240621,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240614,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240607,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240531,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240524,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240517,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240510,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240430,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240426,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240419,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240412,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240403,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240329,0,0.0,0.0,1482054.6829,0.0
600030.SH,20240322,0,0.0,0.0,1482054.6829,0.0
