ts_code,ann_date,float_date,float_share,float_ratio,holder_name,share_type
600030.SH,20200313,20240911,544514633.0,3.6741,广州越秀金融控股集团有限公司,定增股份
600030.SH,20200313,20240911,265352996.0,1.7904,广州越秀金融控股集团股份有限公司,定增股份
600030.SH,,20240311,265352996.0,2.0527,广州越秀金融控股集团股份有限公司,定增股份
600030.SH,,20240311,544514633.0,4.2123,广州越秀金融控股集团有限公司,定增股份
600030.SH,20200313,20240311,265352996.0,1.9999,广州越秀金融控股集团股份有限公司,定增股份
600030.SH,20200313,20240311,544514633.0,4.1038,广州越秀金融控股集团有限公司,定增股份
600030.SH,20200313,20240311,265352996.0,1.7904,广州越秀金融控股集团股份有限公司,定增股份
600030.SH,20200313,20240311,544514633.0,3.6741,广州越秀金融控股集团有限公司,定增股份
600030.SH,20200313,20240311,265352996.0,1.7904,广州越秀金融控股集团股份有限公司,定增股份
600030.SH,20200313,20240311,544514633.0,3.6741,广州越秀金融控股集团有限公司,定增股份
600030.SH,20080809,20080815,987350814.0,14.8911,中国中信集团公司,股权分置限售股份
600030.SH,20070830,20070904,108919.0,0.0033,交通银行-科讯证券投资基金,公开增发一般股份
600030.SH,20070830,20070904,1221851.0,0.0369,太平人寿保险有限公司-万能-个险万能,公开增发一般股份
600030.SH,20070830,20070904,6982.0,0.0002,宁波博洋长盛贸易有限公司,公开增发一般股份
600030.SH,20070830,20070904,628381.0,0.019,中国工商银行-南方避险增值基金,公开增发一般股份
600030.SH,20070830,20070904,140338.0,0.0042,中信信托投资有限责任公司-信70306信托产品,公开增发一般股份
600030.SH,20070830,20070904,140338.0,0.0042,中信信托投资有限责任公司-信70325信托产品,公开增发一般股份
600030.SH,20070830,20070904,23739.0,0.0007,东莞信托有限公司-金益基金投资集合资金信托计划,公开增发一般股份
600030.SH,20070830,20070904,83784.0,0.0025,中国一拖集团财务有限责任公司,公开增发一般股份
600030.SH,20070830,20070904,118694.0,0.0036,国际金融-建行-中金股票策略集合资产管理计划,公开增发一般股份
600030.SH,20070830,20070904,69820.0,0.0021,华宝信托有限责任公司-集合类资金信托2002年第2号,公开增发一般股份
600030.SH,20070830,20070904,34910.0,0.0011,中国对外经济贸易信托投资有限公司-结构化新股投资集合信托4,公开增发一般股份
600030.SH,20070830,20070904,5586.0,0.0002,长江企业发展合作公司,公开增发一般股份
600030.SH,20070830,20070904,139640.0,0.0042,中国农业银行-银河稳健证券投资基金,公开增发一般股份
600030.SH,20070830,20070904,140338.0,0.0042,中信信托投资有限责任公司-信70304信托产品,公开增发一般股份
600030.SH,20070830,20070904,558561.0,0.0168,汉盛证券投资基金,公开增发一般股份
600030.SH,20070830,20070904,53063.0,0.0016,北京国际信托投资有限公司新股09013,公开增发一般股份
600030.SH,20070830,20070904,140338.0,0.0042,中信信托投资有限责任公司-信70331信托产品,公开增发一般股份
600030.SH,20070830,20070904,174550.0,0.0053,全国社保基金一零三组合,公开增发一般股份
600030.SH,20070830,20070904,139640.0,0.0042,泰康人寿保险股份有限公司-投连-五年保证收益-019L-TL001沪,公开增发一般股份
600030.SH,20070830,20070904,76802.0,0.0023,平安人寿-投连-世纪理财价值增长,公开增发一般股份
600030.SH,20070830,20070904,209460.0,0.0063,中国银行-友邦华泰积极成长混合型证券投资基金,公开增发一般股份
600030.SH,20070830,20070904,698201.0,0.0211,中国农业银行-国泰金牛创新成长股票型证券投资基金,公开增发一般股份
600030.SH,20070830,20070904,1221851.0,0.0369,中国太平洋人寿保险股份有限公司-分红-团体分红,公开增发一般股份
600030.SH,20070830,20070904,6982.0,0.0002,渤海财产保险股份有限公司-进取型组合,公开增发一般股份
600030.SH,20070830,20070904,139640.0,0.0042,山西信托投资有限责任公司,公开增发一般股份
600030.SH,20070830,20070904,104730.0,0.0032,浙江省国际信托投资有限责任公司,公开增发一般股份
600030.SH,20070830,20070904,418920.0,0.0126,中国工商银行-南方成份精选股票型证券投资基金,公开增发一般股份
