ts_code,ann_date,end_date,holder_num
600030.SH,20251025,20250930,669445
600030.SH,20250829,20250630,658666
600030.SH,20250430,20250331,741154
600030.SH,20250327,20250228,747272
600030.SH,20250327,20241231,820376
600030.SH,20241030,20240930,585092
600030.SH,20240829,20240630,554612
600030.SH,20240427,20240331,544164
600030.SH,20240327,20240229,518695
600030.SH,20240327,20231231,535516
600030.SH,20231031,20230930,525571
600030.SH,20230830,20230630,574188
600030.SH,20230428,20230331,576296
600030.SH,20230331,20230228,578710
600030.SH,20230331,20221231,569342
600030.SH,20221029,20220930,632252
600030.SH,20220830,20220630,619019
600030.SH,20220429,20220331,628510
600030.SH,20220329,20220228,586229
600030.SH,20220329,20211231,578036
600030.SH,20211029,20210930,657098
600030.SH,20210820,20210630,742647
600030.SH,20210429,20210331,772123
600030.SH,20210319,20210226,678129
600030.SH,20210319,20201231,622988
600030.SH,20201030,20200930,675559
600030.SH,20200825,20200630,585027
600030.SH,20200429,20200331,611471
600030.SH,20200320,20200229,599234
600030.SH,20200320,20200228,599234
600030.SH,20200320,20191231,569604
600030.SH,20191031,20190930,579187
600030.SH,20190823,20190630,607764
600030.SH,20190430,20190331,598818
600030.SH,20190322,20190228,551416
600030.SH,20190322,20181231,553791
600030.SH,20181227,20181224,553777
600030.SH,20181031,20180930,544373
600030.SH,20180824,20180630,561860
600030.SH,20180428,20180331,576298
600030.SH,20180323,20180228,584387
600030.SH,20180323,20171231,511369
600030.SH,20171031,20170930,500513
600030.SH,20170826,20170630,520817
600030.SH,20170429,20170331,560180
600030.SH,20170323,20170228,563612
600030.SH,20170323,20161231,583524
600030.SH,20161029,20160930,560921
600030.SH,20160825,20160630,581526
600030.SH,20160430,20160331,612510
600030.SH,20160324,20160229,624379
600030.SH,20160324,20151231,620925
600030.SH,20151030,20150930,631357
600030.SH,20150825,20150630,698535
600030.SH,20150430,20150331,809582
600030.SH,20150324,20150317,785422
600030.SH,20150324,20141231,603766
600030.SH,20141031,20140930,531902
600030.SH,20140829,20140630,563464
600030.SH,20140430,20140331,594186
600030.SH,20140328,20140321,599579
600030.SH,20140328,20131231,562160
600030.SH,20131031,20130930,581945
600030.SH,20130830,20130630,610105
600030.SH,20130426,20130331,591978
600030.SH,20130328,20130321,580532
600030.SH,20130328,20121231,604238
600030.SH,20121031,20120930,632982
600030.SH,20120831,20120630,640588
600030.SH,20120428,20120331,691730
600030.SH,20120330,20120229,714046
600030.SH,20120330,20111231,745727
600030.SH,20111029,20110930,759151
600030.SH,20110820,20110630,789011
600030.SH,20110430,20110331,823944
600030.SH,20110409,20101231,861685
600030.SH,20101030,20100930,816334
600030.SH,20100828,20100630,789349
600030.SH,20100430,20100331,772534
600030.SH,20100331,20091231,629867
600030.SH,20091031,20090930,719989
600030.SH,20090815,20090630,567622
600030.SH,20090430,20090331,494745
600030.SH,20090430,20081231,614044
600030.SH,20081030,20080930,596204
600030.SH,20080809,20080630,654883
600030.SH,20080428,20080331,463448
600030.SH,20080317,20071231,239911
600030.SH,20071026,20070930,128402
600030.SH,20070815,20070630,122417
600030.SH,20070427,20070331,56996
600030.SH,20070316,20061231,40845
600030.SH,20061031,20060930,49894
600030.SH,20060816,20060630,45735
600030.SH,20060427,20060331,42585
600030.SH,20060329,20051231,65782
600030.SH,20051028,20050930,76388
600030.SH,20050812,20050630,78210
600030.SH,20050429,20050331,68511
600030.SH,20050420,20041231,75013
600030.SH,20041030,20040930,73775
600030.SH,20040826,20040630,71761
600030.SH,20040429,20040331,67389
600030.SH,20040329,20031231,89412
600030.SH,20031029,20030930,86130
600030.SH,20030815,20030630,94166
600030.SH,20030415,20030331,79883
600030.SH,20030415,20021231,266390
