ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share
600030.SH,20240113,中国中信金融控股有限公司,C,IN,150215000.0,1.3215,2884176712.0,20.6208,,2884176712.0
600030.SH,20190315,招商证券资产管理有限公司股票账户,C,DE,83469.0,0.0009,,,,
600030.SH,20190315,招商证券衍生投资部股票账户,C,IN,2010200.0,0.0205,,,,
600030.SH,20190315,招商证券股票投资部股票账户,C,DE,13541527.0,0.138,,,,
600030.SH,20190315,长城证券股份有限公司,C,DE,562100.0,0.0057,,,,
600030.SH,20171228,南京高科股份有限公司,C,DE,13789700.0,0.1405,38178300.0,0.3157,,38178300.0
600030.SH,20161231,柳州两面针股份有限公司,C,DE,11620000.0,0.1184,15118900.0,0.125,17.26,15118900.0
600030.SH,20160305,中国中信有限公司及其关联企业,C,IN,18907000.0,0.1926,,,,
600030.SH,20160301,中国中信有限公司,C,IN,110936871.0,1.1303,1999695746.0,16.536,,1999695746.0
600030.SH,20150117,中国中信有限公司,C,DE,45316737.0,0.4617,2191573883.0,19.9361,,2191573883.0
600030.SH,20150117,中国中信有限公司,C,DE,43488908.0,0.4431,2148084975.0,19.5405,,2148084975.0
600030.SH,20150117,中国中信有限公司,C,DE,208327400.0,2.1226,1939757575.0,17.6454,,1939757575.0
600030.SH,20150117,中国中信有限公司,C,DE,50998700.0,0.5196,1888758875.0,17.1815,,1888758875.0
600030.SH,20150108,南京高科股份有限公司,C,DE,4000000.0,0.0408,54300000.0,0.494,36.4,54300000.0
600030.SH,20150108,南京高科股份有限公司,C,DE,1700000.0,0.0173,58300000.0,0.5303,34.0,58300000.0
600030.SH,20141209,南京高科股份有限公司,C,DE,4563634.0,0.0465,60000000.0,0.5458,,60000000.0
600030.SH,20140101,南京高科股份有限公司,C,DE,6660000.0,0.0679,64563634.0,0.5873,,64563634.0
600030.SH,20121227,南京新港高科技股份有限公司,C,DE,8500000.0,0.0866,64586476.0,0.5875,,64586476.0
600030.SH,20121218,南京新港高科技股份有限公司,C,DE,18737158.0,0.1909,73086476.0,0.6648,,73086476.0
600030.SH,20120118,赵景文,G,IN,41400.0,0.0004,41400.0,0.0004,9.91,41400.0
600030.SH,20110129,雅戈尔集团股份有限公司,C,DE,71740000.0,0.7279,93260000.0,0.9463,,93260000.0
600030.SH,20110129,雅戈尔集团股份有限公司,C,DE,37371044.0,0.5688,110000000.0,1.6742,,110000000.0
600030.SH,20090328,中国人寿保险股份有限公司,C,DE,60000000.0,0.9132,623228987.0,9.4853,,623228987.0
600030.SH,20090328,中国人寿保险股份有限公司,C,DE,112818185.0,1.717,683228987.0,10.3985,,683228987.0
600030.SH,20090328,中国人寿保险股份有限公司,C,DE,5255195.0,0.08,494523792.0,7.5265,,494523792.0
600030.SH,20090328,中国人寿保险股份有限公司,C,DE,40000000.0,0.6088,499778987.0,7.6064,,499778987.0
600030.SH,20090328,中国人寿保险股份有限公司,C,DE,83450000.0,1.2701,539778987.0,8.2152,,539778987.0
