ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600535.SH,20020823,14.95,16.25,14.63,14.67,9.56,5.109999999999999,53.45,257678.58,604760.953
600535.SH,20020826,14.55,14.6,14.19,14.43,14.67,-0.2400000000000002,-1.64,44517.39,98496.011
600535.SH,20020827,14.33,14.61,14.32,14.49,14.43,0.0600000000000005,0.42,16257.41,36263.806
600535.SH,20020828,14.49,14.63,14.38,14.51,14.49,0.019999999999999574,0.14,13441.15,30008.401
600535.SH,20020829,14.45,14.5,14.28,14.29,14.51,-0.22000000000000064,-1.52,13036.16,28785.54
600535.SH,20020830,14.27,14.3,14.08,14.16,14.29,-0.129999999999999,-0.91,13757.29,29989.34
600535.SH,20020902,14.17,14.43,14.14,14.36,14.16,0.1999999999999993,1.41,6756.58,14883.304
600535.SH,20020903,14.3,14.52,14.25,14.45,14.36,0.08999999999999986,0.63,6028.85,13396.177
600535.SH,20020904,14.38,14.39,14.32,14.35,14.45,-0.09999999999999964,-0.69,3647.25,8055.649
600535.SH,20020905,14.24,14.37,14.24,14.32,14.35,-0.02999999999999936,-0.21,6688.31,14695.896
600535.SH,20020906,14.27,14.41,14.23,14.3,14.32,-0.019999999999999574,-0.14,4727.9,10398.824
600535.SH,20020909,14.23,14.37,14.17,14.32,14.3,0.019999999999999574,0.14,5885.18,12929.073
600535.SH,20020910,14.21,14.52,14.16,14.51,14.32,0.1899999999999995,1.33,9088.91,20192.229
600535.SH,20020911,14.47,14.56,14.4,14.55,14.51,0.040000000000000924,0.28,6158.83,13714.652
600535.SH,20020912,14.53,14.73,14.48,14.69,14.55,0.1399999999999988,0.96,9097.14,20497.982
600535.SH,20020913,14.63,14.73,14.6,14.7,14.69,0.009999999999999787,0.07,4401.85,9936.876
600535.SH,20020916,14.69,14.69,14.45,14.49,14.7,-0.20999999999999908,-1.43,3570.94,7973.156
600535.SH,20020917,14.44,14.63,14.44,14.56,14.49,0.07000000000000028,0.48,4210.05,9414.604
600535.SH,20020918,14.55,14.7,14.53,14.57,14.56,0.009999999999999787,0.07,5585.7,12574.493
600535.SH,20020919,14.56,14.71,14.45,14.69,14.57,0.11999999999999922,0.82,4519.75,10131.765
600535.SH,20020920,14.62,14.8,14.56,14.73,14.69,0.040000000000000924,0.27,4651.52,10518.946
600535.SH,20020923,14.73,14.8,14.63,14.77,14.73,0.03999999999999915,0.27,4005.26,9085.84
