trade_date,ts_code,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
20250707,000037.SZ,深南电A,10.56,10.0,28.53,1220505277.0,98752917.18,115438695.46,214191612.64,16685778.28,1.37,17.55,4080193511.4,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250707,000584.SZ,工智退,0.26,4.0,2.73,5207705.0,2091355.75,2142612.0,4233967.75,51256.25,0.98,81.3,197304176.94,退市整理期
20250707,000601.SZ,韶能股份,6.12,10.0719,1.48,404454476.0,43181316.0,78893304.88,122074620.88,35711988.88,8.83,30.18,6612415518.24,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250707,000622.SZ,恒立退,0.15,-6.25,2.45,1590057.0,724147.16,1123288.0,1847435.16,399140.84,25.1,116.19,63783900.0,退市整理期
20250707,001298.SZ,好上好,33.02,-5.1422,39.15,2028421077.0,143055030.23,229073062.89,372128093.12,86018032.66,4.24,18.35,5087881813.04,日换手率达到20%的前5只证券
20250707,002094.SZ,青岛金王,9.25,9.9881,24.58,1532793339.0,89878102.01,285186115.25,375064217.26,195308013.24,12.74,24.47,6386695328.25,日涨幅偏离值达到7%的前5只证券
20250707,002104.SZ,恒宝股份,20.74,4.589,34.46,4186936464.0,441837940.2,490683799.8,932521740.0,48845859.6,1.17,22.27,12437363282.96,日换手率达到20%的前5只证券
20250707,002201.SZ,九鼎新材,8.26,9.9867,3.89,629060936.0,50345088.48,117855992.17,168201080.65,67510903.69,10.73,26.74,4957467653.32,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250707,002366.SZ,融发核电,9.83,9.9553,41.71,4925163231.0,369005190.9,503789308.37,872794499.27,134784117.47,2.74,17.72,12351044953.7,日涨幅偏离值达到7%的前5只证券
20250707,002537.SZ,海联金汇,11.17,10.0493,21.08,2715465338.0,301648992.25,429889578.34,731538570.59,128240586.09,4.72,26.94,13059961151.65,日涨幅偏离值达到7%的前5只证券
20250707,002562.SZ,兄弟科技,5.96,9.9631,26.54,2258814252.0,223190428.4,126918273.88,350108702.28,-96272154.52,-4.26,15.5,4181111546.68,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250707,002579.SZ,中京电子,14.9,-4.0567,37.44,3400761618.0,242743380.49,273757489.81,516500870.3,31014109.32,0.91,15.19,8664747740.6,日换手率达到20%的前5只证券
20250707,002658.SZ,雪迪龙,8.45,-9.9147,29.98,935802834.0,89161120.62,58157804.13,147318924.75,-31003316.49,-3.31,15.74,3030657979.05,日跌幅偏离值达到7%的前5只证券
20250707,002721.SZ,金一文化,4.42,9.9502,10.7,1215658820.0,144795558.0,158709828.67,303505386.67,13914270.67,1.14,24.97,11754453478.3,日涨幅偏离值达到7%的前5只证券
20250707,002908.SZ,德生科技,11.51,6.9703,36.69,1501447114.0,165321896.27,115223717.56,280545613.83,-50098178.71,-3.34,18.69,4141972854.32,日换手率达到20%的前5只证券
20250707,002965.SZ,祥鑫科技,34.15,-8.3221,10.32,702365402.0,152888037.98,86972547.35,239860585.33,-65915490.63,-9.38,34.15,6810247947.35,日跌幅偏离值达到7%的前5只证券
20250707,002977.SZ,天箭科技,36.13,-8.2296,15.17,364967737.0,65334090.2,42797926.04,108132016.24,-22536164.16,-6.17,29.63,2406986742.1,日跌幅偏离值达到7%的前5只证券
20250707,002987.SZ,京北方,25.63,10.0,20.89,4415163622.0,301158127.4,462380097.78,763538225.18,161221970.38,3.65,17.29,21617485738.75,日涨幅偏离值达到7%的前5只证券
20250707,300208.SZ,中程退,0.25,0.0,1.13,1973619.0,906578.0,1096138.25,2002716.25,189560.25,9.6,101.47,171847781.5,退市整理期
20250707,300280.SZ,*ST紫天,6.99,-20.0229,0.3,3360792.0,3346812.0,1272180.0,4618992.0,-2074632.0,-61.73,137.44,1121714441.31,日跌幅达到15%的前5只证券
20250707,300335.SZ,迪森股份,7.09,18.5619,45.33,1128905212.0,91950182.78,78635710.34,170585893.12,-13314472.44,-1.18,15.11,2723702652.76,日换手率达到30%的前5只证券
20250707,300561.SZ,*ST汇科,11.01,-16.4643,18.33,506183041.0,50476381.82,60763525.69,111239907.51,10287143.87,2.03,21.98,2654043889.74,日跌幅达到15%的前5只证券
20250707,300649.SZ,杭州园林,22.3,6.8008,33.7,1640938809.0,163158143.96,202894525.0,366052668.96,39736381.04,2.42,22.31,2366404952.2,连续三个交易日内，涨幅偏离值累计达到30%的证券
20250707,300847.SZ,中船汉光,21.1,20.0228,22.03,1351106858.0,79041425.0,184079266.5,263120691.5,105037841.5,7.77,19.47,6245811000.0,日涨幅达到15%的前5只证券
20250707,300982.SZ,苏文电能,21.59,20.0111,13.79,550096284.0,92860590.8,96279782.4,189140373.2,3419191.6,0.62,34.38,4185947917.14,日涨幅达到15%的前5只证券
20250707,301176.SZ,逸豪新材,31.61,-8.5888,47.51,872202036.0,83626401.0,93135665.28,176762066.28,9509264.28,1.09,20.27,1781399125.16,日换手率达到30%的前5只证券
20250707,301208.SZ,中亦科技,51.22,20.0094,53.38,1306693589.0,179567116.0,217804157.8,397371273.8,38237041.8,2.93,30.41,2567584843.2,日换手率达到30%的前5只证券
20250707,301388.SZ,欣灵电气,31.74,20.0,62.65,488030248.0,25680953.0,89847788.4,115528741.4,64166835.4,13.15,23.67,868298103.12,日涨幅达到15%的前5只证券
20250707,301389.SZ,隆扬电子,32.41,1.5351,55.85,1488007928.0,230959339.76,180817735.0,411777074.76,-50141604.76,-3.37,27.67,2660117093.27,日换手率达到30%的前5只证券
20250707,301501.SZ,恒鑫生活,67.18,20.0071,33.13,726257383.0,45015541.31,120801000.11,165816541.42,75785458.8,10.44,22.83,2355824841.72,日涨幅达到15%的前5只证券
20250707,430090.BJ,同辉信息,11.25,2.7397,31.46,475693600.0,42843855.6,32522874.32,75366729.92,-10320981.28,-2.17,15.84,1522658250.0,当日换手率达到20%的前5只股票
20250707,600190.SH,退市锦港,0.57,9.6154,2.14,21297720.0,3111737.0,3432270.0,6544007.0,320533.0,1.51,30.73,1020544777.26,退市整理的证券
20250707,600190.SH,退市锦港,0.57,9.6154,2.14,33885721.0,3629551.0,3742722.5,7372273.5,113171.5,0.33,21.76,1020544777.26,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250707,600192.SH,长城电工,11.5,10.0478,27.48,1334562993.0,96217931.09,109758065.15,205975996.24,13540134.06,1.01,15.43,5080102000.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
20250707,600462.SH,退市九有,0.18,12.5,7.96,8147364.0,4367721.0,3729800.0,8097521.0,-637921.0,-7.83,99.39,108083700.0,退市整理的证券
20250707,600537.SH,亿晶光电,3.28,-9.8901,24.31,963101857.0,71830495.54,72779342.76,144609838.3,948847.22,0.1,15.02,3882585259.04,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20250707,600571.SH,信雅达,20.39,9.9784,15.68,3426466697.0,296908717.6,359624940.25,656533657.85,62716222.65,1.83,19.16,9333557224.17,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250707,600698.SH,湖南天雁,11.01,9.99,23.95,2020186905.0,199085340.0,250169007.05,449254347.05,51083667.05,2.53,22.24,9193391433.71,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
20250707,600735.SH,新华锦,7.32,-9.9631,9.54,302985458.0,71659226.0,36172365.0,107831591.0,-35486861.0,-11.71,35.59,3114307373.64,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20250707,600744.SH,华银电力,6.7,10.0164,11.74,2844572643.0,329799836.0,256537423.47,586337259.47,-73262412.53,-2.58,20.61,13608532635.8,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250707,600807.SH,济高发展,3.36,10.1639,5.09,131550560.0,16189737.0,49982355.0,66172092.0,33792618.0,25.69,50.3,2644382039.04,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
20250707,601003.SH,柳钢股份,4.75,-7.9457,9.2,1158891798.0,155111026.56,79952770.75,235063797.31,-75158255.81,-6.49,20.28,12173267700.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
20250707,601218.SH,吉鑫科技,4.49,-8.7398,23.94,1061384614.0,89973787.44,70932502.39,160906289.83,-19041285.05,-1.79,15.16,4350960468.88,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20250707,603124.SH,江南新材,56.81,4.507,29.33,463110990.0,34351855.0,49191449.2,83543304.2,14839594.2,3.2,18.04,1626896715.86,有价格涨跌幅限制的日换手率达到20%的前五只证券
20250707,603171.SH,税友股份,38.86,-9.0781,1.72,271777994.0,94335999.89,65132606.0,159468605.89,-29203393.89,-10.75,58.68,15772885400.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20250707,603256.SH,宏和科技,20.25,9.9946,5.82,2482057428.0,318945632.36,348447403.68,667393036.04,29501771.32,1.19,26.89,17814481875.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250707,603316.SH,诚邦股份,10.46,-9.9828,32.69,943035708.0,75264849.9,77634922.77,152899772.67,2370072.87,0.25,16.21,2764201440.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
20250707,603488.SH,展鹏科技,8.75,10.0629,2.96,74058267.0,12588307.0,33691499.0,46279806.0,21103192.0,28.5,62.49,2554916350.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
20250707,603601.SH,再升科技,5.21,2.9644,26.78,1440985428.0,108534530.86,82568818.54,191103349.4,-25965712.32,-1.8,13.26,5322810905.65,有价格涨跌幅限制的日换手率达到20%的前五只证券
20250707,603716.SH,塞力医疗,22.53,6.8786,45.81,1976578678.0,184014135.74,275543448.11,459557583.85,91529312.37,4.63,23.25,4303637229.75,有价格涨跌幅限制的日换手率达到20%的前五只证券
20250707,603928.SH,兴业股份,16.81,-5.2424,12.63,2419512395.0,137269895.3,160691466.7,297961362.0,23421571.4,0.97,12.31,4405564800.0,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
20250707,605151.SH,西上海,18.55,-2.0591,5.48,706571086.0,60815917.73,45527335.0,106343252.73,-15288582.73,-2.16,15.05,2495980818.1,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
20250707,605162.SH,新中港,9.39,9.9532,4.23,231983086.0,31945781.68,44729021.0,76674802.68,12783239.32,5.51,33.05,3761003433.33,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250707,605277.SH,新亚电子,20.45,10.0054,15.76,2815884505.0,225130414.39,359562512.14,584692926.53,134432097.75,4.77,20.76,6420939446.05,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
20250707,605500.SH,森林包装,9.97,10.0442,11.7,465188409.0,82445257.78,53260580.19,135705837.97,-29184677.59,-6.27,29.17,4131568000.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
20250707,688291.SH,金橙子,37.53,15.3704,32.88,397321700.0,57693255.85,69373407.8,127066663.65,11680151.95,2.94,31.98,1263511251.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券
20250707,835892.BJ,中科美菱,21.91,6.618,33.72,209852700.0,32335539.62,18140978.69,50476518.31,-14194560.93,-6.76,24.05,611249058.07,当日换手率达到20%的前5只股票
20250707,837046.BJ,亿能电力,17.58,3.169,23.17,212045400.0,25644352.35,19631782.17,45276134.52,-6012570.18,-2.84,21.35,904292996.46,当日换手率达到20%的前5只股票
20250707,870299.BJ,灿能电力,24.86,8.7014,33.99,386545200.0,51413318.33,31762058.39,83175376.72,-19651259.94,-5.08,21.52,1120700832.24,当日换手率达到20%的前5只股票
20250707,900952.SH,退市锦B,0.028,0.0,1.29,83294.0,40363.32,58727.16,99090.48,18363.84,22.05,118.96,1020544777.26,退市整理的证券
20250707,920108.BJ,宏海科技,18.88,5.8296,26.03,159067200.0,22582544.58,27587886.36,50170430.94,5005341.78,3.15,31.54,615541808.0,当日换手率达到20%的前5只股票
