ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002938.SZ,20180921,18.9,29.41,18.9,25.66,,,,941100.8600000001,2554551.0829999996
002938.SZ,20180928,24.51,24.51,20.7,20.84,25.66,-4.82,-18.784099766173032,1872755.31,4315780.211
002938.SZ,20181012,20.29,20.75,16.55,17.63,20.84,-3.210000000000001,-15.403071017274476,1165450.1300000001,2294914.695
002938.SZ,20181019,17.66,19.69,16.86,19.01,17.63,1.3800000000000026,7.827566647759515,1203260.09,2206272.8279999997
002938.SZ,20181026,19.18,20.44,18.19,19.28,19.01,0.2699999999999996,1.4203051025775884,1336012.1099999999,2654253.994
002938.SZ,20181102,19.2,20.54,18.71,20.37,19.28,1.0899999999999999,5.653526970954355,1116111.38,2272248.903
002938.SZ,20181109,20.68,20.87,18.22,18.45,20.37,-1.9200000000000017,-9.425625920471289,1043016.3,2046026.495
002938.SZ,20181116,18.56,19.55,18.36,19.29,18.45,0.8399999999999999,4.5528455284552845,924440.79,1793750.6039999998
002938.SZ,20181123,19.28,19.46,17.58,17.62,19.29,-1.6699999999999982,-8.657335406946595,648706.27,1234723.67
002938.SZ,20181130,17.62,18.19,16.86,17.25,17.62,-0.370000000000001,-2.099886492622026,396014.39,712027.569
002938.SZ,20181207,17.77,18.28,17.57,17.58,17.25,0.3299999999999983,1.9130434782608599,512930.15,937948.289
002938.SZ,20181214,17.43,17.62,16.95,17.0,17.58,-0.5799999999999983,-3.2992036405005596,352618.69,621650.194
002938.SZ,20181221,16.85,17.39,16.85,17.35,17.0,0.3500000000000014,2.058823529411773,283417.83999999997,494598.575
002938.SZ,20181228,17.35,18.22,17.16,17.18,17.35,-0.1700000000000017,-0.9798270893371855,700796.8,1269216.607
002938.SZ,20190104,17.27,17.58,15.89,16.6,17.18,-0.5799999999999983,-3.3760186263096528,380533.73,647845.2749999999
002938.SZ,20190111,16.67,17.99,16.48,17.68,16.6,1.0799999999999983,6.5060240963855325,725545.26,1256940.2489999998
002938.SZ,20190118,17.75,17.81,16.77,17.01,17.68,-0.6699999999999982,-3.7895927601809847,627675.08,1103775.57
002938.SZ,20190125,17.07,17.65,16.87,16.9,17.01,-0.11000000000000298,-0.6466784244562197,590840.9500000001,1043456.119
002938.SZ,20190201,16.98,17.22,16.19,16.77,16.9,-0.129999999999999,-0.7692307692307634,400411.84,681035.835
002938.SZ,20190215,16.84,21.6,16.84,21.6,16.77,4.830000000000002,28.801431127012535,1990794.3199999998,3937656.757
002938.SZ,20190222,22.46,23.95,21.16,23.6,21.6,2.0,9.25925925925926,2155949.1,4868779.015000001
002938.SZ,20190301,24.3,25.96,22.55,24.21,23.6,0.6099999999999994,2.584745762711862,1430285.11,3537205.966
002938.SZ,20190308,24.31,26.09,23.63,23.94,24.21,-0.2699999999999996,-1.1152416356877306,1109317.89,2782835.144
002938.SZ,20190315,23.85,27.81,23.53,26.53,23.94,2.59,10.818713450292398,1018858.53,2719306.958
002938.SZ,20190322,26.13,27.91,25.88,27.7,26.53,1.1699999999999982,4.4101017715793365,563578.62,1545435.824
002938.SZ,20190329,27.05,27.38,24.38,26.22,27.7,-1.4800000000000004,-5.342960288808666,513290.19999999995,1350278.62
002938.SZ,20190404,26.69,29.12,26.52,27.47,26.22,1.25,4.767353165522501,471201.14,1334563.526
002938.SZ,20190412,27.5,28.59,26.6,27.38,27.47,-0.08999999999999986,-0.327630141973061,393946.66,1110792.528
002938.SZ,20190419,27.75,34.25,26.53,30.06,27.38,2.6799999999999997,9.7881665449233,813672.8,2538829.002
002938.SZ,20190426,29.9,31.32,28.73,28.76,30.06,-1.2999999999999972,-4.324683965402519,422655.6,1301645.934
002938.SZ,20190430,28.89,29.99,28.14,28.78,28.76,0.019999999999999574,0.06954102920723078,120841.97,358690.154
002938.SZ,20190510,26.96,27.75,23.53,26.13,28.78,-2.650000000000002,-9.207783182765816,311953.20999999996,834667.039
002938.SZ,20190517,25.74,26.33,22.43,22.49,26.13,-3.6400000000000006,-13.93034825870647,409609.41,1006080.25
002938.SZ,20190524,22.5,23.8,20.59,22.19,22.49,-0.29999999999999716,-1.3339261894175063,317913.83999999997,727926.951
002938.SZ,20190531,22.21,25.69,21.91,24.7,22.19,2.509999999999998,11.311401532221712,277346.9,674922.013
