ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603799.SH,20150130,2.23,2.95,2.23,2.95,,,,945.0,667.109
603799.SH,20150206,3.25,4.76,3.25,4.76,2.95,1.8099999999999996,61.35593220338982,8551.0,10064.139
603799.SH,20150213,5.24,7.67,5.24,7.67,4.76,2.91,61.13445378151261,79418.54000000001,123689.30900000001
603799.SH,20150217,8.44,9.28,8.44,9.28,7.67,1.6099999999999994,20.990873533246408,324512.3,766173.12
603799.SH,20150227,9.39,9.57,7.77,8.93,9.28,-0.34999999999999964,-3.7715517241379275,1097970.78,2367495.1040000003
603799.SH,20150306,8.98,8.98,7.81,7.82,8.93,-1.1099999999999994,-12.43001119820828,1263949.48,2675965.602
603799.SH,20150313,7.54,7.64,7.11,7.38,7.82,-0.4400000000000004,-5.62659846547315,522774.8,991558.354
603799.SH,20150320,7.42,8.26,7.36,7.98,7.38,0.6000000000000005,8.130081300813014,723859.42,1448516.841
603799.SH,20150327,8.04,8.39,7.73,8.02,7.98,0.03999999999999915,0.5012531328320695,635053.28,1306221.125
603799.SH,20150403,7.94,8.32,7.83,8.31,8.02,0.2900000000000009,3.6159600997506347,498702.04,1024347.628
603799.SH,20150410,8.33,8.74,7.89,8.31,8.31,0.0,0.0,618423.08,1321835.804
603799.SH,20150417,8.34,9.61,8.13,9.34,8.31,1.0299999999999994,12.39470517448856,940541.96,2108408.8880000003
603799.SH,20150424,9.33,10.23,9.18,9.39,9.34,0.05000000000000071,0.5353319057815922,994889.0599999999,2476660.319
603799.SH,20150430,9.37,9.58,8.91,9.01,9.39,-0.3800000000000008,-4.046858359957409,377975.64,893242.7139999999
603799.SH,20150508,8.93,9.47,8.09,8.4,9.01,-0.6099999999999994,-6.770255271920083,372166.94,847466.178
603799.SH,20150515,8.54,11.09,8.44,10.29,8.4,1.8899999999999988,22.499999999999982,856568.42,2202230.204
603799.SH,20150522,10.1,11.52,10.0,11.4,10.29,1.1100000000000012,10.78717201166182,930084.5900000001,2585928.662
603799.SH,20150528,11.13,15.22,11.05,14.25,11.4,2.8499999999999996,24.999999999999996,844261.89,2857052.742
603799.SH,20150626,12.82,12.82,12.82,12.82,14.25,-1.4299999999999997,-10.035087719298245,14093.0,46267.319
603799.SH,20150703,11.54,11.54,7.58,7.58,12.82,-5.24,-40.87363494539782,581801.88,1433037.3860000002
603799.SH,20150707,8.16,8.16,6.14,6.14,7.58,-1.4400000000000004,-18.997361477572564,125744.23,232619.33
603799.SH,20150717,6.75,7.47,6.01,7.05,6.14,0.9100000000000001,14.820846905537463,417533.59,719347.824
603799.SH,20150724,7.12,8.43,6.68,7.98,7.05,0.9300000000000006,13.191489361702136,796802.46,1571393.762
603799.SH,20150731,7.7,8.05,6.28,6.68,7.98,-1.3000000000000007,-16.290726817042614,542025.11,971230.232
603799.SH,20150807,6.59,7.98,6.05,7.83,6.68,1.1500000000000004,17.215568862275454,702324.18,1290011.866
603799.SH,20150814,7.86,9.82,7.71,9.01,7.83,1.1799999999999997,15.070242656449548,860657.4,1955375.9440000001
603799.SH,20150821,8.84,9.32,7.05,7.09,9.01,-1.92,-21.309655937846834,625159.09,1293073.1600000001
603799.SH,20150828,6.6,6.88,5.57,6.55,7.09,-0.54,-7.6163610719323,491289.12,762778.3300000001
603799.SH,20150902,6.32,6.4,4.78,4.79,6.55,-1.7599999999999998,-26.870229007633583,267629.27,374994.962
603799.SH,20150911,4.91,5.93,4.76,5.64,4.79,0.8499999999999996,17.745302713987464,464337.09,640767.752
603799.SH,20150918,5.68,5.77,4.57,5.59,5.64,-0.04999999999999982,-0.8865248226950324,409044.41000000003,548397.673
603799.SH,20150925,5.38,6.09,5.27,5.32,5.59,-0.2699999999999996,-4.830053667262963,324521.33,474561.956
603799.SH,20150930,5.37,5.45,5.2,5.38,5.32,0.05999999999999961,1.1278195488721732,104383.04000000001,141373.4
603799.SH,20151009,5.69,6.27,5.55,6.27,5.38,0.8899999999999997,16.542750929368026,217889.55,332912.307
603799.SH,20151016,6.45,7.54,6.41,7.12,6.27,0.8500000000000005,13.556618819776725,776901.42,1374094.012
