updateDate,code,code_name,query_date,ts_code,name,industry,area,market,is_financial_excluded,pct_chg,vol,amount,turnover_rate,turnover_rate_f,pe_ttm,pb,total_mv,in_stock_pool
2026-02-23,sz.002156,通富微电,2026-02-28,002156.SZ,通富微电,半导体,江苏,主板,False,-0.4974,1176187.5,6005337.369,7.7511,10.401,80.0863,5.1995,7893021.5393,False
2026-02-23,sz.002008,大族激光,2026-02-28,002008.SZ,大族激光,专用机械,深圳,主板,False,3.7005,833466.17,5930940.766,8.7117,10.812,65.8073,4.3866,7444032.6398,False
2026-02-23,sh.600879,航天电子,2026-02-28,600879.SH,航天电子,航空,湖北,主板,False,-0.5397,2110022.39,5481685.042,6.3954,8.5898,435.7115,4.1014,8512192.2817,False
2026-02-23,sh.600118,中国卫星,2026-02-28,600118.SH,中国卫星,航空,北京,主板,False,1.844,551158.71,5043794.494,4.661,9.6029,1886.5176,17.07,10841060.3897,False
2026-02-23,sh.600096,云天化,2026-02-28,600096.SH,云天化,农药化肥,云南,主板,False,-0.404,928832.92,4124628.427,5.0951,8.2656,14.3471,3.3398,8088609.8734,False
2026-02-23,sh.601179,中国西电,2026-02-28,601179.SH,中国西电,电气设备,陕西,主板,False,0.0622,2462755.09,3927888.543,4.8045,9.9829,68.35,3.643,8242418.822,False
2026-02-23,sz.002281,光迅科技,2026-02-28,002281.SZ,光迅科技,通信设备,湖北,主板,False,0.7832,515527.19,3849787.526,6.6138,10.9445,66.8383,6.2657,6124282.3092,False
2026-02-23,sz.002851,麦格米特,2026-02-28,002851.SZ,麦格米特,电气设备,深圳,主板,False,-0.7327,290171.42,3682369.754,6.3362,7.3027,305.0462,8.1078,7247758.8152,False
2026-02-23,sz.000021,深科技,2026-02-28,000021.SZ,深科技,元器件,深圳,主板,False,-0.836,1063224.5,3621583.658,6.766,10.2939,52.7627,4.2455,5406580.9819,False
2026-02-23,sz.300604,长川科技,2026-02-28,300604.SZ,长川科技,半导体,浙江,创业板,False,-2.4966,249330.34,3570892.859,5.094,5.6705,94.8549,21.0178,9167117.7723,False
2026-02-23,sz.002340,格林美,2026-02-28,002340.SZ,格林美,小金属,深圳,主板,False,3.3299,3524031.09,3461195.614,6.943,7.5903,41.3593,2.4651,5067610.1725,False
2026-02-23,sh.688525,佰维存储,2026-02-28,688525.SH,佰维存储,半导体,深圳,科创板,False,-0.7305,184392.24,3035014.888,3.9473,5.6159,,16.9224,7745043.7518,False
2026-02-23,sz.002185,华天科技,2026-02-28,002185.SZ,华天科技,半导体,甘肃,主板,False,0.3968,1985764.5,2974999.37,6.0809,7.825,61.8356,2.8215,4958270.4933,False
2026-02-23,sh.600988,赤峰黄金,2026-02-28,600988.SH,赤峰黄金,黄金,内蒙,主板,False,2.9662,728830.48,2871754.502,4.3802,5.1254,27.9205,6.0591,7586441.4226,False
2026-02-23,sz.000559,万向钱潮,2026-02-28,000559.SZ,万向钱潮,汽车配件,浙江,主板,False,3.2407,1417097.58,2793465.15,4.2754,11.7982,66.0279,7.0788,6653924.3971,False
2026-02-23,sh.601212,白银有色,2026-02-28,601212.SH,白银有色,铜,甘肃,主板,False,2.1968,2630405.32,2784652.665,3.5523,9.7772,447.9379,5.1355,7923108.7268,False
2026-02-23,sh.603920,世运电路,2026-02-28,603920.SH,世运电路,元器件,广东,主板,False,2.0242,418974.66,2783039.056,5.8143,11.3299,59.5706,7.5346,4866880.509,False
2026-02-23,sh.601615,明阳智能,2026-02-28,601615.SH,明阳智能,电气设备,广东,主板,False,-0.1307,1028769.33,2405094.855,4.5491,6.0389,170.8643,1.9642,5183350.4502,False
2026-02-23,sz.301308,江波龙,2026-02-28,301308.SZ,江波龙,半导体,深圳,创业板,False,-2.705,79978.92,2327686.19,2.9147,5.1481,186.8423,16.2428,12226467.4384,False
2026-02-23,sz.300724,捷佳伟创,2026-02-28,300724.SZ,捷佳伟创,专用机械,深圳,创业板,False,1.8104,187783.66,2316632.587,6.5267,7.1546,12.5663,3.2159,4309068.6982,False
2026-02-23,sz.002738,中矿资源,2026-02-28,002738.SZ,中矿资源,小金属,北京,主板,False,3.8931,258045.69,2285571.143,3.6291,4.252,158.0381,5.4652,6565576.0807,False
2026-02-23,sz.002624,完美世界,2026-02-28,002624.SZ,完美世界,互联网,浙江,主板,False,1.1715,1019176.29,2233606.465,5.5762,7.5774,,5.9134,4188391.7842,False
2026-02-23,sh.601168,西部矿业,2026-02-28,601168.SH,西部矿业,铜,青海,主板,False,2.6667,637930.28,2209749.735,2.677,3.8759,26.2576,4.6945,8257095.0,False
2026-02-23,sh.688122,西部超导,2026-02-28,688122.SH,西部超导,小金属,陕西,科创板,False,3.8904,246142.52,2193334.231,3.7888,5.6421,69.2486,8.4796,5863871.7499,False
2026-02-23,sz.300207,欣旺达,2026-02-28,300207.SZ,欣旺达,电气设备,深圳,创业板,False,2.9528,820058.04,2133150.663,4.7849,6.2546,29.0778,1.9447,4831114.2963,False
2026-02-23,sz.300115,长盈精密,2026-02-28,300115.SZ,长盈精密,元器件,深圳,创业板,False,-2.5441,536507.43,2074706.611,3.954,5.8784,81.5968,6.3556,5265267.7406,False
2026-02-23,sh.688027,国盾量子,2026-02-28,688027.SH,国盾量子,通信设备,安徽,科创板,False,2.0006,30464.76,2051155.336,3.7904,4.9719,,21.7072,6975107.3388,False
2026-02-23,sz.002465,海格通信,2026-02-28,002465.SZ,海格通信,通信设备,广东,主板,False,0.6842,1074530.57,1892447.317,4.3365,5.9446,,3.643,4382918.7522,False
2026-02-23,sh.600884,杉杉股份,2026-02-28,600884.SH,杉杉股份,电气设备,浙江,主板,False,0.6,1225665.48,1835883.181,6.679,7.2825,,1.5472,3394364.0103,False
2026-02-23,sz.002335,科华数据,2026-02-28,002335.SZ,科华数据,电气设备,福建,主板,False,1.7045,292439.01,1813262.415,6.4319,8.5372,76.5892,5.1066,3229068.9669,False
2026-02-23,sz.300346,南大光电,2026-02-28,300346.SZ,南大光电,半导体,江苏,创业板,False,-0.3676,319784.19,1803475.77,4.8707,5.5926,128.4765,11.4296,3933373.935,False
2026-02-23,sz.300450,先导智能,2026-02-28,300450.SZ,先导智能,专用机械,江苏,创业板,False,-0.5084,329675.32,1802702.274,2.1141,3.111,106.1703,5.3946,9172541.4583,False
2026-02-23,sz.001389,广合科技,2026-02-28,001389.SZ,广合科技,元器件,广东,主板,False,1.7592,143654.25,1697668.903,9.5036,9.5036,56.172,13.9962,5097182.125,False
2026-02-23,sh.688347,华虹公司,2026-02-28,688347.SH,华虹公司,半导体,上海,科创板,False,-1.5148,130829.5,1654990.208,3.2086,3.8131,4085.8902,4.9501,22029700.9429,False
2026-02-23,sz.002312,川发龙蟒,2026-02-28,002312.SZ,川发龙蟒,化工原料,四川,主板,False,0.4405,1207194.7,1647785.701,6.4082,11.6211,47.3956,2.6859,2582386.2458,False
2026-02-23,sh.688777,中控技术,2026-02-28,688777.SH,中控技术,专用机械,浙江,科创板,False,1.3522,203120.59,1624151.904,2.5803,3.3358,140.9775,6.3373,6345340.0065,False
2026-02-23,sz.002558,巨人网络,2026-02-28,002558.SZ,巨人网络,互联网,重庆,主板,False,-1.1721,421162.96,1564096.101,2.1768,3.5845,40.5322,4.7314,7177924.7668,False
2026-02-23,sz.002130,沃尔核材,2026-02-28,002130.SZ,沃尔核材,电气设备,深圳,主板,False,-0.6961,544968.45,1544788.522,4.7616,5.504,39.3759,4.6435,3993878.6438,False
2026-02-23,sz.002273,水晶光电,2026-02-28,002273.SZ,水晶光电,元器件,浙江,主板,False,2.4337,551275.41,1533376.317,4.0469,4.4513,34.0527,4.0913,3921582.8632,False
2026-02-23,sh.688568,中科星图,2026-02-28,688568.SH,中科星图,软件服务,北京,科创板,False,0.6535,214893.07,1453417.377,2.6593,6.1972,155.363,14.1624,5476350.7866,False
2026-02-23,sz.002429,兆驰股份,2026-02-28,002429.SZ,兆驰股份,家用电器,深圳,主板,False,1.616,1367310.57,1445964.83,3.0221,6.5621,39.3402,2.9497,4839299.5089,False
2026-02-23,sh.600352,浙江龙盛,2026-02-28,600352.SH,浙江龙盛,染料涂料,浙江,主板,False,-0.1219,865893.29,1425611.897,2.6616,3.5517,25.7103,1.5614,5332210.9185,False
2026-02-23,sz.000738,航发控制,2026-02-28,000738.SZ,航发控制,航空,江苏,主板,False,-2.7574,501738.38,1405616.365,3.815,7.6131,70.1502,2.9236,3664102.6268,False
2026-02-23,sz.000039,中集集团,2026-02-28,000039.SZ,中集集团,运输设备,深圳,主板,False,-0.1479,1052803.74,1403733.555,4.5746,5.9266,26.8637,1.4981,7279902.5198,False
2026-02-23,sh.600141,兴发集团,2026-02-28,600141.SH,兴发集团,农药化肥,湖北,主板,False,0.5131,319670.37,1373606.762,2.8623,4.4558,29.9824,2.1749,4813513.5648,False
2026-02-23,sz.002517,恺英网络,2026-02-28,002517.SZ,恺英网络,互联网,福建,主板,False,0.7552,607775.26,1372782.818,3.2173,3.5825,25.0814,4.7433,4845453.2547,False
2026-02-23,sz.301536,星宸科技,2026-02-28,301536.SZ,星宸科技,半导体,福建,创业板,False,0.3957,163917.84,1353206.759,8.7566,9.3804,134.6659,11.3019,3531021.6375,False
2026-02-23,sh.603596,伯特利,2026-02-28,603596.SH,伯特利,汽车配件,安徽,主板,False,3.1402,241302.85,1337449.944,3.9785,6.3786,25.3097,4.5742,3346734.3582,False
2026-02-23,sh.688017,绿的谐波,2026-02-28,688017.SH,绿的谐波,机械基件,江苏,科创板,False,-1.966,57213.52,1335099.684,3.1208,4.7713,341.0311,12.0441,4260042.1146,False
2026-02-23,sh.600580,卧龙电驱,2026-02-28,600580.SH,卧龙电驱,电气设备,浙江,主板,False,0.2905,292319.6,1305393.438,1.8767,3.0743,72.039,6.5494,7010783.3894,False
