updateDate,code,code_name,query_date,ts_code,name,industry,area,market,is_financial_excluded,pct_chg,vol,amount,turnover_rate,turnover_rate_f,pe_ttm,pb,total_mv,in_stock_pool
2026-02-23,sz.300017,网宿科技,2026-02-28,300017.SZ,网宿科技,软件服务,上海,创业板,False,2.2785,6172138.17,12829285.886,26.7639,30.391,57.662,4.9001,4968088.5495,False
2026-02-23,sz.002131,利欧股份,2026-02-28,002131.SZ,利欧股份,互联网,浙江,主板,False,3.1049,10883689.56,10433742.69,18.6055,19.5595,133.3158,4.9388,6521222.891,False
2026-02-23,sh.600487,亨通光电,2026-02-28,600487.SH,亨通光电,通信设备,江苏,主板,False,7.1509,1873294.51,8447789.591,7.6612,10.6672,41.4052,3.807,11716989.6208,False
2026-02-23,sz.300395,菲利华,2026-02-28,300395.SZ,菲利华,玻璃,湖北,创业板,False,3.3072,627626.84,8112504.187,12.2672,15.3929,169.7363,15.4153,7015099.3837,False
2026-02-23,sz.300058,蓝色光标,2026-02-28,300058.SZ,蓝色光标,广告包装,北京,创业板,False,2.9494,4209343.35,7712267.781,12.0957,12.0957,,8.372,6641909.27,False
2026-02-23,sh.600498,烽火通信,2026-02-28,600498.SH,烽火通信,通信设备,湖北,主板,False,10.0085,1571004.56,7671116.288,12.3543,20.2052,85.1874,4.2127,7001353.3697,False
2026-02-23,sz.002202,金风科技,2026-02-28,002202.SZ,金风科技,电气设备,新疆,主板,False,0.2467,2618152.93,7448061.534,7.7824,14.7758,45.2997,3.1294,12016678.7007,False
2026-02-23,sz.300136,信维通信,2026-02-28,300136.SZ,信维通信,元器件,深圳,创业板,False,1.7537,953849.91,7332168.193,11.5679,12.2691,120.5261,9.6509,7410608.1984,False
2026-02-23,sz.002195,岩山科技,2026-02-28,002195.SZ,岩山科技,软件服务,上海,主板,False,1.5596,6401635.6,7010466.305,11.4289,12.6832,363.5363,6.2877,6277304.0485,False
2026-02-23,sh.600157,永泰能源,2026-02-28,600157.SH,永泰能源,火力发电,山西,主板,False,7.0175,35488846.71,6459783.38,16.266,19.9482,135.5709,0.8483,3992650.8385,False
2026-02-23,sz.000657,中钨高新,2026-02-28,000657.SZ,中钨高新,小金属,海南,主板,False,10.0,954065.58,6175451.95,6.5665,10.6684,95.5529,15.2838,15088918.3368,False
2026-02-23,sz.002156,通富微电,2026-02-28,002156.SZ,通富微电,半导体,江苏,主板,False,-0.4974,1176187.5,6005337.369,7.7511,10.401,80.0863,5.1995,7893021.5393,False
2026-02-23,sh.600549,厦门钨业,2026-02-28,600549.SH,厦门钨业,小金属,福建,主板,False,10.0047,871158.83,5978602.923,5.6062,8.9032,48.1909,6.4757,11136914.5694,False
2026-02-23,sz.002008,大族激光,2026-02-28,002008.SZ,大族激光,专用机械,深圳,主板,False,3.7005,833466.17,5930940.766,8.7117,10.812,65.8073,4.3866,7444032.6398,False
2026-02-23,sz.002155,湖南黄金,2026-02-28,002155.SZ,湖南黄金,黄金,湖南,主板,False,10.0088,1569451.25,5672997.26,10.0444,15.468,48.7473,7.7199,5891195.4613,False
2026-02-23,sh.600879,航天电子,2026-02-28,600879.SH,航天电子,航空,湖北,主板,False,-0.5397,2110022.39,5481685.042,6.3954,8.5898,435.7115,4.1014,8512192.2817,False
2026-02-23,sh.600118,中国卫星,2026-02-28,600118.SH,中国卫星,航空,北京,主板,False,1.844,551158.71,5043794.494,4.661,9.6029,1886.5176,17.07,10841060.3897,False
2026-02-23,sz.000426,兴业银锡,2026-02-28,000426.SZ,兴业银锡,铅锌,内蒙,主板,False,5.8496,929886.69,5009632.043,5.2382,7.2086,61.4753,10.7003,9799733.6435,False
2026-02-23,sz.002837,英维克,2026-02-28,002837.SZ,英维克,专用机械,深圳,主板,False,-4.5734,455662.9,4939489.941,5.3595,7.8498,212.3466,31.9814,10595631.157,False
2026-02-23,sz.000831,中国稀土,2026-02-28,000831.SZ,中国稀土,小金属,江西,主板,False,7.7076,769467.27,4855437.16,7.2508,11.7016,636.8825,14.266,6895812.8039,False
2026-02-23,sh.600392,盛和资源,2026-02-28,600392.SH,盛和资源,小金属,四川,主板,False,6.7409,1459417.6,4802045.158,8.3261,11.2881,65.2407,4.4515,5884238.7955,False
2026-02-23,sh.688629,华丰科技,2026-02-28,688629.SH,华丰科技,元器件,四川,科创板,False,1.9027,342947.44,4422812.945,18.8658,18.8658,232.3293,35.045,5900708.2368,False
2026-02-23,sz.300757,罗博特科,2026-02-28,300757.SZ,罗博特科,专用机械,江苏,创业板,False,4.1141,109871.38,4250561.827,7.293,10.9149,,41.5712,6922214.9843,False
2026-02-23,sz.002080,中材科技,2026-02-28,002080.SZ,中材科技,玻璃,江苏,主板,False,-4.2549,826590.63,4133986.849,4.9257,12.388,48.1846,4.3313,8496339.7058,False
