signal_date,picks,wins,avg_ret_pct,avg_hold_days,win_rate
20250219,2,1,-0.7157,3.0,0.5
20250220,1,1,3.4674,2.0,1.0
20250221,1,1,30.0546,3.0,1.0
20250225,2,1,-0.07145000000000001,2.0,0.5
20250307,3,3,4.521166666666667,2.3333333333333335,1.0
20250311,1,0,-3.0,2.0,0.0
20250319,1,0,-3.0,2.0,0.0
20250611,1,1,0.3448,2.0,1.0
20250625,5,1,-0.96478,2.4,0.2
20250627,2,0,-1.0696,2.5,0.0
20250702,1,1,0.3968,2.0,1.0
20250708,3,1,-0.8544999999999999,2.3333333333333335,0.3333333333333333
20250709,1,0,0.0,2.0,0.0
20250710,1,1,2.0896,2.0,1.0
20250715,2,2,1.7051999999999998,2.5,1.0
20250716,2,2,4.13955,2.5,1.0
20250717,1,1,2.6646,3.0,1.0
20250721,2,2,0.1993,2.0,1.0
20250722,1,0,-3.0,2.0,0.0
20250723,2,1,6.7037,3.0,0.5
20250724,1,0,-3.0,3.0,0.0
20250725,1,1,0.7032,2.0,1.0
20250729,4,2,0.122925,2.25,0.5
20250804,4,3,2.106,3.0,0.75
20250805,1,1,0.8394,2.0,1.0
20250806,1,1,10.9632,3.0,1.0
20250807,1,1,19.2841,3.0,1.0
20250808,2,2,11.3642,3.0,1.0
20250811,3,1,1.6134666666666666,2.6666666666666665,0.3333333333333333
20250812,4,1,-0.7342749999999999,2.5,0.25
20250815,4,0,-1.218375,2.0,0.0
20250818,3,3,1.4724000000000002,2.6666666666666665,1.0
20250819,1,1,2.7239,2.0,1.0
20250820,1,1,2.4096,3.0,1.0
20250821,1,1,0.0518,3.0,1.0
20250822,1,1,2.6967,2.0,1.0
20250826,1,0,-3.0,2.0,0.0
20251105,9,4,2.6410555555555555,2.3333333333333335,0.4444444444444444
20251107,2,1,1.0118,3.0,0.5
20251110,2,0,-1.7169,2.0,0.0
20251111,2,1,-0.6454,2.5,0.5
20251117,1,0,-3.0,2.0,0.0
20260105,1,1,0.297,2.0,1.0
20260106,3,1,-0.7410666666666667,2.0,0.3333333333333333
20260107,1,1,0.2002,2.0,1.0
20260108,1,0,-1.371,3.0,0.0
20260112,2,0,-3.0,2.0,0.0
20260113,1,1,8.1502,2.0,1.0
20260114,1,1,2.6605,2.0,1.0
20260116,1,1,5.4522,3.0,1.0
20260122,2,1,0.71065,2.0,0.5
20260123,2,0,-3.0,1.5,0.0
20260128,1,0,-2.2663,3.0,0.0
20260225,2,2,1.1546,2.0,1.0
