signal_date,entry_date,exit_date,ts_code,name,industry,rank,score,entry_price,exit_price,return_pct,hold_days,exit_reason,win
20250219,20250220,20250224,300360.SZ,炬华科技,电器仪表,2,55.651703350524485,18.48,17.9256,-3.0,3,STOP_LOSS,False
20250219,20250220,20250224,002559.SZ,亚威股份,机床制造,3,50.69682861879363,10.2,10.36,1.5686,3,TIME_EXIT_D3,True
20250220,20250221,20250224,002947.SZ,恒铭达,元器件,2,50.721401080826666,36.05,37.3,3.4674,2,MOMENTUM_DECAY,True
20250221,20250224,20250226,300083.SZ,创世纪,机床制造,1,57.76018316864719,7.32,9.52,30.0546,3,TIME_EXIT_D3,True
20250225,20250226,20250227,300346.SZ,南大光电,半导体,1,44.015458033515934,40.95,39.7215,-3.0,2,STOP_LOSS,False
20250225,20250226,20250227,002745.SZ,木林森,元器件,2,28.638048846592532,9.1,9.36,2.8571,2,MOMENTUM_DECAY,True
20250307,20250310,20250311,300471.SZ,厚普股份,专用机械,2,53.19912402419597,9.66,9.73,0.7246,2,MOMENTUM_DECAY,True
20250307,20250310,20250312,003025.SZ,思进智能,机床制造,4,47.63029796877822,16.8,18.52,10.2381,3,TIME_EXIT_D3,True
20250307,20250310,20250311,002363.SZ,隆基机械,汽车配件,5,40.309858129198275,7.69,7.89,2.6008,2,MOMENTUM_DECAY,True
20250311,20250312,20250313,300780.SZ,德恩精工,机械基件,1,37.43072320326339,16.98,16.4706,-3.0,2,STOP_LOSS,False
20250319,20250320,20250321,002877.SZ,智能自控,机械基件,3,41.1379694970925,9.43,9.1471,-3.0,2,STOP_LOSS,False
20250611,20250612,20250613,002057.SZ,中钢天源,矿物制品,5,35.016402425811314,8.7,8.73,0.3448,2,MOMENTUM_DECAY,True
20250625,20250626,20250630,000712.SZ,锦龙股份,证券,1,58.9632400564529,13.46,13.0562,-3.0,3,STOP_LOSS,False
20250625,20250626,20250630,002797.SZ,第一创业,证券,2,58.86486554352146,7.23,7.08,-2.0747,3,MOMENTUM_DECAY,False
20250625,20250626,20250627,600830.SH,香溢融通,多元金融,3,54.49591154901231,10.34,10.23,-1.0638,2,MOMENTUM_DECAY,False
20250625,20250626,20250627,300231.SZ,银信科技,软件服务,4,54.07055879038997,12.49,12.28,-1.6813,2,MOMENTUM_DECAY,False
20250625,20250626,20250627,688084.SH,晶品特装,专用机械,5,47.63983815573557,73.1,75.29,2.9959,2,MOMENTUM_DECAY,True
20250627,20250630,20250701,300578.SZ,会畅科技,通信设备,1,47.02174403415272,21.04,20.75,-1.3783,2,MOMENTUM_DECAY,False
20250627,20250630,20250702,688545.SH,兴福电子,元器件,2,46.84937415855672,27.6,27.39,-0.7609,3,MOMENTUM_DECAY,False
20250702,20250703,20250704,002090.SZ,金智科技,电气设备,2,59.2415917142699,10.08,10.12,0.3968,2,MOMENTUM_DECAY,True
20250708,20250709,20250710,603618.SH,杭电股份,电气设备,1,54.78006660424566,6.53,6.63,1.5314,2,MOMENTUM_DECAY,True
20250708,20250709,20250711,002112.SZ,三变科技,电气设备,2,49.29585152821981,14.01,13.5897,-3.0,3,STOP_LOSS,False
20250708,20250709,20250710,300018.SZ,中元股份,电气设备,4,36.6362150833377,8.22,8.13,-1.0949,2,MOMENTUM_DECAY,False
20250709,20250710,20250711,300448.SZ,浩云科技,软件服务,2,36.344625544973894,6.82,6.82,0.0,2,MOMENTUM_DECAY,False
20250710,20250711,20250714,601778.SH,晶科科技,新型电力,2,38.27002926806612,3.35,3.42,2.0896,2,MOMENTUM_DECAY,True
20250715,20250716,20250717,300634.SZ,彩讯股份,软件服务,1,48.062337200945244,27.58,28.4,2.9732,2,MOMENTUM_DECAY,True
20250715,20250716,20250718,000034.SZ,神州数码,软件服务,2,45.24326703957008,38.88,39.05,0.4372,3,MOMENTUM_DECAY,True
20250716,20250717,20250721,300825.SZ,阿尔特,汽车服务,1,60.57846483477834,11.1,11.51,3.6937,3,MOMENTUM_DECAY,True
20250716,20250717,20250718,300404.SZ,博济医药,医疗保健,2,49.28290657406187,10.25,10.72,4.5854,2,MOMENTUM_DECAY,True
20250717,20250718,20250722,600611.SH,大众交通,公共交通,4,38.99276495555736,6.38,6.55,2.6646,3,TIME_EXIT_D3,True
20250721,20250722,20250723,601121.SH,宝地矿业,普钢,1,51.573003378558894,6.62,6.63,0.1511,2,MOMENTUM_DECAY,True
20250721,20250722,20250723,002526.SZ,山东矿机,工程机械,4,41.88861325375305,4.04,4.05,0.2475,2,MOMENTUM_DECAY,True
20250722,20250723,20250724,601918.SH,新集能源,煤炭开采,4,55.79664237551106,7.07,6.8579,-3.0,2,STOP_LOSS,False
20250723,20250724,20250728,002068.SZ,黑猫股份,化工原料,2,46.00047634336574,10.88,10.86,-0.1838,3,MOMENTUM_DECAY,False
20250723,20250724,20250728,300759.SZ,康龙化成,化学制药,5,40.84157057988143,27.15,30.84,13.5912,3,MOMENTUM_DECAY,True
20250724,20250725,20250729,601099.SH,太平洋,证券,2,39.41534116676268,4.18,4.0546,-3.0,3,STOP_LOSS,False
20250725,20250728,20250729,002688.SZ,金河生物,农业综合,1,57.62053587070291,7.11,7.16,0.7032,2,MOMENTUM_DECAY,True
20250729,20250730,20250801,002815.SZ,崇达技术,元器件,1,60.731253662932694,13.24,13.12,-0.9063,3,MOMENTUM_DECAY,False
20250729,20250730,20250731,600255.SH,鑫科材料,小金属,2,56.18953746850927,3.58,3.63,1.3966,2,MOMENTUM_DECAY,True
20250729,20250730,20250731,603998.SH,方盛制药,中成药,3,54.77166285821885,11.31,11.37,0.5305,2,MOMENTUM_DECAY,True
20250729,20250730,20250731,000802.SZ,北京文化,影视音像,4,52.48986512164541,5.67,5.64,-0.5291,2,MOMENTUM_DECAY,False
20250804,20250805,20250807,300678.SZ,中科信息,软件服务,1,52.78999434402742,36.9,38.44,4.1734,3,TIME_EXIT_D3,True
20250804,20250805,20250807,002777.SZ,久远银海,软件服务,3,48.502881017665985,20.53,20.35,-0.8768,3,TIME_EXIT_D3,False
20250804,20250805,20250807,300448.SZ,浩云科技,软件服务,4,47.55219182050055,6.97,7.25,4.0172,3,TIME_EXIT_D3,True
