signal_date,entry_date,exit_date,ts_code,name,industry,rank,score,entry_price,exit_price,return_pct,hold_days,exit_reason,win
20250213,20250214,20250217,300340.SZ,科恒股份,电气设备,4,67.48170462483269,10.88,10.87,-0.0919,2,MOMENTUM_DECAY,False
20250213,20250214,20250218,603800.SH,洪田股份,专用机械,10,54.42752968392019,27.42,30.85,12.5091,3,MOMENTUM_DECAY,True
20250214,20250217,20250218,603030.SH,全筑股份,装修装饰,1,70.47005297143079,2.73,2.7,-1.0989,2,MOMENTUM_DECAY,False
20250214,20250217,20250220,300460.SZ,ST惠伦,元器件,2,67.67554161709498,12.92,13.07,1.161,4,TIME_EXIT_D4,True
20250214,20250217,20250217,300036.SZ,超图软件,软件服务,4,61.93247223634047,19.68,18.8928,-4.0,1,STOP_LOSS,False
20250214,20250217,20250218,301509.SZ,金凯生科,化学制药,5,61.08863362152468,26.92,25.8432,-4.0,2,STOP_LOSS,False
20250214,20250217,20250218,300267.SZ,尔康制药,化学制药,7,55.2832194941291,3.0,2.88,-4.0,2,STOP_LOSS,False
20250214,20250217,20250218,301257.SZ,普蕊斯,医疗保健,8,55.1432736773338,29.37,28.71,-2.2472,2,MOMENTUM_DECAY,False
20250217,20250218,20250219,603201.SH,常润股份,汽车配件,3,70.49994630049298,18.55,19.17,3.3423,2,MOMENTUM_DECAY,True
20250217,20250218,20250221,605258.SH,协和电子,元器件,5,67.27178804084917,33.0,34.3,3.9394,4,TIME_EXIT_D4,True
20250217,20250218,20250219,000037.SZ,深南电A,火力发电,8,65.18170367015654,8.51,8.32,-2.2327,2,MOMENTUM_DECAY,False
20250218,20250219,20250220,002606.SZ,大连电瓷,电气设备,3,69.53479251741084,10.06,9.6576,-4.0,2,STOP_LOSS,False
20250218,20250219,20250224,601020.SH,华钰矿业,铅锌,4,67.12897913831982,14.17,14.82,4.5872,4,TIME_EXIT_D4,True
20250218,20250219,20250220,688550.SH,瑞联新材,化工原料,6,58.43408085138013,34.59,34.49,-0.2891,2,MOMENTUM_DECAY,False
