trade_date,picks,filled,wins,tp1_hits,stop_hits,avg_next_ret_pct,win_rate_filled,fill_rate
20250407,20,18,17,12,1,5.5265,0.9444444444444444,0.9
20250408,20,20,17,9,12,3.8985,0.85,1.0
20250409,20,20,19,11,0,4.8715,0.95,1.0
20250410,20,20,15,5,0,1.8735,0.75,1.0
20250411,20,20,20,8,0,5.5385,1.0,1.0
20250414,20,20,16,2,1,2.307,0.8,1.0
20250415,20,20,13,5,2,2.401,0.65,1.0
20250416,20,20,18,6,0,3.9590000000000005,0.9,1.0
20250417,20,20,10,3,2,0.37,0.5,1.0
20250418,20,17,17,7,0,4.5975,1.0,0.85
20250421,20,20,18,6,1,4.606,0.9,1.0
20250422,20,20,16,5,0,2.3255,0.8,1.0
20250423,20,20,15,6,1,2.7885,0.75,1.0
20250424,20,18,16,5,1,0.9455,0.8888888888888888,0.9
20250425,20,19,9,3,5,-0.13849999999999998,0.47368421052631576,0.95
20250428,20,20,18,6,1,3.1665,0.9,1.0
20250429,20,19,12,4,2,0.7470000000000001,0.631578947368421,0.95
20250430,20,20,19,11,0,5.8495,0.95,1.0
20250506,14,14,14,5,0,4.7057142857142855,1.0,1.0
20250507,10,10,10,2,0,3.95,1.0,1.0
20250508,6,6,3,1,0,1.5133333333333336,0.5,1.0
20250509,20,20,20,14,0,5.7685,1.0,1.0
20250512,14,14,9,2,2,0.34285714285714286,0.6428571428571429,1.0
20250513,20,20,18,7,0,3.8625,0.9,1.0
20250514,20,20,13,4,0,1.0715,0.65,1.0
20250515,20,20,18,6,0,4.3585,0.9,1.0
20250516,20,20,20,11,0,6.181,1.0,1.0
20250519,20,20,17,5,0,3.7655000000000003,0.85,1.0
20250520,12,12,9,3,1,2.7433333333333336,0.75,1.0
20250521,20,20,15,4,1,2.0355,0.75,1.0
20250522,20,20,14,5,1,2.8375,0.7,1.0
20250523,20,20,19,5,0,3.7664999999999997,0.95,1.0
20250526,20,19,17,5,0,3.559,0.8947368421052632,0.95
20250527,20,20,15,10,0,3.0614999999999997,0.75,1.0
20250528,20,20,20,7,0,3.8715,1.0,1.0
20250529,20,20,12,4,2,0.8859999999999999,0.6,1.0
20250530,20,20,19,5,0,3.5509999999999997,0.95,1.0
20250603,20,18,18,6,0,2.5575,1.0,0.9
20250604,20,20,19,6,0,3.7455,0.95,1.0
20250605,20,20,19,9,0,3.9204999999999997,0.95,1.0
20250606,20,20,20,8,0,4.680000000000001,1.0,1.0
20250609,20,20,18,5,0,2.916,0.9,1.0
20250610,20,20,20,5,0,3.5065,1.0,1.0
20250611,20,20,19,5,0,3.6625,0.95,1.0
20250612,20,18,12,5,0,1.5305,0.6666666666666666,0.9
20250613,20,20,20,8,0,4.165,1.0,1.0
20250616,20,20,17,4,0,2.407,0.85,1.0
20250617,20,20,16,3,0,1.7105000000000001,0.8,1.0
20250618,20,19,8,4,4,1.0539999999999998,0.42105263157894735,0.95
20250619,20,19,16,7,1,3.7325000000000004,0.8421052631578947,0.95
20250620,20,20,19,14,1,7.0655,0.95,1.0
20250623,20,18,16,5,0,2.2984999999999998,0.8888888888888888,0.9
20250624,20,18,15,4,0,2.3745000000000003,0.8333333333333334,0.9
20250625,20,20,18,11,0,4.921,0.9,1.0
20250626,20,20,17,6,2,2.782,0.85,1.0
20250627,20,20,20,6,0,4.5835,1.0,1.0
20250630,20,20,20,3,0,3.6414999999999997,1.0,1.0
20250701,20,20,18,5,0,3.3195,0.9,1.0
20250702,20,20,19,13,0,4.6055,0.95,1.0
20250703,20,20,15,2,0,1.9475000000000002,0.75,1.0
20250704,20,20,20,3,0,4.0475,1.0,1.0
20250707,20,20,20,7,0,5.003,1.0,1.0
20250708,20,20,19,7,0,3.5375,0.95,1.0
20250709,20,20,20,2,0,3.157,1.0,1.0
20250710,20,20,20,5,0,2.9939999999999998,1.0,1.0
20250711,20,19,18,5,0,3.905,0.9473684210526315,0.95
20250714,20,20,18,5,0,2.916,0.9,1.0
20250715,20,20,18,5,0,3.4125,0.9,1.0
20250716,20,20,19,6,0,3.8880000000000003,0.95,1.0
20250717,20,19,17,7,1,3.501,0.8947368421052632,0.95
20250718,20,20,20,5,0,4.5215000000000005,1.0,1.0
20250721,20,20,19,4,0,2.536,0.95,1.0
20250722,20,20,19,9,0,4.742,0.95,1.0
20250723,20,20,20,9,0,5.659000000000001,1.0,1.0
20250724,20,20,19,0,0,2.2285,0.95,1.0
20250725,20,20,19,1,0,2.7905,0.95,1.0
20250728,20,20,18,4,1,2.692,0.9,1.0
20250729,20,19,16,3,0,1.9989999999999999,0.8421052631578947,0.95
20250730,20,20,17,8,0,2.5145,0.85,1.0
20250731,20,20,18,9,1,2.8265000000000002,0.9,1.0
20250801,20,20,20,4,0,4.138,1.0,1.0
20250804,20,20,19,7,0,3.7984999999999998,0.95,1.0
20250805,20,19,16,2,0,1.7055,0.8421052631578947,0.95
20250806,20,19,17,8,0,3.7479999999999998,0.8947368421052632,0.95
20250807,20,20,19,6,0,3.5125,0.95,1.0
20250808,20,20,19,7,0,3.7885,0.95,1.0
20250811,20,20,20,10,0,3.9274999999999998,1.0,1.0
20250812,20,20,18,7,0,4.851,0.9,1.0
20250813,20,19,13,3,2,1.4700000000000002,0.6842105263157895,0.95
20250814,20,20,20,11,0,4.7725,1.0,1.0
20250815,20,20,20,5,0,3.9295,1.0,1.0
20250818,20,19,16,4,1,1.677,0.8421052631578947,0.95
20250819,20,20,18,2,2,3.0625,0.9,1.0
20250820,20,20,18,6,0,2.2995,0.9,1.0
20250821,20,20,18,8,0,4.1935,0.9,1.0
