trade_date,next_trade_date,ts_code,name,industry,score,rank,entry,stop_loss,tp1,tp2,next_open,next_high,next_low,next_close,filled,win_close,tp1_hit,stop_hit,next_ret_pct
20250407,20250408,603718.SH,海利生物,农业综合,52.731052533469395,1,7.17,6.92,7.6,7.89,7.46,8.01,7.38,7.94,True,True,True,False,10.74
20250407,20250408,920735.BJ,德源药业,化学制药,51.37644570239258,2,41.19,39.75,43.66,45.31,42.5,43.51,39.87,41.98,True,True,False,False,1.92
20250407,20250408,688266.SH,泽璟制药-U,生物制药,51.28310655887252,3,95.54,92.21,101.27,105.09,99.02,102.27,95.67,97.0,True,True,True,False,1.53
20250407,20250408,600988.SH,赤峰黄金,黄金,49.12084860588469,4,20.9,20.17,22.15,22.99,21.13,21.84,20.61,21.27,True,True,False,False,1.77
20250407,20250408,300200.SZ,高盟新材,化工原料,45.77103795169314,5,9.31,8.98,9.87,10.24,9.65,10.21,9.57,10.19,True,True,True,False,9.45
20250407,20250408,688513.SH,苑东生物,化学制药,45.645143315226555,6,31.95,30.83,33.87,35.15,33.42,34.15,31.66,32.54,True,True,True,False,1.85
20250407,20250408,600671.SH,天目药业,中成药,45.60227849876865,7,10.93,10.54,11.59,12.02,10.66,10.98,10.62,10.63,True,False,False,False,-2.74
20250407,20250408,603590.SH,康辰药业,生物制药,44.33322751910665,8,24.34,23.5,25.8,26.77,24.64,25.76,24.01,25.6,True,True,False,False,5.18
20250407,20250408,600851.SH,海欣股份,化学制药,44.13378176236142,9,6.49,6.27,6.88,7.14,6.11,6.43,5.89,6.22,False,False,False,False,-4.16
20250407,20250408,603079.SH,圣达生物,食品,42.16300189660244,10,14.48,13.98,15.35,15.93,13.46,15.75,13.46,15.67,True,True,True,True,8.22
20250407,20250408,000729.SZ,燕京啤酒,啤酒,41.18065975430382,11,12.33,11.9,13.07,13.56,12.83,13.03,12.51,12.9,True,True,False,False,4.62
20250407,20250408,300910.SZ,瑞丰新材,化工原料,39.283969987121864,12,54.34,52.44,57.6,59.77,54.66,58.66,54.37,55.73,True,True,True,False,2.56
20250407,20250408,002749.SZ,国光股份,农药化肥,38.75584387428779,13,14.42,13.92,15.29,15.86,15.06,16.31,14.76,16.06,True,True,True,False,11.37
20250407,20250408,300138.SZ,晨光生物,食品,38.69210466850863,14,9.58,9.24,10.15,10.54,10.82,11.59,10.82,11.59,True,True,True,False,20.98
20250407,20250408,000600.SZ,建投能源,火力发电,38.33501260550663,15,5.7,5.51,6.04,6.27,5.75,5.97,5.71,5.86,True,True,False,False,2.81
20250407,20250408,002254.SZ,泰和新材,化纤,38.1562496125067,16,10.39,10.03,11.01,11.43,10.5,11.5,10.24,11.47,True,True,True,False,10.39
20250407,20250408,000505.SZ,京粮控股,食品,37.17913843839457,17,6.16,5.95,6.53,6.78,6.37,6.98,6.18,6.91,True,True,True,False,12.18
20250407,20250408,603188.SH,亚邦股份,染料涂料,36.300971702960865,18,3.71,3.58,3.93,4.08,3.4,3.69,3.39,3.49,False,False,False,False,-5.93
20250407,20250408,002791.SZ,坚朗五金,其他建材,35.6876384359614,19,23.19,22.38,24.58,25.51,23.85,24.99,23.45,24.95,True,True,True,False,7.59
20250407,20250408,002800.SZ,天顺股份,仓储物流,34.83892594799931,20,10.88,10.5,11.53,11.97,10.7,11.99,10.7,11.99,True,True,True,False,10.2
20250408,20250409,301075.SZ,多瑞医药,化学制药,66.62201202242807,1,23.49,22.68,24.9,25.84,22.58,23.55,19.14,22.73,True,False,False,True,-3.24
20250408,20250409,601069.SH,西部黄金,黄金,58.714359192808544,2,14.56,14.06,15.43,16.02,14.55,15.39,13.61,15.15,True,True,False,True,4.05
