ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,abs_pct_chg,vol,amount
000001.SH,20011023,1642.22,1670.738,1625.149,1670.562,1520.669,149.893,9.857,9.857,14219379.0,15108635.558
000001.SH,20080919,2067.643,2075.091,2043.316,2075.091,1895.837,179.254,9.4551,9.4551,58433536.0,41555012.476
000001.SH,20080424,3539.868,3593.197,3461.643,3583.028,3278.33,304.698,9.2943,9.2943,142066287.0,189595479.677
000001.SH,20020624,1704.698,1709.066,1647.498,1707.313,1562.722,144.591,9.2525,9.2525,48518062.0,49479880.707
000001.SH,20000214,1591.445,1674.132,1587.818,1673.943,1534.997,138.946,9.0519,9.0519,43580820.0,23157620.808
000001.SH,20070227,3048.829,3049.771,2763.395,2771.791,3040.599,-268.808,-8.8406,8.8406,161375663.0,129212458.933
000001.SH,20150824,3373.4776,3388.3638,3191.879,3209.905,3507.744,-297.839,-8.4909,8.4909,334671792.0,358818882.677
000001.SH,20150727,3985.5702,4051.1588,3720.4441,3725.5582,4070.908,-345.3498,-8.4834,8.4834,556003247.0,721298088.691
000001.SH,20070604,3981.817,3987.269,3659.089,3670.401,4000.742,-330.341,-8.257,8.257,114859357.0,145977950.826
000001.SH,20050608,1044.179,1118.694,1040.158,1115.582,1030.941,84.641,8.2101,8.2101,40282852.0,19011909.836
000001.SH,20080204,4415.023,4672.214,4415.023,4672.17,4320.767,351.403,8.1329,8.1329,63374578.0,109191656.646
000001.SH,20240930,3194.7224,3358.5883,3153.697,3336.4974,3087.5286,248.9688,8.0637,8.0637,1102337917.0,1167772550.0
000001.SH,20080922,2241.723,2269.733,2164.798,2236.41,2075.091,161.319,7.7741,7.7741,139930636.0,113692449.2293
000001.SH,20080610,3202.113,3215.501,3045.058,3072.333,3329.67,-257.337,-7.7286,7.7286,50909546.0,60727533.56
000001.SH,20200203,2716.6978,2766.5773,2716.6978,2746.6056,2976.5281,-229.9225,-7.7245,7.7245,215912103.0,257019597.4
000001.SH,20150119,3189.727,3262.207,3095.066,3116.351,3376.495,-260.144,-7.7046,7.7046,401098789.0,409885991.967
000001.SH,20150825,3004.1261,3123.0339,2947.944,2964.9674,3209.905,-244.9376,-7.6307,7.6307,352325110.0,358735780.116
000001.SH,20080820,2332.484,2523.469,2306.662,2523.282,2344.469,178.813,7.627,7.627,73736663.0,59038931.806
000001.SH,20150626,4399.933,4456.8958,4139.5304,4192.8734,4527.7789,-334.9055,-7.3967,7.3967,565217874.0,787835743.033
000001.SH,20250407,3193.1024,3217.7818,3040.6932,3096.5762,3342.0077,-245.4315,-7.3438,7.3438,662199584.0,735367327.5
000001.SH,20081110,1782.305,1876.162,1782.305,1874.801,1747.713,127.088,7.2717,7.2717,91273263.0,56867292.1
000001.SH,20080122,4817.997,4817.997,4511.953,4559.751,4914.435,-354.684,-7.2172,7.2172,92491351.0,154837414.462
000001.SH,20080128,4720.564,4720.564,4409.079,4419.294,4761.688,-342.394,-7.1906,7.1906,69350257.0,108808414.751
000001.SH,20160107,3309.657,3309.657,3115.885,3125.002,3361.84,-236.838,-7.0449,7.0449,70569123.0,79981988.654
000001.SH,20160104,3536.589,3538.689,3295.741,3296.258,3539.182,-242.924,-6.8638,6.8638,184418423.0,240929155.215
000001.SH,20020131,1413.224,1501.33,1413.222,1491.665,1396.605,95.06,6.8065,6.8065,18800697.0,17119339.48
