trade_date,component_count,added_count,removed_count
20160831,25,0,0
20161031,25,0,0
20161130,25,0,0
20161230,26,1,0
20170126,26,0,0
20170228,26,0,0
20170331,26,0,0
20170428,26,0,0
20170531,26,0,0
20170630,31,5,0
20170731,31,0,0
20170831,31,0,0
20170929,31,0,0
20171031,31,0,0
20171130,31,0,0
20171229,33,2,0
20180131,33,0,0
20180228,33,0,0
20180330,33,0,0
20180427,33,0,0
20180531,33,0,0
20180629,34,1,0
20180731,34,0,0
20180831,34,0,0
20180928,34,0,0
20181031,34,0,0
20181130,34,0,0
20181228,38,4,0
20190131,38,0,0
20190228,38,0,0
20190329,38,0,0
20190430,38,0,0
20190531,38,0,0
20190628,41,3,0
20190731,41,0,0
20190830,41,0,0
20190930,41,0,0
20191031,41,0,0
20191129,41,0,0
20191231,44,3,0
20200123,44,0,0
20200228,44,0,0
20200331,44,0,0
20200430,44,0,0
20200529,44,0,0
20200630,45,2,1
20200731,45,0,0
20200831,45,0,0
20200930,45,0,0
20201030,45,0,0
20201130,45,0,0
20201231,49,4,0
20210129,49,0,0
20210226,49,0,0
20210630,50,1,0
20210730,50,0,0
20210831,50,0,0
20211130,50,0,0
20211231,49,1,2
20220128,49,0,0
20220228,49,0,0
20220331,49,0,0
20220429,49,0,0
20220531,49,0,0
20220630,49,0,0
20220729,49,0,0
20220831,49,0,0
20220930,49,0,0
20221031,49,0,0
20221130,49,0,0
20221230,49,0,0
20230131,49,0,0
20230228,49,0,0
20230331,49,0,0
20230428,49,0,0
20230531,49,0,0
20230630,50,1,0
20230731,50,0,0
20230831,50,0,0
20230928,50,0,0
20231031,50,0,0
20231130,50,0,0
20231229,50,1,1
20240131,50,0,0
20240229,50,0,0
20240329,50,0,0
20240430,50,0,0
20240531,50,0,0
20240628,50,1,1
20240731,50,0,0
20240830,50,0,0
20240930,50,0,0
20241031,50,0,0
20241129,50,0,0
20241231,50,0,0
20250127,50,0,0
20250228,50,0,0
20250331,49,0,1
20250430,49,0,0
20250530,49,0,0
20250630,49,1,1
20250731,49,0,0
20250829,49,0,0
20250930,49,0,0
20251031,49,0,0
20251128,49,0,0
20251231,49,0,0
20260130,49,0,0
20260227,49,0,0
