ts_code,freq,trade_time,trade_date,open,high,low,close,volume,amount,adjust_type,source,updated_at,trade_dt,ma20,ma60,vol_ma20,vol_ma120,atr20,atr20_norm,atr20_change_20,range_low_120,range_high_120,range_width_120,range_width_ratio_120,range_position_120,trend_slope_20,trend_slope_60,volume_trend_20,vol_dry_up_ratio,vol_spike,support_test_count_60,trading_range_flag,weekly_trend_26,weekly_range_pos_26
300759.SZ,1d,2019-01-28 15:00:00,20190128,3.94,4.73,3.94,4.73,472.7,520.744,qfq,tushare,2026-02-28 16:33:26,2019-01-28,,,,,,,,,,,,,,,,,0,,0,,
300759.SZ,1d,2019-01-29 15:00:00,20190129,5.2,5.2,5.2,5.2,319.44,387.48,qfq,tushare,2026-02-28 16:33:26,2019-01-29,,,,,,,,,,,,,,,,,0,,0,,
300759.SZ,1d,2019-01-30 15:00:00,20190130,5.72,5.72,5.72,5.72,521.31,695.427,qfq,tushare,2026-02-28 16:33:26,2019-01-30,,,,,,,,,,,,,,,,,0,,0,,
300759.SZ,1d,2019-01-31 15:00:00,20190131,6.29,6.29,6.29,6.29,1448.64,2125.154,qfq,tushare,2026-02-28 16:33:26,2019-01-31,,,,,,,,,,,,,,,,,0,,0,,
300759.SZ,1d,2019-02-01 15:00:00,20190201,6.92,6.92,6.92,6.92,2164.35,3493.26,qfq,tushare,2026-02-28 16:33:26,2019-02-01,,,,,,,,,,,,,,,,,0,,0,,
300759.SZ,1d,2019-02-11 15:00:00,20190211,7.61,7.61,7.61,7.61,1293.82,2296.53,qfq,tushare,2026-02-28 16:33:26,2019-02-11,,,,,,,,,,,,,,,,,0,,0,,
300759.SZ,1d,2019-02-12 15:00:00,20190212,8.37,8.37,8.37,8.37,1756.69,3430.815,qfq,tushare,2026-02-28 16:33:26,2019-02-12,,,,,,,,,,,,,,,,,0,,0,,
300759.SZ,1d,2019-02-13 15:00:00,20190213,9.21,9.21,9.21,9.21,9680.04,20792.725,qfq,tushare,2026-02-28 16:33:26,2019-02-13,,,,,,,,,,,,,,,,,0,,0,,
300759.SZ,1d,2019-02-14 15:00:00,20190214,10.13,10.13,10.13,10.13,4975.34,11756.728,qfq,tushare,2026-02-28 16:33:26,2019-02-14,,,,,,,,,,,,,,,,,0,,0,,
300759.SZ,1d,2019-02-15 15:00:00,20190215,11.14,11.14,11.14,11.14,4162.89,10819.351,qfq,tushare,2026-02-28 16:33:26,2019-02-15,7.532000000000001,,2679.522,,0.7200000000000001,0.06463195691202873,,,,,,,,,,,1,,0,,
300759.SZ,1d,2019-02-18 15:00:00,20190218,12.26,12.26,12.26,12.26,3868.12,11058.955,qfq,tushare,2026-02-28 16:33:26,2019-02-18,7.961818181818182,,2787.576363636364,,0.7563636363636363,0.06169360818626724,,,,,,,,,,,0,,0,,
300759.SZ,1d,2019-02-19 15:00:00,20190219,13.49,13.49,13.49,13.49,6078.35,19116.41,qfq,tushare,2026-02-28 16:33:26,2019-02-19,8.422500000000001,,3061.8075000000003,,0.7958333333333334,0.05899431677786015,,,,,,,,,,,1,,0,,
300759.SZ,1d,2019-02-20 15:00:00,20190220,14.84,14.84,14.84,14.84,4206.32,14553.867,qfq,tushare,2026-02-28 16:33:26,2019-02-20,8.916153846153845,,3149.8469230769233,,0.8384615384615385,0.056500103669914994,,,,,,,,,,,0,,0,,
300759.SZ,1d,2019-02-21 15:00:00,20190221,16.32,16.32,15.23,16.03,494038.89,1828942.933,qfq,tushare,2026-02-28 16:33:26,2019-02-21,9.424285714285714,,38213.35,,0.8842857142857143,0.05516442384814187,,,,,,,,,,,1,,0,,
300759.SZ,1d,2019-02-22 15:00:00,20190222,15.79,16.21,15.55,15.99,289379.78,1072183.729,qfq,tushare,2026-02-28 16:33:26,2019-02-22,9.862,,54957.77866666667,,0.8693333333333334,0.05436731290389828,,,,,,,,,,,1,,0,,
300759.SZ,1d,2019-02-25 15:00:00,20190225,15.72,17.59,15.72,16.94,416280.62,1645491.867,qfq,tushare,2026-02-28 16:33:26,2019-02-25,10.304375,,77540.45625,,0.931875,0.055010330578512394,,,,,,,,,,,1,,0,,
300759.SZ,1d,2019-02-26 15:00:00,20190226,16.74,18.43,16.09,16.24,337231.25,1347450.213,qfq,tushare,2026-02-28 16:33:26,2019-02-26,10.653529411764707,,92816.38529411764,,1.0147058823529411,0.06248188930744712,,,,,,,,,,,1,,0,,
300759.SZ,1d,2019-02-27 15:00:00,20190227,16.08,17.87,15.91,17.87,272493.06,1069626.313,qfq,tushare,2026-02-28 16:33:26,2019-02-27,11.054444444444446,,102798.42277777779,,1.0672222222222223,0.059721445004041536,,,,,,,,,,,1,,0,,
300759.SZ,1d,2019-02-28 15:00:00,20190228,16.72,17.25,16.21,16.64,267740.46,1046236.155,qfq,tushare,2026-02-28 16:33:26,2019-02-28,11.34842105263158,,111479.58263157896,,1.098421052631579,0.06601088056680161,,,,,,,,,,,1,,0,,
