ts_code,trade_date,trade_dt,close,volume,range_low_120,range_high_120,trading_range_flag,trend_slope_60,volume_trend_20,weekly_trend_26,phase,spring,sos,accumulation_score,future_return_5d,future_return_10d,future_return_20d,spring_success_10d,meta_score,score_bucket
300759.SZ,20190128,2019-01-28,4.73,472.7,,,0,,,,B,0,0,,0.6088794926004228,1.5919661733615218,2.8498942917547567,0,-0.06437976306417106,5
300759.SZ,20190129,2019-01-29,5.2,319.44,,,0,,,,B,0,0,,0.6096153846153844,1.5942307692307691,2.461538461538461,0,-0.06437976306417106,5
300759.SZ,20190130,2019-01-30,5.72,521.31,,,0,,,,B,0,0,,0.6101398601398604,1.5944055944055946,2.174825174825175,0,-0.06437976306417106,5
300759.SZ,20190131,2019-01-31,6.29,1448.64,,,0,,,,B,0,0,,0.6104928457869636,1.5484896661367251,2.012718600953895,0,-0.06437976306417106,5
300759.SZ,20190201,2019-02-01,6.92,2164.35,,,0,,,,B,0,0,,0.6098265895953758,1.310693641618497,1.4653179190751442,0,-0.06437976306417106,5
300759.SZ,20190211,2019-02-11,7.61,1293.82,,,0,,,,B,0,0,,0.6110381077529565,1.2260183968462548,1.2917214191852824,0,-0.06437976306417106,5
300759.SZ,20190212,2019-02-12,8.37,1756.69,,,0,,,,B,0,0,,0.6117084826762247,0.94026284348865,1.1111111111111116,0,-0.06437976306417106,5
300759.SZ,20190213,2019-02-13,9.21,9680.04,,,0,,,,B,0,0,,0.6112920738327903,0.9402823018458196,0.8436482084690553,0,-0.06437976306417106,5
300759.SZ,20190214,2019-02-14,10.13,4975.34,,,0,,,,B,0,0,,0.5824284304047385,0.6426456071076012,0.577492596248766,0,-0.06437976306417106,5
300759.SZ,20190215,2019-02-15,11.14,4162.89,,,0,,,,B,0,0,,0.4353680430879711,0.5834829443447038,0.5780969479353677,0,-0.06437976306417106,5
300759.SZ,20190218,2019-02-18,12.26,3868.12,,,0,,,,B,0,0,,0.3817292006525286,0.4853181076672106,0.4967373572593803,0,-0.06437976306417106,5
300759.SZ,20190219,2019-02-19,13.49,6078.35,,,0,,,,B,0,0,,0.2038547071905114,0.3343217197924388,0.4269829503335804,0,-0.06437976306417106,5
300759.SZ,20190220,2019-02-20,14.84,4206.32,,,0,,,,B,0,0,,0.2041778975741239,0.2237196765498652,0.2277628032345013,0,-0.06437976306417106,5
300759.SZ,20190221,2019-02-21,16.03,494038.89,,,0,,,,B,0,0,,0.0380536494073611,0.1821584529008109,0.1160324391765439,0,-0.06437976306417106,5
300759.SZ,20190222,2019-02-22,15.99,289379.78,,,0,,,,B,0,0,,0.1031894934333959,0.0669168230143839,0.1131957473420888,0,-0.06437976306417106,5
