ts_code,freq,trade_time,trade_date,open,high,low,close,volume,amount,adjust_type,source,updated_at,trade_dt,ma20,ma60,vol_ma20,vol_ma120,atr20,atr20_norm,atr20_change_20,range_low_120,range_high_120,range_width_120,range_width_ratio_120,range_position_120,trend_slope_20,trend_slope_60,volume_trend_20,vol_dry_up_ratio,vol_spike,support_test_count_60,trading_range_flag,weekly_trend_26,weekly_range_pos_26
600030.SH,1d,2003-01-06 15:00:00,20030106,0.83,0.84,0.75,0.75,1942885.56,998892.578,qfq,tushare,2026-02-28 16:02:51,2003-01-06,,,,,,,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-07 15:00:00,20030107,0.75,0.76,0.73,0.73,589777.17,290622.43,qfq,tushare,2026-02-28 16:02:51,2003-01-07,,,,,,,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-08 15:00:00,20030108,0.73,0.8,0.72,0.8,720640.78,368411.113,qfq,tushare,2026-02-28 16:02:51,2003-01-08,,,,,,,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-09 15:00:00,20030109,0.85,0.88,0.85,0.88,1100868.68,636358.017,qfq,tushare,2026-02-28 16:02:51,2003-01-09,,,,,,,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-10 15:00:00,20030110,0.93,0.97,0.92,0.94,2063934.22,1300495.478,qfq,tushare,2026-02-28 16:02:51,2003-01-10,,,,,,,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-13 15:00:00,20030113,0.95,0.98,0.92,0.95,1091783.02,685740.331,qfq,tushare,2026-02-28 16:02:51,2003-01-13,,,,,,,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-14 15:00:00,20030114,0.94,1.04,0.93,0.99,1494812.83,977541.645,qfq,tushare,2026-02-28 16:02:51,2003-01-14,,,,,,,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-15 15:00:00,20030115,0.98,1.04,0.97,1.03,1381749.75,919559.39,qfq,tushare,2026-02-28 16:02:51,2003-01-15,,,,,,,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-16 15:00:00,20030116,1.03,1.05,1.0,1.03,654831.54,444285.059,qfq,tushare,2026-02-28 16:02:51,2003-01-16,,,,,,,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-17 15:00:00,20030117,1.03,1.03,0.98,0.99,653587.62,434861.787,qfq,tushare,2026-02-28 16:02:51,2003-01-17,0.909,,1169487.117,,0.07100000000000001,0.07171717171717172,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-20 15:00:00,20030120,0.98,1.05,0.97,1.03,691818.45,468747.498,qfq,tushare,2026-02-28 16:02:51,2003-01-20,0.9199999999999999,,1126062.6927272726,,0.07181818181818184,0.06972639011473965,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-21 15:00:00,20030121,1.03,1.04,0.98,0.99,428631.13,284742.62,qfq,tushare,2026-02-28 16:02:51,2003-01-21,0.9258333333333333,,1067943.3958333333,,0.07083333333333335,0.07154882154882156,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-22 15:00:00,20030122,0.99,1.0,0.97,0.98,320352.52,209619.836,qfq,tushare,2026-02-28 16:02:51,2003-01-22,0.9299999999999999,,1010436.4053846153,,0.0676923076923077,0.06907378335949765,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-23 15:00:00,20030123,0.98,1.02,0.97,0.98,315385.63,207919.167,qfq,tushare,2026-02-28 16:02:51,2003-01-23,0.9335714285714286,,960789.9214285715,,0.06642857142857145,0.06778425655976679,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-24 15:00:00,20030124,0.98,1.08,0.98,1.05,927070.75,637719.038,qfq,tushare,2026-02-28 16:02:51,2003-01-24,0.9413333333333332,,958541.9766666667,,0.06866666666666668,0.06539682539682541,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-27 15:00:00,20030127,1.05,1.06,1.03,1.05,394738.54,274235.051,qfq,tushare,2026-02-28 16:02:51,2003-01-27,0.948125,,923304.261875,,0.06625000000000003,0.06309523809523812,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-28 15:00:00,20030128,1.05,1.07,1.04,1.06,259664.21,181092.742,qfq,tushare,2026-02-28 16:02:51,2003-01-28,0.9547058823529412,,884266.6117647059,,0.06411764705882354,0.060488346281909,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-01-29 15:00:00,20030129,1.06,1.07,1.04,1.04,296210.35,207060.762,qfq,tushare,2026-02-28 16:02:51,2003-01-29,0.9594444444444444,,851596.8194444445,,0.062222222222222255,0.05982905982905986,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-02-10 15:00:00,20030210,1.04,1.04,1.01,1.02,218760.77,148955.171,qfq,tushare,2026-02-28 16:02:51,2003-02-10,0.9626315789473684,,818289.6589473684,,0.060526315789473706,0.059339525283797746,,,,,,,,,,,0,,0,,
600030.SH,1d,2003-02-11 15:00:00,20030211,1.01,1.03,1.01,1.03,104957.13,71109.711,qfq,tushare,2026-02-28 16:02:51,2003-02-11,0.966,,782623.0325,,0.05850000000000002,0.05679611650485438,,,,,,,,,,,0,0.0,0,,
600030.SH,1d,2003-02-12 15:00:00,20030212,1.02,1.05,1.01,1.05,201379.79,138916.47,qfq,tushare,2026-02-28 16:02:51,2003-02-12,0.9810000000000001,,695547.744,,0.05600000000000003,0.05333333333333336,,,,,,,0.40000000000000013,,,,0,0.0,0,,
600030.SH,1d,2003-02-13 15:00:00,20030213,1.05,1.08,1.04,1.04,398721.66,281763.301,qfq,tushare,2026-02-28 16:02:51,2003-02-13,0.9964999999999999,,685994.9685,,0.056500000000000015,0.05432692307692309,,,,,,,0.4246575342465755,,,,0,0.0,0,,
600030.SH,1d,2003-02-14 15:00:00,20030214,1.04,1.06,1.03,1.05,159964.84,110958.109,qfq,tushare,2026-02-28 16:02:51,2003-02-14,1.009,,657961.1714999999,,0.05400000000000003,0.051428571428571455,,,,,,,0.3125,,,,0,0.0,0,,
