ts_code,name,trade_date,phase,accumulation_score,score_level,spring,sos,minute_entry_ready,minute_reason,status
002241.SZ,歌尔股份,20260227,B,28.41,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
601390.SH,中国中铁,20260227,E,27.5,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002050.SZ,三花智控,20260227,E,25.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002475.SZ,立讯精密,20260227,B,24.86,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
603501.SH,豪威集团,20260227,B,24.54,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
000725.SZ,京东方Ａ,20260227,B,23.21,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600482.SH,中国动力,20260227,E,22.92,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000100.SZ,TCL科技,20260227,E,22.91,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
601698.SH,中国卫通,20260227,E,22.89,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300033.SZ,同花顺,20260227,B,22.6,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300433.SZ,蓝思科技,20260227,E,20.42,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600089.SH,特变电工,20260227,E,20.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000063.SZ,中兴通讯,20260227,B,19.04,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
002230.SZ,科大讯飞,20260227,B,18.87,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
603019.SH,中科曙光,20260227,B,18.26,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600406.SH,国电南瑞,20260227,E,17.3,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002714.SZ,牧原股份,20260227,B,16.67,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
688111.SH,金山办公,20260227,B,15.94,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
002466.SZ,天齐锂业,20260227,B,14.02,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600019.SH,宝钢股份,20260227,B,13.75,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
688981.SH,中芯国际,20260227,B,12.1,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002460.SZ,赣锋锂业,20260227,E,11.49,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002001.SZ,新和成,20260227,E,11.46,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000977.SZ,浪潮信息,20260227,B,9.83,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
300124.SZ,汇川技术,20260227,B,8.41,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
603799.SH,华友钴业,20260227,E,7.92,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
601689.SH,拓普集团,20260227,B,6.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300014.SZ,亿纬锂能,20260227,A,6.53,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002463.SZ,沪电股份,20260227,E,5.49,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002384.SZ,东山精密,20260227,E,5.33,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300274.SZ,阳光电源,20260227,A,5.21,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
688041.SH,海光信息,20260227,E,5.2,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
601888.SH,中国中免,20260227,B,5.08,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600309.SH,万华化学,20260227,E,4.38,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600219.SH,南山铝业,20260227,E,1.88,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
688256.SH,寒武纪-U,20260227,B,1.42,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600489.SH,中金黄金,20260227,E,0.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
601012.SH,隆基绿能,20260227,B,0.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600026.SH,中远海能,20260227,E,0.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300394.SZ,天孚通信,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
601899.SH,紫金矿业,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600875.SH,东方电气,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000792.SZ,盐湖股份,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
688008.SH,澜起科技,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600584.SH,长电科技,20260227,E,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
601600.SH,中国铝业,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002916.SZ,深南电路,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600362.SH,江西铜业,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600547.SH,山东黄金,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300316.SZ,晶盛机电,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
