ts_code,name,trade_date,phase,accumulation_score,score_level,spring,sos,minute_entry_ready,minute_reason,status
600009.SH,上海机场,20260227,B,42.81,neutral_range,0,0,0,no_confirmed_intraday_entry,ok
600000.SH,浦发银行,20260227,A,42.2,neutral_range,0,0,0,no_confirmed_intraday_entry,ok
300760.SZ,迈瑞医疗,20260227,B,41.53,neutral_range,0,0,0,no_confirmed_intraday_entry,ok
600109.SH,国金证券,20260227,B,36.23,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000001.SZ,平安银行,20260227,B,32.11,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600580.SH,卧龙电驱,20260227,B,31.65,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600104.SH,上汽集团,20260227,B,30.19,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600030.SH,中信证券,20260227,B,29.67,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600887.SH,伊利股份,20260227,B,29.16,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300115.SZ,长盈精密,20260227,B,29.15,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600900.SH,长江电力,20260227,B,28.54,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002241.SZ,歌尔股份,20260227,B,28.41,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600519.SH,贵州茅台,20260227,B,28.33,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
601390.SH,中国中铁,20260227,E,27.5,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600036.SH,招商银行,20260227,B,26.46,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300346.SZ,南大光电,20260227,E,26.06,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
000858.SZ,五粮液,20260227,B,26.04,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002050.SZ,三花智控,20260227,E,25.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
688122.SH,西部超导,20260227,E,25.46,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
002475.SZ,立讯精密,20260227,B,24.86,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
603501.SH,豪威集团,20260227,B,24.54,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600118.SH,中国卫星,20260227,E,24.23,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
000725.SZ,京东方Ａ,20260227,B,23.21,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600482.SH,中国动力,20260227,E,22.92,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000100.SZ,TCL科技,20260227,E,22.91,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
601698.SH,中国卫通,20260227,E,22.89,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300033.SZ,同花顺,20260227,B,22.6,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600048.SH,保利发展,20260227,B,21.25,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600879.SH,航天电子,20260227,E,20.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002465.SZ,海格通信,20260227,E,20.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000559.SZ,万向钱潮,20260227,E,20.51,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
601398.SH,工商银行,20260227,A,20.42,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300433.SZ,蓝思科技,20260227,E,20.42,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600089.SH,特变电工,20260227,E,20.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
688568.SH,中科星图,20260227,E,20.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
603596.SH,伯特利,20260227,E,19.67,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000063.SZ,中兴通讯,20260227,B,19.04,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
002230.SZ,科大讯飞,20260227,B,18.87,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300207.SZ,欣旺达,20260227,E,18.81,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
000738.SZ,航发控制,20260227,E,18.58,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
603019.SH,中科曙光,20260227,B,18.26,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
603259.SH,药明康德,20260227,B,18.09,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600690.SH,海尔智家,20260227,B,17.67,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600406.SH,国电南瑞,20260227,E,17.3,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600016.SH,民生银行,20260227,B,17.15,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300604.SZ,长川科技,20260227,E,17.04,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002714.SZ,牧原股份,20260227,B,16.67,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
688111.SH,金山办公,20260227,B,15.94,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
300759.SZ,康龙化成,20260227,B,15.77,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
601988.SH,中国银行,20260227,A,15.63,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
