ts_code,name,trade_date,phase,accumulation_score,score_level,spring,sos,minute_entry_ready,minute_reason,status
600580.SH,卧龙电驱,20260227,B,31.65,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300115.SZ,长盈精密,20260227,B,29.15,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300346.SZ,南大光电,20260227,E,26.06,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
688122.SH,西部超导,20260227,E,25.46,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600118.SH,中国卫星,20260227,E,24.23,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600879.SH,航天电子,20260227,E,20.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002465.SZ,海格通信,20260227,E,20.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000559.SZ,万向钱潮,20260227,E,20.51,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
688568.SH,中科星图,20260227,E,20.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
603596.SH,伯特利,20260227,E,19.67,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300207.SZ,欣旺达,20260227,E,18.81,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
000738.SZ,航发控制,20260227,E,18.58,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300604.SZ,长川科技,20260227,E,17.04,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300450.SZ,先导智能,20260227,E,13.69,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
301308.SZ,江波龙,20260227,E,13.1,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002624.SZ,完美世界,20260227,E,10.5,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002281.SZ,光迅科技,20260227,E,9.86,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600352.SH,浙江龙盛,20260227,E,9.79,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002738.SZ,中矿资源,20260227,E,8.55,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
002312.SZ,川发龙蟒,20260227,E,8.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
601179.SH,中国西电,20260227,E,7.51,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
688347.SH,华虹公司,20260227,E,6.17,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002851.SZ,麦格米特,20260227,E,4.52,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000039.SZ,中集集团,20260227,E,3.54,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002335.SZ,科华数据,20260227,E,3.36,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
688525.SH,佰维存储,20260227,E,3.34,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
301536.SZ,星宸科技,20260227,E,3.12,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
688027.SH,国盾量子,20260227,E,2.56,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002008.SZ,大族激光,20260227,D,1.67,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
601615.SH,明阳智能,20260227,E,0.21,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002156.SZ,通富微电,20260227,E,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600096.SH,云天化,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000021.SZ,深科技,20260227,E,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
002340.SZ,格林美,20260227,E,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
002185.SZ,华天科技,20260227,E,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600988.SH,赤峰黄金,20260227,E,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
601212.SH,白银有色,20260227,E,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
603920.SH,世运电路,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300724.SZ,捷佳伟创,20260227,E,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
601168.SH,西部矿业,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600884.SH,杉杉股份,20260227,E,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
001389.SZ,广合科技,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
688777.SH,中控技术,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002558.SZ,巨人网络,20260227,B,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002130.SZ,沃尔核材,20260227,E,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
002273.SZ,水晶光电,20260227,E,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
002429.SZ,兆驰股份,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
600141.SH,兴发集团,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002517.SZ,恺英网络,20260227,B,0.0,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
688017.SH,绿的谐波,20260227,E,0.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
