ts_code,name,trade_date,phase,accumulation_score,score_level,spring,sos,minute_entry_ready,minute_reason,status
600580.SH,卧龙电驱,20260227,B,31.65,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300115.SZ,长盈精密,20260227,B,29.15,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
300346.SZ,南大光电,20260227,E,26.06,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
688122.SH,西部超导,20260227,E,25.46,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600118.SH,中国卫星,20260227,E,24.23,no_accumulation,0,0,1,break_30m_high_and_volume_expand,ok
600879.SH,航天电子,20260227,E,20.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
002465.SZ,海格通信,20260227,E,20.83,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
000559.SZ,万向钱潮,20260227,E,20.51,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
688568.SH,中科星图,20260227,E,20.0,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
603596.SH,伯特利,20260227,E,19.67,no_accumulation,0,0,0,no_confirmed_intraday_entry,ok
